KETTERING HEALTH NETWORK STANDARD PRICES,
NOTE: AN ASTERISK (*) DESIGNATES THAT THE PRICE IS VARIABLE BASED ON TYPE OF DRUG/SUPPLY AND/OR VARIABLE COST,
PROC_CODE,STANDARD_PRICE
27272649,208
27272650,208
27272651,208
27272652,208
27272653,208
27272654,208
27272655,208
27272656,208
27272657,208
27272658,208
27272659,208
27272660,208
27272661,208
27272662,208
27272663,208
27272664,208
27272665,208
27272666,208
27272667,208
27272668,208
27272669,208
27272670,208
27272671,208
27272672,208
27272673,208
27272674,208
27272675,208
27272676,208
27272677,208
27272678,208
27272679,208
27272680,208
27272681,208
27272682,208
27272683,208
27272684,208
27272685,208
27272686,208
27272687,208
27272688,208
27272689,208
27272690,208
27272691,208
27272692,208
27272693,208
27272694,208
27272695,208
27272696,208
27272697,208
27272698,208
27272699,208
27272700,208
27272701,208
27272702,208
27272703,208
27272704,208
27272705,208
27272706,208
27272707,208
27272708,208
27272709,208
27272710,208
27272711,208
27272712,208
27272713,208
27272714,208
27272715,208
27272716,208
27272717,208
27272718,208
27272719,208
27272720,208
27272721,208
27272722,208
27272723,208
27272724,208
27272725,208
27272726,208
27272727,208
27272728,208
27272729,208
27272730,208
27272731,208
27272732,208
27272733,208
27272734,208
27272735,208
27272736,208
27272737,208
27272738,208
27272739,208
27272740,208
27272741,208
27272742,208
27272743,208
27272744,208
27272745,208
27272746,208
27272747,208
27272748,208
27272749,208
27272750,208
27272751,208
27272752,208
27272753,208
27272754,208
27272755,208
27272756,208
27272757,208
27204290,209
27271962,209
27272164,209
27200567,210
27270878,210
27204282,211
27208832,211
27226017,211
27250577,211
27250579,211
27270839,211
27209086,212
27209087,212
27254520,212
27270347,212
27270920,212
27254244,213
27272410,213.2
27272411,213.2
27201116,214
27202429,214
27202607,214
27202608,214
27202629,214
27251147,214
27251148,214
27251156,214
27251163,214
27270866,214
27270868,214
27272775,214
27201433,215
27204285,215
27205282,215
27206170,215
27206171,215
27206172,215
27206173,215
27206174,215
27208895,215
27252170,215
27252181,215
27272303,215
27254236,215.72
27201434,216
27201435,216
27204035,216
27204036,216
27209100,216
27209105,216
27251124,216
27254928,216
27204190,217
27271835,218
27226210,219
27272182,219
27201487,220
27202432,220
27270826,220
27271790,220
27202574,221
27202613,221
27202615,221
27202657,221
27202658,221
27203689,221
27204048,221
27204049,221
27208034,221
27208788,221
27208789,221
27209325,221
27209326,221
27226203,221
27251222,221
27272168,221
27272202,221
27202685,222
27253025,223
27253026,223
27202700,224
27271850,224
27206685,225
27270852,225
27201468,226
27206400,226
27209501,226
27270870,226
27208217,228
27209971,228
27210248,228
27226221,228
27271055,228
27271077,228
27801602,228
27202603,229
27208265,229
27270906,229
27270907,229
27270908,229
27251020,230
27270863,230
27208143,231
27270782,231
27271046,231
27205191,232
27209340,232
27209503,232
27202680,233
27202681,233
27202682,233
27204380,233
27206750,233.68
27206751,233.68
27206753,233.68
27206754,233.68
27206755,233.68
27253204,233.68
27253205,233.68
27254235,233.68
27270356,233.68
27270357,233.68
27270792,233.68
27202667,234
27202705,234
27202709,234
27202752,234
27202753,234
27202754,234
27202843,234
27202965,234
27202966,234
27202967,234
27202968,234
27202969,234
27202970,234
27202971,234
27202972,234
27202973,234
27202976,234
27202978,234
27202981,234
27203093,234
27206610,234
27208156,234
27208157,234
27208833,234
27208834,234
27208835,234
27208836,234
27208837,234
27208838,234
27209104,234
27225987,234
27251290,234
27251882,234
27272252,234
27272492,234
27202662,235
27202683,235
27206784,235
27226178,235
27270309,235
27270348,235
27270810,235
27270912,235
27272145,235
27202621,237
27253059,237
27270837,239
27200159,240
27201258,240
27201721,240
27203915,240
27208604,240
27252217,240
27260066,240
27272468,240
27200714,241
27202631,242
27206511,242
27209337,242
27201286,243
27270918,243
27204787,244
27209166,245
27209167,245
27203961,246
27203971,246
27253184,246
27272300,246
27200902,247
27202698,247
27202707,247
27203095,247
27205292,247
27206461,247
27209109,247
27251468,247
27252004,247
27252704,247
27252705,247
27252706,247
27252707,247
27252708,247
27253185,247
27270594,247
27272449,247
27203028,248
27801572,248.16
27801583,248.16
27801584,248.16
27801590,248.16
27251237,249
27200712,250
27209165,250
27254549,250
27270253,250
27271187,250
27271373,250
27271374,250
27204505,252
27225996,253
27226225,253
27253227,254
27226034,255
27226035,255
27253116,255
27253117,255
27253186,255
27205285,257
27210525,257
27250013,257
27253927,258
27201776,260
27201812,260
27201814,260
27201818,260
27201820,260
27201826,260
27201830,260
27202167,260
27202169,260
27202175,260
27202177,260
27202179,260
27202217,260
27202221,260
27202223,260
27202225,260
27202227,260
27202229,260
27202231,260
27202325,260
27202359,260
27202362,260
27202364,260
27202454,260
27202586,260
27202666,260
27203795,260
27204248,260
27204250,260
27206835,260
27208400,260
27208401,260
27208404,260
27208406,260
27208407,260
27209629,260
27209660,260
27270995,260
27271304,260
27272254,260
2720901R,260
27208266,263
27252008,263
27252212,263
27206272,263.22
27206273,263.22
27226161,264
27201259,265
27205279,265
27205280,265
27252775,265
27210231,266
27272181,267
27203312,268
27206050,268
27205268,270
27205269,270
27205270,270
27205271,270
27209059,270
27252739,270
27252740,270
27252741,270
27252742,270
27252783,271
27271096,271.7
27271119,272
27201085,273
27201484,273
27201597,273
27203230,273
27203633,273
27203684,273
27204249,273
27250957,273
27271060,273
27226211,274
27208887,276
27200994,279
27204019,279
27203825,279.02
27209122,280
27272464,280
27204302,281
27208202,281
27251177,281
27260023,281
27206889,282
27253209,282
27254882,282
27252779,283
27200762,286
27202710,286
27206881,286
27208158,286
27209801,286
27209802,286
27209803,286
27210334,286
27251074,286
27254270,286
27270014,286
27270588,286
27270716,286
27270725,286
27270726,286
27271446,286
27271447,286
27271457,286
27271827,286
27271968,286
27271969,286
27271970,286
27271971,286
27272060,286
27272387,286
27272388,286
27272389,286
27272390,286
27272391,286
27203762,287
27209967,287
27209968,287
27209969,287
27202686,288
27250863,288
27208191,290
27205190,291
27209088,292
27201430,293
27202433,293
27251934,293
27272465,293
27272466,293
27271921,296
27801708,296
27204200,297
27272392,297
27203544,298
27201035,299
27204114,299
27204474,299
27204762,299
27206377,299
27208892,299
27250864,299
27252793,299
27271381,299
27272298,299
27272472,299
27272778,299
27204491,300
27204071,300.94
27251916,301
27203973,302
27252914,302
27206005,304
27270909,304
27270910,304
27251018,306
27271064,308
27201646,310
27206057,310
27206074,310
27254317,310
27254755,310
27252033,311
27201252,312
27202665,312
27202704,312
27202708,312
27208792,312
27208891,312
27252694,312
27254345,312
27254346,312
27254347,312
27254348,312
27254349,312
27254350,312
27254351,312
27254352,312
27254353,312
27254354,312
27254355,312
27254356,312
27254357,312
27254358,312
27254359,312
27254360,312
27254361,312
27270805,312
27270806,312
27270807,312
27270958,312
27271052,312
27272483,312
27272484,312
27272485,312
27272486,312
27271372,313
27270048,315
27203102,316
27204402,316
27270952,316
27271074,316
27271075,316
27271715,316
27272295,316
27252936,317.66
27209651,319
27251915,319
27271076,319
27201652,319.8
27271941,320
27208606,321
27201492,322
27203144,322
27226198,323
27226209,323
27203974,325
27206395,325
27206790,325
27208190,325
27208772,325
27209886,325
27209888,325
27250874,325
27252709,325
27252710,325
27252711,325
27253223,325
27271841,325
27272024,325
27272075,325
27272090,325
27272091,325
27272092,325
27272448,325
27210228,329
27210230,329
27252920,329
27270825,330
27271954,331
27270854,332
27270856,332
27250959,333
27801275,334.74
27204022,335
27204023,335
27209188,335
27200020,338
27200021,338
27200730,338
27202132,338
27202201,338
27204210,338
27205288,338
27205392,338
27205393,338
27208177,338
27208840,338
27209236,338
27209718,338
27226150,338
27226186,338
27226214,338
27251497,338
27254558,338
27254559,338
27270403,338
27270404,338
27270405,338
27270406,338
27270407,338
27270408,338
27270409,338
27270410,338
27270411,338
27270412,338
27270413,338
27270414,338
27271032,338
27271257,338
27271258,338
27271259,338
27271260,338
27271261,338
27271262,338
27271263,338
27271264,338
27271265,338
27271266,338
27271267,338
27271268,338
27271269,338
27271270,338
27271271,338
27271272,338
27271274,338
27271275,338
27271276,338
27271277,338
27271278,338
27271279,338
27271280,338
27271281,338
27271282,338
27271283,338
27271284,338
27271285,338
27271286,338
27271287,338
27271288,338
27271289,338
27271290,338
27271291,338
27271292,338
27271293,338
27271294,338
27271295,338
27271296,338
27271297,338
27271298,338
27271299,338
27271300,338
27271301,338
27271302,338
27271303,338
27271825,338
27272023,338
27860676,338
27860677,338
27860678,338
27860679,338
27860680,338
27202552,339
27209230,339.04
27206121,341
27206122,341
27271178,341
27271180,341
27204021,342
27206879,342
27208897,342
27254163,342
27272051,342
27205174,342.08
27203725,344
27251891,344
27206263,344.18
27208189,345
27200188,346
27272420,346.32
27260128,348
27260129,348
27271713,348
27272406,348
27200557,349
27251877,349
27203776,350
27201266,351
27202122,351
27202292,351
27202294,351
27202295,351
27202296,351
27202298,351
27202308,351
27202353,351
27202465,351
27202583,351
27202639,351
27202646,351
27202664,351
27203346,351
27203686,351
27208827,351
27208828,351
27209904,351
27210400,351
27226184,351
27226185,351
27251137,351
27251138,351
27251154,351
27251155,351
27254161,351
27254213,351
27254214,351
27254911,351
27270330,351
27270331,351
27270332,351
27270959,351
27270969,351
27271195,351
27271196,351
27271197,351
27271198,351
27271199,351
27271200,351
27271958,351
27272015,351
27272039,351
27272146,351
2720978R,351
27203311,354
27253193,354
27271977,354
27203841,355
27205128,355
27204177,356
27210662,356
27202544,357
27206378,357
27206209,358
27204441,359
27209920,359
27206185,360
27251859,360
27201274,362
27205115,364
27206058,364
27206123,364
27254585,364
27270339,364
27270340,364
27271794,364
27271795,364
27271796,364
27271797,364
27271798,364
27271799,364
27271800,364
27271801,364
27271802,364
27271951,364
27272497,364
27272499,364
27272501,364
27801659,364.82
27203412,365
27271976,365
27226229,365.35
27202541,366
27206379,367
27252007,367
27201335,368
27251379,368
27202460,370
27272147,370
27201521,371
27270135,371
27270136,371
27270137,371
27203755,372
27251187,372
27209089,373
27209163,373
27250981,373
27203794,375
27209123,375
27202619,377
27202620,377
27202652,377
27250298,377
27251013,377
27251245,377
27270037,377
27201366,378
27253054,378
27203757,380
27208803,384
27250982,385
27254211,385
27270380,386
27253260,386.88
27209206,386.98
27203429,388
27201787,389
27204919,389
27200879,390
27201100,390
27201394,390
27202054,390
27202055,390
27202056,390
27202057,390
27202059,390
27202060,390
27202061,390
27202062,390
27202064,390
27202065,390
27202066,390
27202069,390
27202070,390
27202071,390
27202072,390
27202074,390
27202075,390
27202076,390
27202078,390
27202079,390
27202080,390
27202081,390
27202082,390
27202083,390
27202084,390
27202086,390
27202087,390
27202088,390
27202089,390
27202092,390
27202093,390
27203000,390
27203001,390
27203002,390
27204127,390
27206439,390
27206441,390
27206758,390
27208302,390
27208303,390
27208304,390
27208305,390
27208306,390
27208307,390
27208308,390
27208309,390
27208310,390
27208311,390
27208312,390
27208313,390
27208314,390
27208315,390
27208316,390
27208317,390
27208318,390
27208319,390
27208320,390
27208321,390
27208322,390
27208323,390
27208324,390
27208325,390
27208326,390
27208327,390
27208328,390
27208329,390
27208330,390
27208331,390
27208332,390
27208333,390
27208334,390
27208335,390
27208336,390
27208337,390
27208338,390
27208339,390
27208340,390
27208341,390
27208342,390
27208343,390
27208344,390
27208345,390
27208346,390
27208347,390
27208348,390
27208349,390
27208350,390
27208351,390
27208352,390
27208353,390
27208354,390
27208355,390
27208356,390
27208357,390
27208358,390
27208359,390
27208360,390
27208361,390
27208362,390
27208363,390
27208364,390
27208365,390
27208366,390
27208367,390
27208368,390
27208369,390
27208370,390
27208371,390
27208372,390
27208373,390
27208374,390
27208375,390
27208376,390
27208377,390
27208378,390
27208379,390
27208380,390
27208381,390
27208382,390
27209280,390
27209286,390
27209299,390
27209311,390
27209690,390
27209691,390
27209842,390
27210808,390
27210809,390
27226257,390
27250286,390
27250288,390
27250289,390
27250290,390
27250291,390
27250293,390
27250294,390
27250295,390
27250296,390
27250375,390
27250385,390
27250386,390
27250422,390
27250423,390
27250424,390
27250428,390
27250430,390
27250433,390
27250435,390
27250436,390
27250438,390
27250439,390
27250440,390
27250648,390
27250654,390
27251135,390
27253051,390
27253220,390
27254921,390
27270960,390
27270961,390
27272589,390
27272590,390
27272591,390
27272592,390
27272593,390
27272594,390
27272595,390
27272596,390
27272597,390
27272598,390
27272599,390
27272600,390
27272601,390
27272602,390
27272603,390
27272604,390
27272605,390
27272606,390
27272607,390
27272608,390
27272609,390
27272610,390
27272611,390
27272612,390
27272613,390
27272614,390
27272615,390
27272616,390
27272617,390
27272618,390
27272619,390
27272620,390
27272621,390
27272622,390
27272623,390
27272624,390
27272625,390
27272626,390
27272627,390
27272628,390
27272629,390
27272630,390
27272631,390
27272632,390
27272633,390
27272634,390
27272635,390
27272636,390
27272637,390
27272638,390
27272639,390
27272640,390
27272641,390
27272642,390
27272643,390
27272644,390
27272645,390
27272646,390
27801711,390
27801712,390
27801713,390
27801714,390
27801715,390
27801716,390
27801717,390
27801718,390
27801719,390
27204103,391
27204658,391
27206463,391
27201389,393
27202436,393
27208457,394
27208458,394
27254319,394
27254320,394
27254321,394
27272305,394
27272357,394
27200716,397.68
27201392,398
27272372,398.97
27200739,400
27251235,400
27271545,400
27271546,400
27271547,400
27271548,400
27271549,400
27271550,400
27271551,400
27271552,400
27271553,400
27271554,400
27271555,400
27271556,400
27271557,400
27271558,400
27271559,400
27271560,400
27271561,400
27271562,400
27271563,400
27271564,400
27271565,400
27271566,400
27271567,400
27271568,400
27271569,400
27271570,400
27271571,400
27271572,400
27271573,400
27271574,400
27271575,400
27271576,400
27271577,400
27271578,400
27271579,400
27271580,400
27271581,400
27271582,400
27271583,400
27271584,400
27271585,400
27271586,400
27271587,400
27271588,400
27271589,400
27271590,400
27271591,400
27271592,400
27271593,400
27271594,400
27271595,400
27271596,400
27271597,400
27271598,400
27271599,400
27271600,400
27271601,400
27271602,400
27271603,400
27271604,400
27271605,400
27271606,400
27271607,400
27271608,400
27271609,400
27271610,400
27271611,400
27271612,400
27271613,400
27271614,400
27271615,400
27271616,400
27271617,400
27271618,400
27271619,400
27271620,400
27271621,400
27271622,400
27271623,400
27271624,400
27271625,400
27271626,400
27271627,400
27271628,400
27271629,400
27271630,400
27271631,400
27271632,400
27271634,400
27271635,400
27271636,400
27271637,400
27271639,400
27271640,400
27271641,400
27271642,400
27271644,400
27271645,400
27271646,400
27271647,400
27271649,400
27271650,400
27271651,400
27271652,400
27271654,400
27271655,400
27271656,400
27271657,400
27271658,400
27271659,400
27271660,400
27271661,400
27271662,400
27271663,400
27271664,400
27271665,400
27271666,400
27271667,400
27271668,400
27271669,400
27271670,400
27271671,400
27271672,400
27271673,400
27271674,400
27271675,400
27271676,400
27271677,400
27271678,400
27271679,400
27271680,400
27271681,400
27271682,400
27271683,400
27271684,400
27271685,400
27271686,400
27271687,400
27271688,400
27271689,400
27271690,400
27271691,400
27271692,400
27271693,400
27271694,400
27271695,400
27271696,400
27271697,400
27271698,400
27271699,400
27271700,400
27271701,400
27271702,400
27271703,400
27271704,400
27271705,400
27271706,400
27209126,402
27201775,403
27201809,403
27201873,403
27202163,403
27202165,403
27202173,403
27202219,403
27272459,403
27203486,404
27206374,410
27271833,410.3
27209189,412
27200676,414.3
27203112,416
27203698,416
27204037,416
27204552,416
27205394,416
27206373,416
27206832,416
27206833,416
27208959,416
27208960,416
27208961,416
27208962,416
27208963,416
27208964,416
27208965,416
27253169,416
27254452,416
27254985,416
27254986,416
27254990,416
27270617,416
27271448,416
27271496,416
27271922,416
27271924,416
27272077,416
27272078,416
27272081,416
27272207,416
27272277,416
27272758,416
27210649,418
27270377,418
27204625,421
27203473,423.12
27271490,424
27201374,425
27201375,425
27204002,426
27204655,426
27251143,426
27203293,427
27204426,427
27201033,429
27201235,429
27201596,429
27201682,429
27208966,429
27209653,429
27254217,429
27254278,429
27254910,429
27260126,429
27860973,429
27209975,430
27209976,430
27820483,431.42
27271080,433
27201373,434
27253210,434
27201690,435
27201691,435
27201692,435
27203905,437
27251698,441
27200117,442
27201231,442
27205365,442
27208605,442
27209117,442
27210817,442
27226114,442
27226127,442
27226136,442
27226137,442
27226138,442
27226139,442
27226140,442
27226141,442
27226142,442
27226143,442
27226144,442
27226145,442
27226146,442
27226147,442
27226193,442
27226233,442
27226235,442
27254233,442
27254281,442
27254282,442
27254283,442
27254284,442
27254285,442
27254286,442
27254287,442
27254288,442
27254289,442
27254290,442
27254291,442
27254292,442
27254293,442
27254294,442
27254295,442
27254296,442
27254297,442
27254298,442
27254916,442
27254917,442
27254918,442
27254919,442
27254920,442
27254978,442
27254979,442
27254980,442
27254981,442
27254982,442
27254983,442
27254984,442
27254987,442
27254988,442
27254989,442
27260017,442
27270035,442
27270259,442
27203003,443
27209172,444
27250822,444
27202439,445
27254941,445
27204639,448
27209921,448
27253219,449
27271730,449
27254904,450
27250849,452
27204638,453
27270942,453
27250913,454
27251534,454
27201595,455
27201715,455
27201788,455
27201789,455
27201790,455
27201791,455
27201857,455
27201858,455
27201859,455
27201860,455
27201861,455
27201995,455
27201997,455
27201998,455
27201999,455
27202000,455
27202002,455
27202003,455
27202004,455
27202005,455
27202006,455
27202014,455
27202015,455
27202016,455
27202017,455
27202018,455
27202019,455
27202023,455
27202026,455
27202027,455
27202028,455
27202029,455
27202030,455
27202031,455
27202037,455
27202049,455
27202131,455
27202215,455
27202267,455
27202269,455
27202271,455
27202272,455
27202371,455
27202372,455
27202373,455
27202374,455
27202375,455
27202410,455
27202419,455
27203322,455
27203325,455
27203331,455
27203479,455
27203508,455
27203509,455
27204160,455
27204815,455
27208402,455
27208403,455
27209661,455
27209662,455
27209663,455
27209664,455
27209665,455
27209666,455
27209667,455
27209668,455
27209669,455
27209670,455
27209671,455
27209672,455
27209673,455
27209674,455
27209675,455
27209676,455
27209677,455
27209678,455
27209679,455
27209680,455
27209681,455
27209682,455
27209683,455
27209684,455
27209685,455
27209686,455
27209687,455
27209688,455
27209689,455
27250710,455
27250712,455
27250713,455
27250714,455
27250715,455
27250716,455
27250717,455
27250718,455
27254238,455
27260011,455
27260013,455
27271182,455
27271497,455
27271544,455
27271783,455
27272208,455
27272209,455
27272242,455
27272533,455
27272534,455
27272535,455
27272536,455
27272537,455
27272538,455
27272539,455
27272540,455
27272541,455
27272542,455
27272543,455
27272544,455
27272545,455
27272546,455
27272547,455
27272548,455
27272549,455
27272550,455
27272551,455
27272552,455
27272553,455
27272554,455
27272555,455
27272556,455
27272557,455
27272558,455
27272559,455
27272560,455
27272561,455
27272562,455
27272563,455
27272564,455
27272565,455
27272566,455
27272567,455
27272568,455
27272569,455
27272570,455
27272571,455
27272572,455
27272573,455
27272574,455
27272575,455
27272576,455
27272577,455
27272578,455
27272579,455
27272580,455
27272581,455
27272582,455
27272583,455
27272584,455
27272585,455
27272586,455
27272587,455
27272588,455
27203150,456
27203151,456
27203152,456
27203153,456
27208783,456
27226255,456
27251929,456
27270312,456
27271144,456
27204631,457
27210209,458
27254376,458
27254377,458
27272347,458
27270824,459
27252917,461
27250873,463
27251517,465
27252880,466
27272352,466
27201519,468
27201520,468
27203096,468
27204070,468
27208165,468
27208977,468
27254232,468
27254553,468
27202724,470
27202744,471
27204640,471
27209125,471
27270310,471
27271011,471
27271067,471
27271823,471
27271824,471
27272275,471
27253228,475
27203883,477
27203406,479
27204634,479
27272759,479
27206702,480
27201808,481
27202148,481
27202198,481
27209341,481
27271083,481
27272359,481
27272495,481
27204272,484
27272440,486
27204654,487
27204167,488
27203401,489
27210086,490
27210087,490
27210088,490
27210089,490
27210090,490
27210091,490
27210092,490
27210093,490
27210094,490
27210095,490
27210818,490
27210819,490
27270882,490
27272350,490
27271078,491
27209120,492
27252701,492
27208050,493
27201237,494
27202543,494
27202598,494
27202599,494
27202600,494
27202727,494
27202931,494
27202932,494
27202933,494
27202934,494
27202935,494
27203333,494
27203334,494
27203405,494
27203919,494
27206180,494
27206692,494
27206693,494
27208159,494
27208160,494
27208163,494
27208164,494
27208975,494
27208976,494
27208998,494
27210764,494
27210765,494
27250247,494
27250826,494
27250827,494
27253154,494
27253155,494
27253156,494
27253157,494
27253158,494
27253159,494
27253160,494
27253161,494
27253162,494
27253163,494
27253164,494
27253165,494
27253166,494
27253167,494
27253168,494
27270039,494
27271010,494
27271782,494
27271957,494
27272029,494
27272030,494
27205342,495
27205343,495
27205344,495
27252862,495
27200778,496
27271095,500
27271377,500
27270297,501
27206991,503
27202529,507
27202530,507
27202531,507
27203655,507
27203697,507
27208815,507
27208829,507
27208830,507
27226169,507
27226170,507
27250280,507
27250487,507
27250553,507
27270020,507
27270402,507
27270731,507
27271005,507
27271120,507
27272028,507
27226049,510
27270845,512
27272178,513
27251188,514
27272026,515
27272027,515
27270914,517
27270362,519
27203323,520
27203324,520
27203861,520
27208134,520
27208607,520
27226236,520
27250847,520
27254834,520
27254947,520
27270016,520
27270017,520
27270018,520
27270019,520
27270360,520
27270372,520
27270373,520
27270374,520
27271442,520
27272084,520
27272234,520
27270913,522
27203122,526
27203123,526
27203127,526
27203145,526
27203146,526
27202360,527
27208409,527
27271489,530
27201041,531
27201395,531
27204246,531
27204381,532
27203050,533
27203051,533
27251965,533
27251966,533
27271815,533
27271816,533
27271817,533
27271818,533
27271819,533
27272012,533
27271054,535.8
27254277,536
27206876,539
27203753,540
27250971,541
27252931,542
27200034,544
27201874,544
27201875,544
27202133,544
27202134,544
27202146,544
27202149,544
27202202,544
27202261,544
27202262,544
27202263,544
27202264,544
27202265,544
27202266,544
27202368,544
27202369,544
27202370,544
27202379,544
27202380,544
27202381,544
27202382,544
27202385,544
27202386,544
27202387,544
27202388,544
27202389,544
27202390,544
27202391,544
27202392,544
27202393,544
27202397,544
27202398,544
27202399,544
27202400,544
27202401,544
27202403,544
27202404,544
27202405,544
27202406,544
27202407,544
27203616,544
27206036,544
27206038,544
27206039,544
27206040,544
27206042,544
27206043,544
27206044,544
27206691,544
27209447,544
27209454,544
27209470,544
27209478,544
27209480,544
27209481,544
27209482,544
27209483,544
27209484,544
27209485,544
27209544,544
27209725,544
27209776,544
27209777,544
27209778,544
27209779,544
27209780,544
27209781,544
27209782,544
27209783,544
27250728,544
27250730,544
27250731,544
27250738,544
27250743,544
27250771,544
27250772,544
27250774,544
27250775,544
27250776,544
27250777,544
27250778,544
27250781,544
27250782,544
27250784,544
27250785,544
27250786,544
27250789,544
27250790,544
27250792,544
27201903,546
27201904,546
27201905,546
27201906,546
27201907,546
27203046,546
27203048,546
27203484,546
27203485,546
27203651,546
27206657,546
27271500,546
27209533,550
27226171,550
27254930,552
27203015,557
27203137,557
27204403,557
27204622,557
27208954,557
27208955,557
27270281,557
27272360,559
27204549,560
27204550,560
27250994,560
27254752,560
27270284,560
27253375,561
27271371,562
27209124,565
27210598,565
27206992,566
27271734,567
27271738,567
27271739,567
27271740,567
27271741,567
27209057,570
27252879,571
27202570,572
27203042,572
27204392,572
27206008,572
27206009,572
27206880,572
27254830,572
27254831,572
27254832,572
27254833,572
27270302,572
27270455,572
27271923,572
27200580,582
27201323,582
27226032,582
27226033,582
27209202,582.5
27205286,584
27208216,584
27210340,584
27202459,585
27203862,585
27203863,585
27203864,585
27209701,585
27209806,585
27209808,585
27209809,585
27209812,585
27209814,585
27209817,585
27226036,585
27254234,585
27254310,585
27254311,585
27254312,585
27254313,585
27254315,585
27271090,585
27271091,585
27271092,585
27271093,585
27271094,585
2720902R,585
27203881,587
27208569,588
27208570,588
27253217,590
27206842,591
27208778,593
27208779,593
27208781,593
27208782,593
27208784,593
27208785,593
27208786,593
27272274,593
27272284,593
27203975,594
27206006,594
27206010,594
27204660,595
27210666,595.75
27209450,596
27210669,596
27226250,597
27201825,598
27203038,598
27206007,598
27250996,598
27270036,598
27271391,598
27271392,598
27271393,598
27271394,598
27271395,598
27271396,598
27271397,598
27271398,598
27271399,598
27271400,598
27271401,598
27271402,598
27271403,598
27271404,598
27271405,598
27271406,598
27271407,598
27271408,598
27271409,598
27271410,598
27271411,598
27271412,598
27271413,598
27271414,598
27271415,598
27271416,598
27271417,598
27271418,598
27271419,598
27271420,598
27271421,598
27271422,598
27272017,598
27272018,598
27272019,598
27272020,598
27272021,598
27272045,598
27272046,598
27272047,598
27272048,598
27272310,598
27272311,598
27800093,598
27272049,599
27210668,603
27250005,603
27270756,605
27270760,605
27210667,606.5
27271035,608
27202145,609
27250960,609
27272079,609
27272080,609
27204802,610
27250060,610
27209000,611
27209962,611
27271803,611
27271804,611
27271808,611
27271809,611
27271810,611
27271811,611
27271812,611
27271813,611
27201681,614
27203951,615
27204009,615
27251738,617
27272057,618
27250581,620
27271061,620
27203408,622
27250802,622
27208173,623
27208175,623
27270087,623
27201813,624
27201815,624
27201817,624
27201819,624
27201821,624
27201827,624
27202164,624
27202166,624
27202168,624
27202170,624
27202172,624
27202174,624
27202176,624
27202178,624
27202224,624
27202228,624
27202361,624
27206993,624
27208405,624
27208408,624
27209628,624
27209805,624
27209807,624
27209810,624
27209818,624
27226070,624
27226071,624
27226072,624
27226073,624
27272349,624
27203336,628
27203343,628
27200245,633
27200428,633
27200099,637
27200100,637
27200101,637
27200177,637
27200178,637
27200183,637
27200184,637
27200196,637
27200197,637
27200198,637
27200199,637
27200200,637
27200201,637
27200202,637
27200203,637
27200204,637
27200205,637
27200206,637
27200208,637
27200209,637
27200210,637
27200211,637
27200212,637
27202143,637
27202288,637
27202290,637
27202291,637
27206360,637
27206363,637
27206366,637
27206864,637
27209731,637
27209804,637
27209811,637
27209813,637
27209815,637
27209816,637
27226130,637
27226181,637
27226234,637
27250935,637
27254299,637
27254300,637
27254314,637
27254365,637
27254900,637
27254958,637
27254969,637
27254971,637
27254972,637
27254973,637
27254974,637
27254975,637
27254976,637
27254977,637
27260083,637
27260084,637
27260085,637
27260086,637
27260087,637
27260088,637
27260089,637
27260090,637
27260091,637
27260092,637
27260093,637
27260094,637
27260095,637
27260096,637
27260097,637
27260098,637
27260099,637
27260100,637
27260101,637
27260102,637
27270415,637
27270416,637
27270417,637
27270418,637
27270419,637
27270420,637
27271231,637
27271232,637
27271233,637
27271234,637
27271235,637
27271236,637
27271237,637
27271238,637
27271239,637
27271240,637
27271241,637
27271242,637
27271243,637
27271244,637
27271245,637
27271246,637
27271247,637
27271248,637
27271249,637
27271250,637
27271251,637
27271252,637
27271253,637
27271254,637
27271255,637
27271256,637
27271993,637
27271994,637
27272376,637
27251930,638
27202548,642
27202549,642
27204473,643
27203410,646
27272059,648
27271034,649
27202945,650
27202946,650
27206877,650
27210671,650
27270006,650
27271101,650
27271376,650
27271973,650
27272083,650
27272188,650
27272399,650
27200770,654
27203777,661
27203983,662.82
27203512,663
27226128,663
27270290,663
27270291,663
27270292,663
27270293,663
27270294,663
27271124,663
27203335,664
27253182,665
27210100,669
27210101,669
27210103,669
27210104,669
27210107,669
27210108,669
27271438,670
27203345,671
27210102,671
27210105,671
27271460,671
27206981,672
27206372,676
27210596,678
27204632,679
27271128,680
27226248,684
27226249,684
27250004,684
27200738,685
27203326,685
27203327,685
27203328,685
27250860,685
27250861,685
27270587,687
27254775,689
27272371,689
27203313,691
27253985,691
27254961,691
27204633,692
27210534,694
27260036,695
27204059,698
27202363,700
27209882,700
27210281,700
27210282,700
27201771,702
27201793,702
27201794,702
27201795,702
27201798,702
27201867,702
27201872,702
27201886,702
27201889,702
27201890,702
27201892,702
27201893,702
27202123,702
27202124,702
27202125,702
27202128,702
27202129,702
27202285,702
27202346,702
27202347,702
27203037,702
27209655,702
27209656,702
27209657,702
27209693,702
27209743,702
27209744,702
27209745,702
27209746,702
27209749,702
27209751,702
27209752,702
27210775,702
27250514,702
27250515,702
27250517,702
27250518,702
27253208,708
27209610,710
27251655,710
27272404,710
27272405,710
27253571,712
27271724,712
27271725,712
27271726,712
27250985,714
27201876,715
