Charge Code,Charge Code Description,HCPCS Code, June 2019 Prices 
201301,CAR SEAT/BED TEST INFANT-12MO ADD30,, 45.17 
201319,BLOOD TRANSFUSION <1HR,Z5200," 1,011.04 "
201327,BLOOD TRANSFUSION >8HR,Z5200," 1,011.04 "
201335,BLOOD TRANSFUSION 1-2HR,Z5200," 1,011.04 "
201343,BLOOD TRANSFUSION 2-3HR,Z5200," 1,011.04 "
201350,BLOOD TRANSFUSION 3-4HR,Z5200," 1,011.04 "
201368,BLOOD TRANSFUSION 4-5HR,Z5200," 1,011.04 "
201376,BLOOD TRANSFUSION 5-6HR,Z5200," 1,011.04 "
201384,BLOOD TRANSFUSION 6-7HR,Z5200," 1,011.04 "
201392,BLOOD TRANSFUSION 7-8HR,Z5200," 1,011.04 "
300012,HEMODIALYSIS IP SNGL EVAL,," 1,523.32 "
300020,HEMODIALYSIS OP SNGL EVAL,," 1,523.32 "
300087,HEMO OP CAPD SNGL EVAL,," 3,065.55 "
300095,HEMO OP CCPD SNGL EVAL,," 3,065.55 "
300129,CAPD OP MULT EVAL,," 4,375.98 "
300137,CAPD OP MULT EVAL,," 4,375.98 "
300160,HEMO ESRD OP UNSCHED/ER,G0257," 1,792.09 "
300178,THER PLASMA PHERESIS,," 3,847.98 "
300202,THERAPEUTIC APH RBC,," 3,847.98 "
300236,CAPD IP SNGL EVAL,," 3,065.55 "
300244,CAPD IP MULT EVAL,," 4,375.98 "
300251,CCPD IP SNGL EVAL,," 3,065.55 "
300269,CCPD IP MULT EVAL,," 4,375.98 "
400010,SURG LEVEL 1 1ST HR 04,Z7506," 3,602.07 "
400028,SURG LEVEL 1 ADDL 30M 04,Z7508," 1,364.96 "
400036,SURG LEVEL 2 1ST HR 04,Z7506," 7,204.15 "
400044,SURG LEVEL 2 ADDL 30M 04,Z7508," 2,729.93 "
400051,SURG LEVEL 3 1ST HR 04,Z7506," 14,407.14 "
400069,SURG LEVEL 3 ADDL 30M 04,Z7508," 5,459.84 "
400077,SURG LEVEL 4 1ST HR 04,Z7506," 28,814.26 "
400085,SURG LEVEL 4 ADDL 30M 04,Z7508," 10,919.69 "
400093,SURG LEVEL 5 1ST HR 04,Z7506," 42,424.18 "
400101,SURG LEVEL 5 ADDL 30M 04,Z7508," 16,378.36 "
400275,SURG LEVEL 6 1ST HR 04,Z7506," 43,430.57 "
400283,SURG LEVEL 6 ADDL 30M 04,Z7506," 21,301.67 "
450015,ADAPT/EXT LEAD 01,C1883, 913.52 
450023,AGENT HEMOSTASIS 01,Z7610, 178.46 
450072,BARRIER ADHESION,L8699," 1,301.14 "
450080,BOLT ORTHO/SPINE 0104,L8699, 358.08 
450130,BUTTON NASAL SEPTAL04,Z7610, 322.63 
450155,CABLE ORTHO/SPINE 0104,L8699, 894.62 
450163,CAGE/SPACER SPINE 01,L8699," 5,368.84 "
450205,CATH ABL NON-CARDIAC04,C1886," 5,463.38 "
450221,CATH BLN TISS DI NON-VASC 04,C1727," 1,811.68 "
450239,CATH PERC DRAINAGE,C1729, 538.89 
450247,CATH BRACHYTX SRCE ADMIN 04,C1728, 374.63 
450270,CATH EP DX<19 ELECT,C1730," 1,301.14 "
450338,CATH HEMO SHORT TERM,C1752, 654.70 
450361,CATH INTRASPINE,C1755, 584.98 
450387,CATH OCCLUSION,C2628, 704.34 
450403,CATH SPEC/OTHER 01 04,Z7610, 178.46 
450411,CATH SUPRAPUBIC/CYSTO,C2627, 329.71 
450445,CATH TRN ANG OTH 01,C1725, 150.00 
450486,BONE CEMENT/FILL/PUTTY 0104,L8699, 358.08 
450502,IMP CLIP CARDIAC/NEURO 0104,L8699, 178.46 
450601,DEVICE URI/PELV WO SL 0,C2631," 4,240.65 "
450627,DEVICE VASC CLOSURE IMPL,C1760," 4,372.61 "
450650,ADAPT/EXT LEAD 02,C1883," 2,739.38 "
450825,GEN NEUROSTM NON 01 04,C1767," 8,605.23 "
450833,GRAFT VASC ALLO/XEN 01 04,L8670, 358.08 
450858,GRAFT VASC SYN 01,L8699, 358.08 
450890,IMP BREAST PROSTH 01,L8699, 913.52 
450924,IMP BREAST PROSTH 02,L8699," 3,579.62 "
450940,IMP EAR PROSTH 01 04,L8699, 178.46 
451021,IMP EAR PROSTH 02,L8699, 358.08 
451054,IMP PENILE INFL 01 04,C1813," 17,374.51 "
451062,IMP PENILE N-INFL 01 04,L8699," 17,374.51 "
451120,IMP URINARY SPHINCTER 0,C1815," 34,106.52 "
451153,INTRO/SHEATH GD PEEL,C1892, 313.18 
451161,INTRO/SHEATH NON-CARDIAC,Z7610, 447.91 
451187,INTRO/SHEATH NON-LASER,C1894, 120.54 
451252,LEAD NEUROSTM KT 01 04,C1897, 177.84 
451294,LENS IOL 01,Z7610, 154.50 
451310,MARKER TISSUE IMPL 04,L8699, 330.90 
451328,MATERIAL VOC CORD MED,C1878," 1,884.95 "
451344,MESH WIRE 01 04,L8699, 358.08 
451369,ROD/NAIL/PIN ORTHO/SPINE02,L8699, 358.08 
451567,ANCHOR/SCREW BONE 0304,L8699, 716.16 
451575,ANCHOR/SCREW BONE 04,L8699," 1,193.61 "
451781,ROD/NAIL/PIN ORTH/SPINE0304,L8699, 716.16 
451799,ROD/NAIL/PIN ORTH/SPINE04,L8699," 1,193.61 "
451807,ROD/NAIL/PIN ORTHO/SPINE05,L8699," 1,669.86 "
451815,ROD/NAIL/PIN ORTHO/SPINE06,L8699," 2,147.30 "
451823,ROD/NAIL/PIN ORTH/SPINE07,L8699," 2,982.83 "
451831,ROD/NAIL/PIN ORTH/SPINE08,L8699," 4,175.25 "
451849,ROD/NAIL/PIN ORTHO/SPINE09,L8699," 5,965.65 "
451856,ROD/NAIL/PIN ORTHO/SPINE10,L8699," 5,782.47 "
451864,ROD/NAIL/PIN ORTHO/SPINE11,L8699," 10,737.70 "
451948,PLATE ORTHO/SPINE 03,L8699, 716.16 
451955,PLATE ORTHO/SPINE 04 04,L8699," 1,193.61 "
451971,PLATE ORTHO/SPINE 06,L8699," 2,147.30 "
451989,PLATE ORTHO/SPINE 07,L8699," 2,982.83 "
451997,PLATE ORTHO/SPINE 08,L8699," 4,175.25 "
452003,PORT INDWELLING 02,L8699, 716.16 
452011,PORT INDWELLING 03,L8699," 1,193.61 "
452052,PORT INDWELLING 01 04,L8699, 358.08 
452060,PROBE CRYOABLATION NDL 04 045,C2618," 4,729.49 "
452094,PUMP INFUS NON-PROG PERM 04,L8699," 22,022.54 "
452102,PUMP INFUS NON-PROG TEMP 04,L8699, 716.16 
452110,PUMP INFUS PROG04,L8699," 45,499.87 "
452169,ROD/NAIL/PIN ORTH/SPINE01,L8699, 178.46 
452326,IMP SEALANT LQ 0104,Z7610, 716.16 
452367,IMP SEALANT LQ 04 04,Z7610," 2,147.30 "
452458,STENT NON-COR TEMP W/ 0104,L8699, 358.08 
452466,STENT NON-COR TEMP WO 01,L8699, 358.08 
452474,PROG PT NEUROSTM04,L8699," 4,096.09 "
452482,IMP SYS DIALYSIS ACCESS 04,C1881, 851.34 
452490,TISS CONN HUMAN 01,L8699," 1,074.24 "
452540,VALVE CARDIAC 01,L8699," 4,774.05 "
452557,VALVE CARDIAC 02,L8699," 10,815.00 "
452565,VALVE CARDIAC RING 01 04,L8699," 3,579.62 "
452599,PLATE ORTHO/SPINE 0504,L8699," 1,669.86 "
452722,IMP SEALANT LQ 03,Z7610," 1,669.86 "
452730,IMP SEALANT LQ 02,Z7610," 1,193.61 "
452763,CONNECTOR SPINE 0104,L8699," 1,789.22 "
452797,AGENT HEMOSTASIS 0204,Z7610, 358.08 
452805,AGENT HEMOSTASIS 0304,Z7610, 596.80 
452813,AICD DUAL 02,C1721," 83,510.79 "
452821,AICD DUAL 03,C1721," 107,371.00 "
452839,AICD DUAL 04,C1721," 131,231.24 "
452854,AICD OTHER 03,C1882," 69,525.00 "
452888,AICD SNGL 03,C1722," 45,646.42 "
452904,ANCHOR/SCREW BONE 05,L8699," 1,669.86 "
452912,ANCHOR/SCREW BONE 0604,L8699," 2,147.30 "
452920,BOLT ORTHO/SPINE 0204,L8699, 716.16 
452938,BOLT ORTHO/SPINE 0304,L8699," 1,193.61 "
452946,BOLT ORTHO/SPINE 04,L8699," 1,669.86 "
452953,BOLT ORTHO/SPINE 05,L8699," 2,147.30 "
452995,BOLT ORTHO/SPINE 06,L8699," 2,624.74 "
453001,BOLT ORTHO/SPINE 07 04,L8699," 3,102.18 "
453019,BONE HUMAN/SYN 04 04,L8699," 1,669.86 "
453027,BONE HUMAN/SYN 05 04 045,L8699," 2,045.05 "
453035,BONE HUMAN/SYN 06 04 045,L8699," 2,624.74 "
453043,BONE HUMAN/SYN 07,L8699," 3,102.18 "
453050,BONE HUMAN/SYN 08 04 045,L8699," 3,579.62 "
453068,BONE HUMAN/SYN 09,L8699," 4,055.88 "
453076,BONE HUMAN/SYN 1004,L8699," 4,533.32 "
453084,BONE HUMAN/SYN 1104,L8699," 5,965.65 "
453092,BONE HUMAN/SYN 12,L8699," 8,351.67 "
453225,CABLE ORTHO/SPINE 0204,L8699," 1,789.22 "
