Charge Code,Charge Code Description,HCPCS Code, June 2019 Prices 
1320605,CALCIUM TOTAL13,, 248.04 
1320613,CALCIUM IONIZED13,, 142.99 
1320639,CALCIUM URINE13,, 79.18 
1320696,CARBON DIOXIDE13,, 101.63 
1320704,CARBOXYHEMOGLOBIN QUAN13,, 166.62 
1320720,CEA13,, 173.72 
1320829,CHLORIDE BLOOD13,, 99.28 
1320837,CHLORIDE URINE13,, 113.44 
1320845,CHLORIDE OTHER SOURCES13,, 117.00 
1320860,CHOLESTEROL TOTAL13,, 115.82 
1321033,CORTISOL TOTAL13,, 171.36 
1321090,CK TOTAL13,, 142.99 
1321116,CKMB FRACTION13,, 167.82 
1321132,CREATININE BLOOD13,, 132.36 
1321140,CREATININE OTHER SOURCE13,, 146.54 
1321157,CREATININE CLEARANCE13,, 258.82 
1321199,VITAMIN B-1213,, 158.36 
1321306,DIHYDROXYVITAMIN D13,, 193.82 
1321371,ESTRADIOL13,, 315.80 
1321504,FERRITIN13,, 224.54 
1321512,FETAL FIBRONECTIN 13,," 1,414.60 "
1321546,FOLIC ACID SERUM13,, 154.82 
1321611,GAMMAGLOBULIN IGA13,, 79.18 
1321637,GAMMAGLOBULIN IGG13,, 79.18 
1321645,GAMMAGLOBULIN IGM13,, 79.18 
1321652,GAMMAGLOBULIN IGE13,, 175.92 
1321710,BLOOD GAS ARTERIAL13,, 351.00 
1321728,BLOOD GAS  W/O2 SAT 13,, 362.81 
1321736,BLOOD GAS O2 SAT ONLY13,, 42.23 
1321801,GLUCOSE FLUID NOT BLOOD13,, 125.27 
1321827,GLUCOSE QUAN BLOOD13,, 96.90 
1321835,GLUCOSE BLOOD REAG STRIP 13,, 96.90 
1321843,GLUCOSE POST GLUCOSE DOSE13,, 130.01 
1321850,GTT 1ST 3 SPECIMENS13,, 347.44 
1321868,GTT EA ADDL SPECIMEN13,, 56.72 
1321942,GLUTAMYLTRANSFERASE GAMMA13,, 147.73 
1322049,FOBT 1-3SPEC13,, 46.09 
1330018,GONADOTROPIN (FSH)13,, 237.13 
1330026,LUTEINIZING HORMONE13,, 335.47 
1330059,HAPTOGLOBIN QUAN13,, 328.91 
1330075,H PYLORI BREATH TEST ANAL13,, 224.52 
1330083,H PYLORI DRUG ADMIN13,, 118.84 
1330166,HGB GLYCOSYLATED (A1C)13,, 126.45 
1330182,HEMOGLOBIN METHEMOGL QUAN13,, 95.73 
1330414,INSULIN TOTAL13,, 127.85 
1330448,IRON13,, 150.08 
1330455,IRON BINDING CAPACITY13,, 180.81 
1330505,LACTIC ACID13,, 144.18 
1330513,LDH13,, 161.92 
1330620,LIPASE13,, 192.63 
1330653,HDL CHOLESTEROL13,, 134.72 
1330679,LDL CHOLESTEROL13,, 107.54 
1330695,MAGNESIUM13,, 144.18 
1330844,MYOGLOBIN,, 167.82 
1331099,OSMOLALITY BLOOD13,, 109.91 
1331107,OSMOLALITY URINE13,, 151.27 
1331149,PARATHYROID,, 427.25 
1331156,PH BODY FLUID NOT BLOOD13,, 78.00 
1331172,NATRIURETIC PEPTIDE13,, 356.90 
1331198,LACTOFERRIN FECAL QUAL13,, 42.54 
1340074,PHOSPHATASE ALKALINE13,, 128.81 
1340132,PHOSPHORUS INORGANIC13,, 144.18 
1340140,PHOSPHORUS URINE13,, 131.18 
1340215,POTASSIUM SERUM13,, 125.27 
1340223,POTASSIUM URINE13,, 95.73 
1340231,PREALBUMIN13,, 153.63 
1340280,PROGESTERONE13,, 303.78 
1340298,PROLACTIN13,, 296.13 
1340314,PSA COMPLEX13,, 218.63 
1340322,PSA TOTAL13,, 389.01 
1340330,PSA FREE13,, 304.87 
1340348,PROTEIN TOTAL SERUM13,, 135.90 
1340579,SODIUM SERUM13,, 130.01 
1340587,SODIUM URINE,, 92.19 
1340629,SPECIFIC GRAVITY13,, 36.65 
1340645,SUGARS SNGL QUAL13,, 26.80 
1340702,TESTOSTERONE TOTAL13,, 273.19 
1340744,THYROXINE TOTAL13,, 166.62 
1340769,THYROXINE FREE13,, 158.36 
1340785,THYROID STIM HORMONE13,, 176.08 
1340827,TRANSFERASE (AST) (SGOT)13,, 148.91 
1340835,TRANSFERASE (ALT) (SGPT)13,, 155.99 
1340843,TRANSFERRIN13,, 138.28 
1340850,TRIGLYCERIDES13,, 151.27 
1340868,THYR HORM (T3/T4) UPTAKE13,, 145.35 
1340876,TRIIODOTHYRONINE T3 TOTAL13,, 367.15 
1340884,TRIIODOTHYRONINE FREE13,, 330.00 
1340900,TROPONIN QUAN13,, 200.91 
1340967,UREA NITROGEN QUAN13,, 125.27 
1340983,UREA NITROGEN URINE13,, 177.27 
1340991,UREA NITROGEN CLEARANCE 13,, 132.36 
1341007,URIC ACID BLOOD13,, 128.81 
1341015,URIC ACID OTHER SOURCES13,, 75.64 
1341163,HCG QUAN13,, 236.35 
1341171,HCG QUAL,, 191.45 
1341205,PSA SCREEN13,G0103, 255.26 
1341213,SODIUM OTHER SOURCE13,, 72.09 
1341221,PROTEIN TOTAL URINE13,, 135.90 
1341239,PROTEIN TOTAL OTHER13,, 135.90 
1341254,PROTEIN ELECT SERUM13,, 314.71 
1341288,EVAL CERVICOVAG FLUID QUAL EA 13 134,, 536.53 
1350016,BLEEDING TIME13,, 111.09 
1350024,SMEAR W/DIFF WBC COUNT13,, 87.45 
1350065,HEMATOCRIT13,, 69.72 
1350073,HEMOGLOBIN13,, 64.99 
1350123,CBC AUTO W/AUTO DIFF13,, 160.71 
1350131,CBC W/O DIFFERENTIAL13,, 118.17 
1350172,RETICULOCYTE AUTO13,, 91.00 
1350198,LEUKOCYTE AUTO13,, 54.36 
1350511,COAG TIME ACTIVATED13,, 113.44 
1350586,FDP D-DIMER QUAN13,, 219.81 
1350594,FIBRINOGEN ACTIVITY13,, 198.53 
1350693,HGB FETAL KLEIHAUER13,, 37.44 
1350818,PLT AGGREGATION EA13,, 191.45 
1350867,PROTHROMBIN TIME13,, 117.00 
1350917,SED RATE NON AUTO,, 74.45 
1350925,SED RATE AUTO13,, 74.45 
1350933,HGB S SCREEN (SICKLE)13,, 67.37 
1350974,PTT13,, 142.99 
1350982,PTT PLASMA SUBSTITUTION 13,, 31.91 
1351014,PLATELET AUTO13,, 133.55 
1360080,ANTINUCLEAR AB (ANA)13,, 336.56 
1360098,ANA Titer13,, 48.73 
1360106,ANTISTREPTOLYSIN 0 TITER13,, 270.99 
1360114,ANTISTREPTOLYSIN 0 SCREEN13,, 233.84 
1360122,CRP13,, 115.82 
1360130,HS-CRP13,, 64.99 
1360189,COMPLEMENT AG EA13,, 300.50 
1360395,CA 15-3 (27.29)13,, 232.75 
1360403,CA 19-913,, 263.35 
1360411,CA 12513,, 346.40 
1360429,HETEROPHILE AB SCREEN13,, 121.72 
1360494,INF AGENT AB QUAN NOS13,, 184.35 
1360684,MICROSOMAL AB EA13,, 63.53 
1360726,PART AGGLUT SCREEN EA13,, 113.44 
1360742,RA FACTOR QUAL EA13,, 79.18 
1360759,RA FACTOR QUAN13,, 24.04 
1360791,SKIN TEST TB DERM13,, 132.36 
1360841,SYPHILIS TEST QUAL RPR13,, 49.63 
1360866,SYPHILIS TEST QUAN 13,, 22.46 
1361021,COCCIDIOIDES AB13,, 121.72 
1361310,HIV-113,, 101.63 
1361336,HIV-1 AND HIV-2 13,, 444.35 
1361351,HEP B CORE AB IGM13,, 138.28 
1361369,HEP B SURF AB13,, 185.76 
1361393,HEP A IGM AB13,, 132.36 
1361484,MUMPS AB13,, 140.97 
1361583,RUBELLA AB13,, 62.83 
1361591,RUBEOLA AB13,, 137.68 
1361674,VARICELLA ZOSTER AB13,, 137.68 
1361708,THYROGLOBULIN AB13,, 69.44 
1361716,HEP C AB13,, 167.82 
1361757,COLD AGGLUTININ TITER13,, 120.54 
1361948,TB AG MEAS GAM INTERF13,, 560.57 
1362003,TREPONEMA PALLIDUM AB13,, 59.10 
1362037,TB AG MEAS GAM INTERF T-CELLS 13,, 300.00 
1362045,AG TYPE REAGENT/AG TEST13,, 79.18 
1370030,CONCENTRATION SPECIMEN 13 137,, 32.30 
1370048,CULTURE BLOOD13,, 282.45 
1370055,CULTURE STOOL13,, 290.72 
1370071,CULTURE FLUID13,, 237.54 
1370089,CULTURE GENITAL13,, 237.54 
1370097,CULTURE OTHER13,, 237.54 
1370105,CULT RESPIRATORY13,, 237.54 
1370113,CULTURE WOUND13,, 237.54 
1370154,CULT ANAEROBIC ID 13 137,, 105.17 
1370162,CULT AEROBIC ID13,, 105.17 
1370170,CULTURE SCREEN13,, 118.17 
1370196,CULTURE URINE COL COUNT13,, 223.36 
1370204,CULT URINE ID13,, 33.09 
1370220,CULTURE FUNGI NOS13,, 194.99 
1370238,CULTURE FUNGI BLOOD13,, 283.63 
1370246,CULT FUNGI YEAST ID13,, 49.94 
1370253,CULT FUNGI MOLD ID13,, 96.90 
1370287,CULTURE MYCOBACTERIA,, 212.73 
1370295,CULT MYCOBACTERIA ID13,, 52.93 
1370329,CULT TYPING IMMUNO EA13,, 72.09 
1370386,MACRO EXAM ARTHROPOD13,, 49.63 
1370394,MACRO EXAM PARASITE13,, 21.27 
1370428,OVA & PARASITES SMEARS13,, 153.63 
1370451,ANTIBIOTIC SENS ENZ METH13,, 7.43 
1370469,ANTIBIOTIC SENS MIC13,, 170.18 
1370535,GRAM STAIN SMEAR13,, 102.81 
1370543,ACID FAST SMEAR13,, 42.54 
1370550,INCLUSION/PARASITES SMEAR13,, 82.73 
1370568,WET MOUNT INF AGENT13,, 105.17 
1370576,KOH PREP13,, 132.36 
1370626,VIRUS INOC SHELL VIAL13,, 87.36 
1370832,CLOSTRIDIUM DIFF EIA/ELISA/IMCA,, 157.18 
1370840,CRYPTOCOCCUS EIA/ELISA/IMCA,, 46.09 
1370857,CRYPTOSPORIDIUM EIA/ELISA/IMCA,, 40.52 
1370923,HEP B SURF AG EIA/ELISA/IMCA,, 121.72 
1370931,HBSAG NEUTRAL EIA/ELISA/IMCA,, 222.91 
1370998,INFLUENZA A/B EA EIA/ELISA/IMCA,, 163.09 
1371004,RSV EIA/ELISA/IMCA,, 231.63 
1371020,SHIGA-LIKE TOXIN EIA/ELISA/IMCA,, 44.89 
1371038,STREP GRP A EIA/ELISA/IMCA,, 94.54 
1371178,CHLAMYDIA PNEU PCR AMP 13,, 148.75 
1371202,CHLAMYDIA TRACH PCR AMP13,, 156.69 
1371624,MYCOPLASMA PNEU PCR AMP 13,, 148.75 
1371657,NEISSERIA GONOR PCR AMP13,, 156.69 
1371749,INF AGNT PCR AMP NOS EA13,, 356.90 
1371806,INFLUENZA AG BY DOO13,, 114.64 
1371830,STREP GRP IA DOO13,, 98.08 
1371848,INF AGNT IA DOO13,, 158.36 
1371947,FERN TEST13,Q0114, 120.54 
1371954,GIARDIA EIA/ELISA/IMCA,, 40.52 
1371988,RESP SYNCYTIAL VIRUS DOO13,, 166.62 
1372036,STAPH PCR AMP 13,, 169.71 
1372044,STAPH MRSA PCR AMP13,, 169.71 
1372051,STREP GROUP B PCR AMP,, 360.45 
1372119,CULT TYP ID NA AMP PR13,, 133.89 
1372135,CLOSTRIDIUM TOX PCR AMP13,, 452.62 
1372143,FLU MULT/SUB PCR AMP 1ST 213,, 360.70 
1372150,FLU MULT/SUB PCR AMP EA ADD13,, 88.03 
1372176,HIV-1 AG W/HIV1&2 EIA/ELISA/IMCA,, 107.52 
1372192,PAPILLOMAVIRUS LOW RISK 13 137,, 161.28 
1372200,PAPILLOMAVIRUS HIGH RISK 13 137,, 161.27 
1372218,PAPILLOMAVIRUS 16 & 18 ONLY 13 137,, 161.27 
1372242,RESP VIRUS PCR AMP 12-25 TARGETS 13 137,," 1,766.61 "
1372259,RESP VIRUS PCR AMP 3-5 TARGETS 13 137,, 543.78 
1380013,AB SCREEN 13,, 159.54 
1380039,AB ID 13,, 254.09 
1380047,COOMBS DIRECT 13,, 104.00 
1380096,ABO GROUP 13,, 87.45 
1380104,RH TYPE 13,, 121.72 
1380187,CROSSMATCH IMMED SPIN 13,, 378.16 
1380203,CROSSMATCH AHG 13,, 510.54 
1390012,CELL COUNT FLUID 13,, 109.91 
1390020,CELL COUNT FLUID W/DIFF13,, 167.82 
1390038,CRYSTAL ID FLUID13,, 120.54 
1390517,LEUKOCYTE ASMT FECAL13,, 107.54 
1390715,PROCALCITONIN13,, 601.01 
1397017,VENIPUNCTURE ROUTINE13,, 17.73 
1397033,THERAPEUTIC PHLEBOTOMY 13,, 122.91 
1397108,CAPILLARY BLD COLLECTION13,, 28.37 
1400019,BASIC METAB PNL TCA14,, 73.21 
1400027,GENERAL HEALTH PNL14,, 240.40 
1400035,ELECTROLYTE PNL14,, 57.92 
1400043,COMP METABOLIC PNL14,, 84.14 
1400068,LIPID PNL14,, 122.38 
1400076,RENAL FUNCTION PNL14,, 78.67 
1400084,ACUTE HEP PNL14,, 295.03 
1400092,HEPATIC FUNCTION PNL14,, 75.40 
1400159,AMIKACIN PEAK14,, 22.41 
1400167,AMIKACIN RANDOM14,, 22.41 
1400175,AMIKACIN TROUGH14,, 22.41 
1400209,CARBAMAZEPINE TOTAL14,, 116.93 
1400241,DIGOXIN TOTAL 14,, 130.04 
1400258,VALPROIC ACID TOTAL 14,, 113.64 
1400282,GENTAMICIN PEAK14,, 120.20 
1400290,GENTAMICIN RANDOM14,, 120.20 
1400308,GENTAMICIN TROUGH14,, 120.20 
1400357,LITHIUM14,, 71.03 
1400373,PHENOBARBITAL14,, 103.81 
1400381,PHENYTOIN TOTAL14,, 130.04 
1400449,SALICYLATE SERUM,G0480, 80.87 
1400472,THEOPHYLLINE14,, 119.11 
1400480,TOBRAMYCIN PEAK14,, 123.48 
1400498,TOBRAMYCIN RANDOM14,, 123.48 
1400506,TOBRAMYCIN TROUGH14,, 123.48 
1400522,VANCOMYCIN PEAK14,, 107.09 
1400530,VANCOMYCIN RANDOM14,, 107.09 
1400548,VANCOMYCIN TROUGH14,, 107.09 
1401124,DRUG TEST OPTICAL OBSRV PER DOS,, 16.39 
1401132,DRUG TEST INSTRUMENT PER DOS,, 15.91 
1401165,DRUG TEST CHEM ANALYZER PER DOS,, 15.91 
1410026,URINALYSIS AUTO W/MICR14,, 40.43 
1410042,URINALYSIS AUTO WO MICR,, 10.93 
1410075,URINALYSIS MICROSCOPIC14,, 37.15 
1410091,URINE PREG TEST VISUAL,, 24.04 
1410109,URINE VOL MEAS TIMED COL14,, 5.81 
1420025,ACETAMINOPHEN14,G0480, 143.15 
1420033,KETONES BODY(S) QUAL14,, 68.85 
1420041,KETONES BODY(S) QUAN14,, 38.24 
1420108,ALBUMIN SERUM14,, 37.15 
1420116,ALBUMIN BODY FLUID14,, 24.04 
1420124,MICROALBUMIN URINE QUAN14,, 27.32 
1420140,ALCOHOLS 14,G0480, 80.87 
1420215,ALPHA-FETOPROTEIN SERUM14,, 44.81 
1420314,AMMONIA14,, 116.93 
1420348,AMYLASE14,, 69.94 
1420488,BILIRUBIN TOTAL14,, 40.43 
1420496,BILIRUBIN DIRECT14,, 40.43 
1420520,FOBT 3SPEC14,, 34.97 
1420538,OCCULT BLD OTHER 1 SPEC14,, 15.30 
1420546,FOBT HGB IA 1-314,, 76.49 
1420579,CALCIFEDIOL 25-OH VIT D-314,, 139.87 
1420603,CALCIUM TOTAL14,, 95.07 
1420611,CALCIUM IONIZED14,, 64.47 
1420637,CALCIUM URINE14,, 50.26 
1420694,CARBON DIOXIDE14,, 46.99 
1420702,CARBOXYHEMOGLOBIN QUAN14,, 57.92 
1420728,CEA14,, 29.50 
1420827,CHLORIDE BLOOD14,, 34.97 
1420835,CHLORIDE URINE14,, 45.90 
1420843,CHLORIDE OTHER SOURCES14,, 45.90 
1420868,CHOLESTEROL TOTAL14,, 42.62 
1421031,CORTISOL TOTAL14,, 124.57 
1421098,CK TOTAL14,, 53.54 
1421114,CKMB FRACTION14,, 175.92 
1421130,CREATININE BLOOD14,, 46.99 
1421148,CREATININE OTHER SOURCE14,, 46.99 
1421155,CREATININE CLEARANCE14,, 91.79 
1421197,VITAMIN B-1214,, 71.03 
1421379,ESTRADIOL14,, 326.73 
1421502,FERRITIN14,, 64.47 
1421510,FETAL FIBRONECTIN 14,, 410.87 
1421544,FOLIC ACID SERUM14,, 125.66 
1421619,GAMMAGLOBULIN IGA14,, 50.26 
1421635,GAMMAGLOBULIN IGG14,, 50.26 
1421643,GAMMAGLOBULIN IGM14,, 50.26 
1421650,GAMMAGLOBULIN IGE14,, 170.47 
1421718,BLOOD GAS ARTERIAL,, 150.79 
1421726,BLOOD GAS  W/O2 SAT 14,, 135.50 
1421734,BLOOD GAS O2 SAT ONLY14,, 16.91 
1421809,GLUCOSE FLUID NOT BLOOD14,, 31.69 
1421825,GLUCOSE QUAN BLOOD14,, 40.43 
1421833,GLUCOSE BLOOD REAG STRIP 14,, 40.43 
1421841,GLUCOSE POST GLUCOSE DOSE14,, 22.95 
1421858,GTT 1ST 3 SPECIMENS14,, 100.53 
1421866,GTT EA ADDL SPECIMEN14,, 27.32 
1421940,GLUTAMYLTRANSFERASE GAMMA14,, 56.83 
1422047,FOBT 1-3SPEC14,, 31.69 
1430016,GONADOTROPIN (FSH)14,, 217.45 
1430024,LUTEINIZING HORMONE14,, 290.67 
1430057,HAPTOGLOBIN QUAN14,, 205.43 
1430073,H PYLORI BREATH TEST ANAL,, 97.29 
1430081,H PYLORI DRUG ADMIN14,, 53.05 
1430164,HGB GLYCOSYLATED (A1C)14,, 45.90 
1430180,HEMOGLOBIN METHEMOGL QUAN14,, 34.97 
1430412,INSULIN TOTAL14,, 118.02 
1430446,IRON14,, 68.85 
1430453,IRON BINDING CAPACITY14,, 74.30 
1430503,LACTIC ACID14,, 102.71 
1430511,LDH14,, 50.26 
1430628,LIPASE14,, 62.28 
1430651,HDL CHOLESTEROL14,, 38.24 
1430677,LDL CHOLESTEROL14,, 66.65 
1430693,MAGNESIUM14,, 56.83 
1430842,MYOGLOBIN,, 109.27 
1431097,OSMOLALITY BLOOD14,, 76.49 
1431105,OSMOLALITY URINE14,, 66.65 
1431147,PARATHORMONE,, 427.25 
1431154,PH BODY FLUID NOT BLOOD,, 27.32 
1431170,NATRIURETIC PEPTIDE14,, 162.81 
1431196,LACTOFERRIN FECAL QUAL14,, 39.34 
1440072,PHOSPHATASE ALKALINE14,, 46.99 
1440130,PHOSPHORUS INORGANIC14,, 37.15 
1440148,PHOSPHORUS URINE14,, 46.99 
1440213,POTASSIUM SERUM14,, 33.88 
1440221,POTASSIUM URINE14,, 42.62 
1440239,PREALBUMIN14,, 68.85 
1440288,PROGESTERONE14,, 288.48 
1440296,PROLACTIN14,, 224.00 
1440312,PSA COMPLEX14,, 28.41 
1440320,PSA TOTAL14,, 261.17 
1440338,PSA FREE14,, 214.18 
1440346,PROTEIN TOTAL SERUM14,, 32.78 
1440577,SODIUM SERUM14,, 33.88 
1440585,SODIUM URINE,, 41.52 
1440627,SPECIFIC GRAVITY14,, 30.60 
1440700,TESTOSTERONE TOTAL14,, 267.72 
1440742,THYROXINE TOTAL14,, 66.65 
1440767,THYROXINE FREE14,, 142.06 
1440783,THYROID STIM HORMONE14,, 157.35 
1440825,TRANSFERASE (AST) (SGOT)14,, 46.99 
1440833,TRANSFERASE (ALT) (SGPT)14,, 46.99 
1440841,TRANSFERRIN14,, 123.48 
1440858,TRIGLYCERIDES14,, 49.17 
1440866,THYR HORM (T3/T4) UPTAKE14,, 55.73 
1440874,TRIIODOTHYRONINE T3 TOTAL14,, 273.19 
1440882,TRIIODOTHYRONINE FREE14,, 197.78 
1440908,TROPONIN QUAN14,, 144.24 
1440965,UREA NITROGEN QUAN14,, 31.69 
1440981,UREA NITROGEN URINE14,, 44.81 
1441005,URIC ACID BLOOD14,, 43.71 
1441013,URIC ACID OTHER SOURCES14,, 44.81 
1441161,HCG QUAN14,, 135.50 
1441179,HCG QUAL,, 66.65 
1441203,PSA SCREEN14,G0103, 28.41 
1441229,PROTEIN TOTAL URINE14,, 36.06 
1441237,PROTEIN TOTAL OTHER14,, 17.48 
1441252,PROTEIN ELECT SERUM14,, 198.87 
1441286,EVAL CERVICOVAG FLUID QUAL EA 14 144,, 308.15 
1450022,SMEAR W/DIFF WBC COUNT14,, 29.50 
1450063,HEMATOCRIT14,, 10.93 
1450071,HEMOGLOBIN14,, 10.93 
1450121,CBC AUTO W/AUTO DIFF14,, 65.56 
1450139,CBC W/O DIFFERENTIAL14,, 45.90 
1450170,RETICULOCYTE AUTO14,, 18.58 
1450196,LEUKOCYTE AUTO14,, 29.50 
1450519,COAG TIME ACTIVATED14,, 19.67 
1450584,FDP D-DIMER QUAN14,, 121.29 
1450592,FIBRINOGEN ACTIVITY14,, 79.77 
1450691,HGB FETAL KLEIHAUER14,, 15.00 
1450816,PLT AGGREGATION EA14,, 102.71 
1450865,PROTHROMBIN TIME14,, 42.62 
1450915,SED RATE NON AUTO14,, 45.90 
1450923,SED RATE AUTO14,, 13.11 
1450931,HGB S SCREEN (SICKLE)14,, 60.10 
1450972,PTT14,, 56.83 
1450980,PTT PLASMA SUBSTITUTION 14,, 11.62 
1451012,PLATELET AUTO14,, 38.24 
1460088,ANTINUCLEAR AB (ANA)14,, 187.94 
1460096,ANA Titer14,, 21.12 
1460104,ANTISTREPTOLYSIN 0 TITER14,, 144.24 
1460112,ANTISTREPTOLYSIN 0 SCREEN14,, 133.31 
1460120,CRP14,, 93.98 
1460138,HS-CRP14,, 26.22 
1460187,COMPLEMENT AG EA14,, 205.43 
1460393,CA 15-3 (27.29)14,, 218.55 
1460401,CA 19-914,, 218.55 
1460419,CA 12514,, 249.15 
1460427,HETEROPHILE AB SCREEN14,, 46.99 
1460492,INF AGENT AB QUAN NOS14,, 22.95 
1460682,MICROSOMAL AB EA14,, 27.53 
1460724,PART AGGLUT SCREEN EA14,, 80.87 
1460740,RA FACTOR QUAL EA14,, 27.32 
1460757,RA FACTOR QUAN14,, 10.41 
1460799,SKIN TEST TB DERM14,, 6.56 
1460849,SYPHILIS TEST QUAL RPR14,, 50.26 
1461029,COCCIDIOIDES AB14,, 68.85 
1461185,FUNGUS AB NOS 14,, 23.75 
1461318,HIV-114,, 42.62 
1461334,HIV-1 AND HIV-2 14,, 102.71 
1461359,HEP B CORE AB IGM14,, 88.51 
1461367,HEP B SURF AB14,, 154.08 
1461391,HEP A IGM AB14,, 86.32 
1461482,MUMPS AB14,, 136.59 
1461581,RUBELLA AB14,, 27.22 
1461599,RUBEOLA AB14,, 134.40 
1461672,VARICELLA ZOSTER AB14,, 134.40 
1461706,THYROGLOBULIN AB14,, 30.10 
1461714,HEP C AB14,, 112.55 
1461755,COLD AGGLUTININ TITER14,, 38.24 
1461946,TB AG MEAS GAM INTERF14,, 281.92 
1462001,TREPONEMA PALLIDUM AB14,, 25.61 
1470038,CONCENTRATION SPECIMEN14,, 12.95 
1470046,CULTURE BLOOD14,, 112.55 
1470053,CULTURE STOOL14,, 150.79 
1470079,CULTURE FLUID14,, 63.38 
1470087,CULTURE GENITAL14,, 63.38 
1470095,CULTURE OTHER14,, 63.38 
1470103,CULT RESPIRATORY14,, 63.38 
1470111,CULTURE WOUND14,, 63.38 
1470152,CULT ANAEROBIC ID14,, 64.47 
1470160,CULT AEROBIC ID14,, 64.47 
1470178,CULTURE SCREEN14,, 53.54 
1470194,CULTURE URINE COL COUNT14,, 88.51 
1470202,CULT URINE ID14,, 13.11 
1470228,CULTURE FUNGI NOS14,, 16.24 
1470236,CULTURE FUNGI BLOOD14,, 42.62 
1470244,CULT FUNGI YEAST ID14,, 19.99 
1470285,CULTURE MYCOBACTERIA14,, 19.71 
1470327,CULT TYPING IMMUNO EA14,, 22.95 
1470384,MACRO EXAM ARTHROPOD14,, 20.76 
1470426,OVA & PARASITES SMEARS14,, 41.52 
1470459,ANTIBIOTIC SENS ENZ METH14,, 7.21 
1470467,ANTIBIOTIC SENS MIC14,, 84.14 
1470533,GRAM STAIN SMEAR14,, 49.17 
1470541,ACID FAST SMEAR14,, 10.41 
1470558,INCLUSION/PARASITES SMEAR14,, 72.12 
1470566,WET MOUNT INF AGENT14,, 20.76 
1470574,KOH PREP14,, 20.76 
1470624,VIRUS INOC SHELL VIAL14,, 37.86 
1470830,CLOSTRIDIUM DIFF EIA/ELISA/IMCA,, 45.73 
1470848,CRYPTOCOCCUS EIA14,, 17.95 
1470855,CRYPTOSPORIDIUM EIA/ELISA/IMCA,, 17.56 
1470921,HEP B SURF AG EIA/ELISA/IMCA,, 114.73 
1470939,HBSAG NEUTRAL EIA/ELISA/IMCA,, 170.47 
1470996,INFLUENZA A/B EA EIA/ELISA/IMCA,, 44.81 
1471002,RSV EIA/ELISA/IMCA,, 87.42 
1471028,SHIGA-LIKE TOXIN EIA/ELISA/IMCA,, 17.98 
1471176,CHLAMYDIA PNEU PCR AMP 14,, 64.46 
1471200,CHLAMYDIA TRACH PCR AMP14,, 67.90 
1471622,MYCOPLASMA PNEU PCR AMP 14,, 64.46 
1471655,NEISSERIA GONOR PCR AMP14,, 67.90 
1471747,INF AGNT PCR AMP NOS EA14,, 168.28 
1471838,STREP GRP IA DOO14,, 16.39 
1471846,INF AGNT IA DOO14,, 44.81 
1471945,FERN TEST14,Q0114, 55.73 
1471952,GIARDIA EIA/ELISA/IMCA,, 40.52 
1471986,RESP SYNCYTIAL VIRUS DOO14,, 44.81 
1472034,STAPH PCR AMP 14,, 68.00 
1472042,STAPH MRSA PCR AMP14,, 68.00 
1472059,STREP GROUP B PCR AMP,, 168.28 
1472133,CLOSTRIDIUM TOX PCR AMP14,, 204.34 
1472141,FLU MULT/SUB PCR AMP 1ST 214,, 156.30 
1472158,FLU MULT/SUB PCR AMP EA ADD14,, 38.15 
1472174,HIV-1 AG W/HIV1&2 EIA/ELISA/IMCA,, 46.60 
1472190,PAPILLOMAVIRUS LOW RISK 14 147,, 67.85 
1472208,PAPILLOMAVIRUS HIGH RISK 14 147,, 67.85 
1472216,PAPILLOMAVIRUS 16 & 18 ONLY 14 147,, 67.85 
1472240,RESP VIRUS PCR AMP 12-25 TARGETS 14 147,, 765.54 
1472257,RESP VIRUS PCR AMP 3-5 TARGETS 14 147,, 235.63 
1480011,AB SCREEN 14,, 16.39 
1480029,AB ELUTION 14,, 28.41 
1480037,AB ID 14,, 28.41 
1480060,AB TITER 14,, 24.04 
1480094,ABO GROUP 14,, 31.69 
1480102,RH TYPE 14,, 46.99 
1490010,CELL COUNT FLUID 14,, 22.95 
1490028,CELL COUNT FLUID W/DIFF14,, 60.10 
1490036,CRYSTAL ID FLUID14,, 55.73 
1490515,LEUKOCYTE ASMT FECAL14,, 20.76 
1490713,PROCALCITONIN14,, 409.78 
1497015,VENIPUNCTURE ROUTINE14,, 10.93 
1497106,CAPILLARY BLD COLLECTION14,, 16.39 
1510171,CYTO SMEARS W/INTERP151,, 40.28 
1510189,CYTO FILTER W/INTERP151,, 19.84 
1510205,CYTO CONC SMEARS W/INTERP151,, 35.02 
1510213,CYTO FORENSIC 151,, 36.53 
1510270,CYTO CELL TECH W/INTERP151,, 36.99 
1510361,CYTO SMEARS OTH SCR & INT151,, 49.48 
1510379,CYTO SMEARS OTH PREP SCR151,, 42.50 
1510387,CYTO SMEARS EXT151,, 52.95 
1510437,CYTO EVAL FNA 1ST EVAL EA SITE151,, 18.91 
1510445,FNA INTERP & RPT151,, 75.62 
1510460,FLOW CYTO DNA CELL CYCLE151,, 36.53 
1510478,MISC CYTO PROC 151,, 19.84 
1510742,MISC CYTOGENIC STUDY 151,, 19.84 
1510759,SURG PATH GR ONLY LEVEL I151,, 11.02 
1510767,SURG PATH GR/MC LEVEL II151,, 21.87 
1510775,SURG PATH GR/MC LEVEL III151,, 26.80 
1510783,SURG PATH GR/MC LEVEL IV,, 27.46 
