Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
AU000058,,NYSTAGMUS TEST & RCD OPTOKIN,$376.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000059,,NYSTAGMUS TEST & RCD POSIT 4 OR MORE,$409.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000060,,NYSTAGMUS TEST & RCD SPONTAN,$376.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000061,,SCREENING TEST PURE TONE AIR ONLY,$105.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000062,,TYMPANOMETRY,$111.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000067,,CI TELEMETRY,$606.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000072,,AUD CNTRL FUNCTION TEST 1 HR,$633.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000073,,AUD CNTRL FNCTN TST + 15 MIN,$183.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000074,,VISUAL REINFORCE AUDIOMET(VRA),$389.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000077,,EVAL AUDITORY REHAB 1ST HR,"$1,137.00",,,,,,,,,,,,,,,,,,,,,,,,
AU000081,,ASSESSMENT OF TINNITUS,$776.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000082,,AUD EVOKED POTENTIAL AUD LTD,$579.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000084,,FILTERED SPEECH TEST,$150.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000087,,ACOUSTIC IMMITTANCE TESTING,$382.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000088,,BASIC VESTIBULAR EVALUATION,"$1,463.00",,,,,,,,,,,,,,,,,,,,,,,,
AU000089,,TYMPANOMETRY/REFLEX THRESHOLD MEASUREMENTS,$287.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000090,,HA REPAIR/MODIFICATION - IN OFFICE,$41.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000094,,PONTO PLUS L SOUND PROCESSOR W/ HEAD BAND 24136150,"$7,364.00",,,,,,,,,,,,,,,,,,,,,,,,
AU000095,,PONTO STREAMER BL 0934395,$928.00,,,,,,,,,,,,,,,,,,,,,,,,
AU000096,,PONTO CONNECTLINE CLIP ON MIC 000708,$411.00,,,,,,,,,,,,,,,,,,,,,,,,
AU092537,,CALORIC VSTBLR TEST W/REC  BITHERMAL,$281.00,,,,,,,,,,,,,,,,,,,,,,,,
AU092538,,CALORIC VSTBLR TEST W/REC MONOTHRMAL,$281.00,,,,,,,,,,,,,,,,,,,,,,,,
BL009035,,PLATELET PHERES PAS LEU RED,"$1,541.00",,,,,,,,,,,,,,,,,,,,,,,,
BL009036,,LIQUID PLASMA,$298.00,,,,,,,,,,,,,,,,,,,,,,,,
BL009037,,PLATELET PHERES PAS LEURED IRR,"$1,580.00",,,,,,,,,,,,,,,,,,,,,,,,
BL009055,,"PLATELET PHERESIS, LR, CMV NEG","$1,555.00",,,,,,,,,,,,,,,,,,,,,,,,
BL009072,,PLATELETS PHERES PASC LEURED PATHRED IRR,"$1,810.00",,,,,,,,,,,,,,,,,,,,,,,,
