Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
IM088095,,PRTCL PUROSALGRFT CNC.25-1.0MM,$281.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088114,,TALON STERNAL XS 11MM,"$2,522.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088131,,19MM ANTERIOR CERVICAL PLATE,"$1,437.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088132,,30MM ANTERIOR CERVICAL PLATE,"$1,437.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088134,,35MM ANTERIOR CERVICAL PLATE,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088135,,37.5MM ANTERIOR CERVICAL PLATE,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088136,,75MM ANTERIOR CERVICAL PLATE,"$1,814.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088137,,80MM ANTERIOR CERVICAL PLATE,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088138,,82.5MM ANTERIOR CERVICAL PLATE,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088139,,85MM ANTERIOR CERVICAL PLATE,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088140,,87.5MM ANTERIOR CERVICAL PLATE,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088141,,95MM ANTERIOR CERVICAL PLATE,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088143,,SCREW 7576555 LEGACY 5.5 CANN,"$2,727.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088166,,SET SCREW 7440020 BREAKOFF TI,$144.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088167,,CDH 5.5X50 STRAIGHT ROD TI CP,$756.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088174,,TRAUMA 853-010 10MM OD PLATE,"$1,087.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088181,,CAGE 2968045 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088182,,CAGE 2968050 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088183,,CAGE 2968245 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088184,,CAGE 2968250 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088186,,CAGE 2968655 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088187,,CAGE 2968850 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088188,,CAGE 2968855 CLYDESDALE PEEK I,"$9,512.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088189,,CRESCENT PEEK 25 X 9,"$7,191.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088190,,CRESCENT PEEK 25 X 10,"$7,191.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088201,,5.5/6.35 CLS LAT CON 10MMTI,"$1,756.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088202,,5.5/6.35 CLS LAT CON 20MMTI,"$1,756.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088203,,5.5/6.35 CLS LAT CON 30MMTI,"$1,756.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088207,,SCREW 70467570 CLOSED MAS 7.5X,"$2,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088209,,SCREW 70468580 CLOSED MAS 8.5X,"$2,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088210,,SCREW 7049855 HEX BREAK OFF TI,$164.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088211,,ROD 7571080 5.5MM STRAIGHT 80M,"$1,333.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088212,,ROD 7571130 5.5MM STRAIGHT 130,"$1,333.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088213,,ROD 7571160 5.5MM STRAIGHT 160,"$1,333.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088229,,ROD 7893040 6.35MM X 40MM PEEK,"$1,333.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088236,,SCREW 7896540 CDH PEEK 6.5X40,"$2,815.88",,,,,,,,,,,,,,,,,,,,,,,,
IM088237,,SCREW 7896545 CDH PEEK 6.5X45,"$2,815.88",,,,,,,,,,,,,,,,,,,,,,,,
IM088252,,SCREW 98716250 VAR 6.5X25.0MM,$657.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088253,,SCREW 98716300 VAR 6.5X30.0MM,$657.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088257,,LOCKING DEVICE 88901000 T25 LO,$144.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088263,,4.0 CANN CORT SCREW L 34MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088264,,4.0 CANN CORT SCREW L 36MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088266,,4.0 CANN CORT SCREW L 42MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088267,,4.0 CANN CORT LAG SCREW L 36MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088268,,4.0 CANN CORT LAG SCREW L 38MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088269,,4.0 CANN CORT LAG SCREW L 40MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088270,,4.0 CANN CORT LAG SCREW L 44MM,"$1,030.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088277,,PSR STRUT 6 X 11 X 11MM,"$3,770.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088278,,CORNERSTONE PSR 10 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088279,,PSR STRUT 25 X 11 X 11MM,"$3,770.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088280,,CORNERSTONE PSR 11 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088281,,CORNERSTONE PSR 5 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088282,,CORNERSTONE PSR 6 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088283,,CORNERSTONE PSR 7 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088284,,CORNERSTONE PSR 8 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088285,,CORNERSTONE PSR 9 X 11 X 11MM,"$1,845.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088287,,ROD 6955270 3.2 X 200 PRECURVE,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088290,,SCREW 6958712 3.5 X 12MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088291,,SCREW 6958714 3.5 X 14MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088292,,SCREW 6958716 3.5 X 16MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088293,,SCREW 6958718 3.5 X 18MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088294,,SCREW 6958722 3.5 X 22MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088295,,SCREW 6958724 3.5 X 24MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088296,,SCREW 6958814 4.0 X 14MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088297,,SCREW 6958816 4.0 X 16MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088299,,SCREW 6958820 4.0 X 20MM MAS,"$1,558.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088300,,SCREW 6958822 4.0 X 22MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088301,,SCREW 6958824 4.0 X 24MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088302,,SCREW 6958826 4.0 X 26MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088303,,SCREW 6958828 4.0 X 28MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088304,,SCREW 6958830 4.0 X 30MM MAS,"$1,415.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088305,,CROSSLINK 8116430 30 34MM X10,"$1,599.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088313,,SCREW 8792113 ZEPHIR VAST 3.5X,$287.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088315,,SCREW 8792813 VA SELF DRILLING,$287.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088316,,SCREW 8792815 VA SELF DRILLING,$287.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088318,,PLATE 8799022 ANT CERV  22.5MM,"$1,437.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088323,,INSTRUMENT 8796003 PREFIXATION,$260.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088439,,SI POLYAXL SCREW 4.35 X 35MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088440,,SI POLYAXL SCREW 4.35 X 40MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088447,,SI POLYAXL SCREW 5 X 35MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088448,,SI POLYAXL SCREW 5 X 40MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088455,,SI POLYAXL SCREW 6 X 55MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088457,,SI POLYAXL SCREW 6 X 65MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088461,,SI POLYAXL SCREW 7 X 45MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088462,,SI POLYAXL SCREW 7 X 50MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088463,,SI POLYAXL SCREW 7 X 55MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088464,,SI POLYAXL SCREW 7 X 60MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088465,,SI POLYAXL SCREW 7 X 65MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088466,,SI POLYAXL SCREW 7 X 70MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088467,,SI POLYAXL SCREW 7 X 75MM,"$2,325.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088505,,ROD 120MM,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088565,,SKY 1 LEVEL PLTE 18MM TI,"$1,437.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088567,,SKY 1 LEVEL PLTE 24MM TI,"$1,437.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088572,,SKY 2 LEVEL PLTE 26MM TI,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088573,,SKY 2 LEVEL PLTE 28MM TI,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088574,,SKY 2 LEVEL PLTE 32MM TI,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088575,,SKY 2 LEVEL PLTE 36MM TI,"$1,591.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088582,,SKY 3 LEVEL PLTE 42MM TI,"$1,814.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088583,,SKY 3 LEVEL PLTE 51MM TI,"$1,814.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088584,,SKY 3 LEVEL PLTE 54MM TI,"$1,814.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088590,,SKY 4 LEVEL PLTE 64MM TI,"$1,989.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088598,,SKY 5 LEVEL PLTE 70 MM TI,"$3,272.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088606,,SKY VARIABLE SD SCW 12MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088607,,SKY VARIABLE SD SCW 13MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088608,,SKY VARIABLE SD SCW 15MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088609,,SKY VARIABLE SD SCW 17MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088619,,SKY VARIABLE ST SCW 24MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088621,,SKY VARIABLE LRG D SCW 14MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088622,,SKY VARIABLE LRG D SCW 18MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088623,,SKY CONST SD SCW 12MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088624,,SKY CONST SD SCW 13MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088625,,SKY CONST SD SCW 15MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088634,,SKY CONST LRG D SCW 12MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088635,,SKY CONST LRG D SCW 14MM TI,$328.00,,,,,,,,,,,,,,,,,,,,,,,,
IM088666,,CONCORDE BUL PAR 9X7X23,"$7,191.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088676,,CONCORDE BUL LOR 9X9X23 5 DG,"$7,191.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088795,,CONCORDE LORDOTIC 9X9X35,"$7,191.00",,,,,,,,,,,,,,,,,,,,,,,,
IM088814,,3.5 X 300MM ROD,$824.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089066,,SMALL HALO CROWN,"$1,070.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089070,,VARIABLE SELF TAP SCREW 4X14MM,$287.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089071,,POLYAXIAL SCREW 8.5 X 40MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089072,,SCREW MULTIANGLE 4.75 X 35M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089073,,SCREW MULTIANGLE 4.75 X 40M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089074,,SCREW MULTIANGLE 5.75 X 40M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089075,,SCREW MULTIANGLE 5.75 X 45M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089076,,5.5X140MMSPINAL RODW/HEX,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089077,,5.5X160MMSPINAL RODW/HEX,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089078,,5.5X180MMSPINAL RODW/HEX,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089079,,5.5X200MMSPINAL RODW/HEX,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089081,,TI PA SCREW DIA 6.5 X 40MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089082,,TI PA SCREW DIA 6.5 X 45MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089083,,TI PA SCREW DIA 7.5 X 35MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089084,,TI PA SCREW DIA 7.5 X 40MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089085,,TI PA SCREW DIA 7.5 X 45MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089086,,HEAD CTA HUMERAL 52X18,"$2,255.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089087,,SCREW MULTIANGLE 4.75 X 25M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089088,,SCREW MULTIANGLE 4.75 X 30M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089089,,ALLOGRAFT PUROS 10MM,"$1,519.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089091,,SCREW MULTIANGLE 4.75 X 45M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089092,,SCREW MULTIANGLE 5.75 X 30M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089093,,SCREW MULTIANGLE 5.75 X 35M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089096,,SCREW MULTIANGLE 5.75 X 50M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089097,,SCREW MULTIANGLE 6.75 X 30M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089098,,SCREW MULTIANGLE 6.75 X 35M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089099,,SCREW MULTIANGLE 6.75 X 40M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089100,,SCREW MULTIANGLE 6.75 X 45M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089101,,SCREW MULTIANGLE 6.75 X 50M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089102,,SCREW MULTIANGLE 6.75 X 55M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089104,,SCREW MULTIANGLE 7.75 X 40M,"$1,763.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089105,,SCREW MULTIANGLE 7.75 X 45M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089106,,SCREW MULTIANGLE 7.75 X 50M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089108,,VAD CBL SYS MONITR TO PWR MOD (THORTEC),$820.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089109,,5.5 X 220MM SPINAL ROD WITH H,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089110,,5.5 X 400MM SPINAL ROD WITH H,$482.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089111,,VITALLIUM ROD 5.5 X 600MM,"$1,117.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089113,,SCREW MULTIANGLE 8.75 X 45M,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089114,,TI PA SCREW DIA 5.5 X 40MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089115,,TI PA SCREW DIA 5.5 X 45MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089116,,TI PA SCREW DIA 6.5 X 35MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089119,,TI PA SCREW DIA 6.5 X 50MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089122,,VAD DISPLAY MODULE,"$5,470.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089124,,TI PA SCREW DIA 7.5 X 50MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089147,,TI OCCIPITAL PLATE MEDIAL 50MM,"$10,320.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089148,,TI OCCIPITAL PLATE MEDIAL 60MM,"$10,320.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089149,,TI OCCIPITAL PLATE LATERAL WEDGE 50MM,"$10,320.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089150,,TI OCCIPITAL PLATE LATERAL WEDGE 60MM,"$10,320.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089154,,3.5MM TI PREBENT ROD 240MM,"$1,119.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089180,,6.0MM TI CANCELLOUS LOCKING SC 22MM,"$1,064.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089181,,6.0MM TI CANCELLOUS LOCKING SC 24MM,"$1,064.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089182,,6.0MM TI CANCELLOUS LOCKING SC 26MM,"$1,064.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089184,,6.0MM TI CANCELLOUS LOCKING SC 30MM,"$1,234.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089193,,6.5MM TI CANCELLOUS LOCKING SC 30MM,"$1,064.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089223,,4.5MM TI OCCIPITAL SCREW 6MM,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089224,,4.5MM TI OCCIPITAL SCREW 8MM,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089225,,4.5MM TI OCCIPITAL SCREW 10MM,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089226,,4.5MM TI OCCIPITAL SCREW 12MM,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089227,,4.5MM TI OCCIPITAL SCREW 14MM,$410.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089228,,4.5MM TI OCCIPITAL SCREW 16MM,$410.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089231,,5.0MM TI OCCIPITAL SCREW 6MM,$410.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089232,,5.0MM TI OCCIPITAL SCREW 8MM,$410.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089233,,5.0MM TI OCCIPITAL SCREW 10MM,$410.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089234,,5.0MM TI OCCIPITAL SCREW 12MM,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089260,,3.5MM TI CANCELLOUS POLYAXIAL 8MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089261,,3.5MM TI CANCELLOUS POLYAXIAL 10MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089262,,3.5MM TI CANCELLOUS POLYAXIAL 12MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089263,,3.5MM TI CANCELLOUS POLYAXIAL 14MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089264,,3.5MM TI CANCELLOUS POLYAXIAL 16MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089265,,3.5MM TI CANCELLOUS POLYAXIAL 18MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089266,,3.5MM TI CANCELLOUS POLYAXIAL 20MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089267,,3.5MM TI CANCELLOUS POLYAXIAL 22MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089270,,3.5MM TI CANCELLOUS POLYAXIAL 28MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089271,,3.5MM TI CANCELLOUS POLYAXIAL 30MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089283,,4.0MM TI CANCELLOUS POLYAXIAL 10MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089284,,4.0MM TI CANCELLOUS POLYAXIAL 12MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089285,,4.0MM TI CANCELLOUS POLYAXIAL 14MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089286,,4.0MM TI CANCELLOUS POLYAXIAL 16MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089287,,4.0MM TI CANCELLOUS POLYAXIAL 18MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089288,,4.0MM TI CANCELLOUS POLYAXIAL 20MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089289,,4.0MM TI CANCELLOUS POLYAXIAL 22MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089290,,4.0MM TI CANCELLOUS POLYAXIAL 24MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089291,,4.0MM TI CANCELLOUS POLYAXIAL 26MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089292,,4.0MM TI CANCELLOUS POLYAXIAL 28MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089293,,4.0MM TI CANCELLOUS POLYAXIAL 30MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089295,,4.0MM TI CANCELLOUS POLYAXIAL 34MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089310,,4.5MM TI CANCELLOUS POLYAXIAL 20MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089311,,4.5MM TI CANCELLOUS POLYAXIAL 22MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089312,,4.5MM TI CANCELLOUS POLYAXIAL 24MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089313,,4.5MM TI CANCELLOUS POLYAXIAL 26MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089315,,4.5MM TI CANCELLOUS POLYAXIAL 30MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089317,,4.5MM TI CANCELLOUS POLYAXIAL 34MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089329,,3.5MM TI CORTEX POLYAXIAL SHAF 24MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089331,,3.5MM TI CORTEX POLYAXIAL SHAF 28MM,"$1,538.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089332,,3.5MM TI CORTEX POLYAXIAL SHAF 30MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089334,,3.5MM TI CORTEX POLYAXIAL SHAF 34MM,"$1,640.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089351,,TI LOCKING ENDCAP,$154.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089356,,TI TRANSCONNECTOR 60MM FOR 3.5,$974.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089359,,TI TOP LOADING TRANSCONNECTOR MEDIUM,"$2,813.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089364,,TI TRANSCONNECTOR LOCKING NUT,$271.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089365,,TI TRANSCONNECTOR LOCKING SCRE,$486.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089366,,3.5MM TI TRANSVERSE BAR LONG,$845.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089367,,ANGLED TI TOP LOADING TRANSCON SM,"$2,813.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089368,,ANGLED TI TOP LOADING TRANSCON MED,"$2,813.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089373,,TI PARALLEL OPEN ROD CONNECTOR 6MM LARGE,$974.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089385,,ZERO P IMPLANT 5MM HEIGHT LORD,"$4,755.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089386,,ZERO P IMPLANT 6MM HEIGHT LORD,"$4,755.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089387,,ZERO P IMPLANT 7MM HEIGHT LORD,"$4,755.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089388,,ZERO P IMPLANT 8MM HEIGHT LORD,"$4,755.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089389,,ZERO P IMPLANT 9MM HEIGHT LORD,"$4,755.00",,,,,,,,,,,,,,,,,,,,,,,,
IM089398,,3.0MM TI CERVICAL SPINE LOCKIN SCREW 12MM,$326.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089399,,3.0MM TI CERVICAL SPINE LOCKIN SCREW 14MM,$326.00,,,,,,,,,,,,,,,,,,,,,,,,
IM089400,,3.0MM TI CERVICAL SPINE LOCKIN SCREW 16MM,$326.00,,,,,,,,,,,,,,,,,,,,,,,,
