ITEM #,ITEM DESCRIPTION,ITEM PRICE
 9210227,LASER LIGHT GUIDE,326.24 
 9210228,URT FIBER OPTIC BUD,351.65 
 9210229,URT STONE BASKET,252.69 
 9210230,URT RETRUL LOOP,196.58 
 9210231,URT DILATION SET,208.59 
 9210232,URT ARTICULATING BUD,762.10 
 9210516,PENILE MEASURING ROD,140.41 
 9210517,BIOPSY OF NERVE,"1,653.75 "
 9210522,LARYNGOSCOPY,300.81 
 9210528,VAN SON SUMP CATH KT,252.69 
 9210530,SHEATH DILATOR/FEMOR,203.25 
 9210531,LUBER FLEX STENT,334.28 
 9210554,ENDO GIA 30 OR 30V,879.80 
 9210555,ENDO GIA LOAD UNIT 30/30V,417.19 
 9210557,TRANSBRONCHIAL NDL WANG,109.64 
 9210564,LASER FIBER GUN (ETHICON),379.70 
 9216358,LASER FIBER TUR/URO,"2,599.47 "
 9216387,FILI FOLLOWER PHILLIP TIP,160.47 
 9216391,LAPAROSCOPIC INST TRAY,56.18 
 9216392,BRACHYTHERAPY,"12,600.00 "
 9216394,LITHOTRIPSY BILATERAL,"25,404.08 "
10220019,RECOVERY ROOM,657.09 
10220020,REC ROOM ADD HALF HR,112.04 
10220030,ARMBOARD,28.04 
10220035,BLOOD SET,42.05 
10220038,CONNECTOR TUBING,50.93 
10220047,IV START KIT,25.46 
10220049,OPSITE LARGE,22.94 
10220050,OPSITE SMALL,15.28 
10220052,PRIMARY SET,38.22 
10220053,SECONDARY SET,21.63 
10220054,SUCTION CATHETER,20.37 
10220056,TEDS KNEE LENGTH,35.65 
10220061,WRIST RESTRAINTS,26.72 
10220064,URIMETER BAG,16.54 
11230001,IN & OUT CATH,51.00 
11230008,I&D SIMPLE,132.64 
11230009,I&D COMPLEX,244.04 
11230012,DEBRIDEMENT,117.36 
11230013,FOREIGN BODY REMOVAL,132.64 
11230014,CONTROL NASAL HEMORRHAGE,146.58 
11230015,TOENAIL REMOVAL,60.36 
11230016,CLOSED REDUCTION/FRACTURE,108.76 
11230017,CLOSED REDUCTION DISLOCATION,108.76 
11230018,LUMBAR PUNCTURE,198.94 
11230019,INSERTION CHEST TUBE,241.40 
11230020,THORACENTESIS,241.40 
11230021,PARACENTESIS,241.40 
11230022,SPLINTING/STRAPPING/CASTING,72.27 
11230024,ELECTIVE CARDIOVERSION,472.45 
11230025,INSERTION TEMP PACEMAKER,"3,997.84 "
11230026,INSERTION CENT LINE,358.09 
11230027,DECLOT VASCULAR ACCESS,34.51 
11230028,THROMBOLYTIC ADMINISTRATION,110.08 
11230029,GASTRIC TUBE CHANGE,156.50 
11230030,ER DELIVERY,742.70 
11232023,STRAPPING OF KNEE,118.46 
11235000,INJECTION SC/IM,65.38 
11235001,IV PUSH INITIAL,235.11 
11235002,IM ANTIBIOTIC,60.91 
11235003,IV INF 1 HR INITIAL,428.13 
11235004,IV INF EA ADD HR,101.85 
11235007,IRRIGATION OF IMPLANTED VENOUS ACCESS,210.00 
11235008,IM/SQ INJ O/P'S,65.38 
11235009,IV INF 1ST HR INITIAL,343.92 
11235010,IV INF EA ADD HR,101.85 
11235111,IMMUNIZATION ADMIN,178.47 
11235112,HYDRATION 1 HR INITIAL,315.00 
11235113,HYDRATION 1 HR INITIAL,315.00 
11235114,HYDRATION EA ADD HR,101.85 
11235115,HYDRATION EA ADD HR,101.85 
11235116,IV INF SEQUENTIAL UP TO 1 HR,101.85 
11235117,IV INF SEQUENTIAL UP TO 1 HR,101.85 
11235118,IV INF CONCURRENT,101.85 
11235119,IV INF CONCURRENT,101.85 
11235120,IV PUSH INITIAL,235.11 
11235121,IV PUSH EA ADD,185.50 
11235122,IV PUSH EA ADD,185.50 
11235123,EA ADD SEQUENTIAL IV PUSH,133.07 
11235124,EA ADD SEQUENTIAL IV PUSH,133.07 
11235125,IMMUNIZATION ADMIN,178.47 
11235126,IM SUB NON-HORMONAL ANTI-NEOPLASTIC,187.00 
11235127,IM SUB NON-HORMONAL ANTI-NEOPLASTIC,187.00 
11235666,BLOOD PATCH,198.94 
11239002,ER LEVEL III W/MODIFIER,490.10 
11239003,ER LEVEL IV W/MODIFIER,798.05 
11239004,ER LEVEL V W/MODIFIER,"1,172.41 "
11239007,ER CRITICAL CAREW/MODIFIER,"1,757.00 "
11239008,REMICADE INFUSION 1ST HR,401.43 
11239009,REMICADE INFUSION EA ADDITIONAL HR,161.69 
11239010,INJ PNEUMOVAX,65.38 
11239020,INJ INFLUENZA,65.38 
11239202,ER LEVEL II W/MODIFIER,299.81 
11239204,ER LEVEL 1 W/MODIFIER,172.00 
11239205,ER CODE BLUE,562.08 
11239206,INTUBATION,157.50 
11252020,CARDIAC MONITOR (ER),25.85 
11252022,STRAPPING OF WRIST,118.46 
11252023,STRAPPING OF KNEE,118.46 
11252024,STRAPPING OF ANKLE,118.14 
