BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
7889962,NL 12MM 315MM TIB XPRT IM UNV 04.034.643S,,C1713,278," $4,345.00 ",
7889963,SCR BONE 2.7MM 62MM LCP SS T8 02.118.562,,C1713,278, $132.00 ,
7889966,SCR BONE 2.7MM 18MM ORTHOLOC 3 58812718,,C1713,278, $435.00 ,
7889967,SCR BONE 2.7MM 22MM ORTHOLOC 3 58812722,,C1713,278, $435.00 ,
7889968,PLT STRG 96MM FX SYS 8 HL 1/3 58880008,,C1713,278," $2,172.00 ",
7889969,SCR BONE 3MM 40MM HDLS D1N30040S,,C1713,278, $729.00 ,
7889970,PLT 6 HL 1/3 TBLR 3DI TCH 58880006,,C1713,278," $1,626.00 ",
7889971,SCR BONE 3.5MM 28MM ORTHOLOC 58913528,,C1713,278, $435.00 ,
7889972,SCR BONE 3.5MM 34MM ORTHOLOC 58913534,,C1713,278, $435.00 ,
7889973,SCR BONE 3.5MM 46MM ORTHOLOC 58913546,,C1713,278, $435.00 ,
7889974,SCR BONE 3.5MM 48MM ORTHOLOC 58913548,,C1713,278, $435.00 ,
7889975,SCR BONE 3.5MM 38MM ORTHOLOC 58913538,,C1713,278, $435.00 ,
7889976,SCR 3.5 X 22MM NL TCP SYSTEM 07-622,,C1713,278, $462.00 ,
7889977,SCR 3.5 X 37MM NL TCP SYSTEM 07-637,,C1713,278, $462.00 ,
7889978,SCR 3.5 X 26MM LCKG TCP SYSTEM 07-726,,C1713,278, $645.00 ,
7889979,SCR 3.5 X 30MM LCKG TCP SYSTEM 07-730,,C1713,278, $645.00 ,
7889980,PLT 6MM STRAIGHT TCP SYSTEM 08-360,,C1713,278," $3,858.00 ",
7889982,GFT BONE TENSIX DBM 2.5ML PHG-02P,,C1713,278," $2,868.00 ",
7889983,ALGRF MTRX TIS PLACENTAL 2.0CC AM200,,,278," $15,885.00 ",
7889984,MTRX MATRISTEM PLVC FLR 5X6CM PFM0506,,C1781,278," $1,938.00 ",
7889985,PLT NTRL FSN BONE WRST 70-0362,,C1713,278," $3,015.00 ",
7889986,SCR BONE 2.3MM 12MM TI ELB 3004-23013,,C1713,278, $267.00 ,
7889987,SCR BONE 2.3MM 16MM ELB 3004-23016,,C1713,278, $267.00 ,
7889988,SCR BONE 2.3MM 18MM TI 3004-23018,,C1713,278, $267.00 ,
7889993,PG FX 2.7MM 20MM DIST VOLR RDS HCLP-27200-TS,,C1713,278, $327.00 ,
7890002,SUB BNGF VITOSS BIMODAL FM PK 2102-1905,,C1713,278," $3,553.00 ",
7890503,Sheath Guide Terumo FR6 RSC01,,C1894,278, $382.50 ,
7891935,DEV FX SPDLK HIP KNTLS 23-2001,,,278," $2,247.00 ",
7891936,SCR BONE 2MM 20MM DART-FIRE TI D1N20020S,,C1713,278, $705.00 ,
7891948,SCR BONE 3MM 26MM DART-FIRE TI D1N30026S,,C1713,278, $729.00 ,
7891949,SCR 3.5 X 12MM NL TCP SYSTEM 07-612,,C1713,278, $462.00 ,
7891950,SCR 3.5 X 18MM NL TCP SYSTEM 07-618,,C1713,278, $462.00 ,
7891951,SCR 3.5 X 12MM LCKG TCP SYSTEM 07-712,,C1713,278, $645.00 ,
7891952,SCR 3.5 X 14MM LCKG TCP SYSTEM 07-714,,C1713,278, $645.00 ,
7891953,SCR 3.5 X 16MM LCKG TCP SYSTEM 07-716,,C1713,278, $645.00 ,
7891992,GFT BONE STAGRAFT DBM 5CC 92-2003,,,278," $3,210.00 ",
7892007,ANCH SUT 4.5MM 2 SQ FT CRKSCR AR-1927BCFT-45,,C1713,278," $1,035.00 ",
7893957,IMPLANT SPINE VENDOR ZIMMER/BIOMET,,,278," $38,400.00 ",
7893970,ALGRF EPICORD 2.0X3.0CM EC-5230,,,278," $3,747.00 ",
