ACTIVITY TYPE,CDM_DESC, UNIT_AMT ,BILL_ITEM_ID
AFC GENERIC ADD-ON,LAB CREATININE UR RANDOM L,$9.00 ,5240018
AFC GENERIC ADD-ON,LAB CREATININE URINE,$56.00 ,5346313
AFC GENERIC ADD-ON,"LAB CREATININE, 24 HR URINE - L",$27.00 ,5239926
AFC GENERIC ADD-ON,"LAB CREATININE, RANDOM URINE - L",$22.00 ,5239927
AFC GENERIC ADD-ON,LAB CULTURE TYPING,$18.00 ,5239969
AFC GENERIC ADD-ON,LAB CYTO CONCENTRATE,$52.00 ,5270257
AFC GENERIC ADD-ON,LAB CYTOMEGALOVIRUS AB IGM,$47.00 ,5239970
AFC GENERIC ADD-ON,LAB D-DIMER ASSAY,$58.00 ,5240032
AFC GENERIC ADD-ON,"LAB DRUG TEST, ALCOHOLS",$77.00 ,5319066
AFC GENERIC ADD-ON,"LAB DRUG TEST, ALKALOIDS",$7.00 ,5319076
AFC GENERIC ADD-ON,"LAB DRUG TEST, AMPHETAMINES 5/MORE",$7.00 ,5319075
AFC GENERIC ADD-ON,"LAB DRUG TEST, ANALGESICS",$7.00 ,5319070
AFC GENERIC ADD-ON,"LAB DRUG TEST, ANTI PSYCHOTICS",$7.00 ,5319081
AFC GENERIC ADD-ON,"LAB DRUG TEST, ANTIDEPRESSANTS",$7.00 ,5319086
AFC GENERIC ADD-ON,"LAB DRUG TEST, ANTIDEPRESSANTS SEROTONERGIC CLASS",$77.00 ,5319082
AFC GENERIC ADD-ON,"LAB DRUG TEST, ANTIEPILEPTICS",$7.00 ,5319079
AFC GENERIC ADD-ON,"LAB DRUG TEST, BARBITUATES",$7.00 ,5319078
AFC GENERIC ADD-ON,"LAB DRUG TEST, BUPRENORPHINE",$7.00 ,5319088
AFC GENERIC ADD-ON,"LAB DRUG TEST, COCAINE",$7.00 ,5319077
AFC GENERIC ADD-ON,"LAB DRUG TEST, FENTANYL",$7.00 ,5319071
AFC GENERIC ADD-ON,"LAB DRUG TEST, GABAPENTIN",$7.00 ,5319072
AFC GENERIC ADD-ON,"LAB DRUG TEST, HEROIN METABOLITES",$7.00 ,5319068
AFC GENERIC ADD-ON,"LAB DRUG TEST, KETAMINE AND NORKETAMINE",$7.00 ,5319069
AFC GENERIC ADD-ON,"LAB DRUG TEST, METHADONE",$7.00 ,5319085
AFC GENERIC ADD-ON,"LAB DRUG TEST, METHYLENEDIOXYAMPHETAMINES",$7.00 ,5319096
AFC GENERIC ADD-ON,"LAB DRUG TEST, MUSCLE RELAXANTS",$7.00 ,5319080
AFC GENERIC ADD-ON,"LAB DRUG TEST, OPIATES",$7.00 ,5319083
AFC GENERIC ADD-ON,"LAB DRUG TEST, OPIODS AND OPIATE ANALOGS",$7.00 ,5319084
AFC GENERIC ADD-ON,"LAB DRUG TEST, OXYCODONE",$7.00 ,5319089
