Item ID,Description, Price 
185766,10MM X 27MM X 9MM 10-15 EXPAND,"28,800.00"
186488,10MM X 27MM X 9MM 5 DEGREE POR,"21,225.60"
185771,10MM X 27MM X 9MM 5-10 EXPANDA,"28,800.00"
186497,10MM X 32MM X 10MM 5 DEGREE PO,"21,225.60"
186498,10MM X 32MM X 11MM 5 DEGREE PO,"21,225.60"
186499,10MM X 32MM X 12MM 5 DEGREE PO,"21,225.60"
186500,10MM X 32MM X 13MM 5 DEGREE PO,"21,225.60"
186501,10MM X 32MM X 14MM 5 DEGREE PO,"21,225.60"
186494,10MM X 32MM X 7MM 5 DEGREE POR,"21,225.60"
186495,10MM X 32MM X 8MM 5 DEGREE POR,"21,225.60"
186496,10MM X 32MM X 9MM 5 DEGREE POR,"21,225.60"
185716,10MM X 36MM ISP-T PLATE FLARED,"28,069.20"
185709,10MM X 36MM ISP-Z PLATE FLARED,"28,069.20"
185758,10MM X 37MM X 10MM 5 DEGREE PO,"21,225.60"
186502,10MM X 37MM X 11MM 5 DEGREE PO,"21,225.60"
185759,10MM X 37MM X 12MM 5 DEGREE PO,"21,225.60"
186503,10MM X 37MM X 13MM 5 DEGREE PO,"21,225.60"
186504,10MM X 37MM X 14MM 5 DEGREE PO,"21,225.60"
185755,10MM X 37MM X 7MM 5 DEGREE POR,"21,225.60"
185756,10MM X 37MM X 8MM 5 DEGREE POR,"21,225.60"
185757,10MM X 37MM X 9MM 5 DEGREE POR,"21,225.60"
159045,11 HOLE CONTOURED VL GRIDLOCK,"5,712.00"
159042,11 HOLE VL GRIDLOCK FIBULA PLA,"5,040.00"
131282,11 VOLT LITHIUM-ION SYSTEM CON,866.67
190100,11.0MM TI HELICAL BLADE 130MM-,"2,110.11"
135645,"11.0MM, MICRO ACUTRAK 2 BONE S","1,997.50"
168039,1110-7-25-SM-OPT15-EB CATHETER,"4,993.80"
168093,1110-7-6-SM-OPT25 CATHETER,"4,993.80"
175969,11MM INTERBODY PLATE,"3,780.00"
176399,11MM Z-LINK LUMBAR PLATE,"9,240.00"
193190,12 HOLE 1/3 TUBULAR PLATE,"3,696.00"
193187,12 HOLE CONTOURED VL GRIDLOCK,"5,712.00"
176220,12 MM DRILL BIT,390
158891,"12MM HTR IMPLANT SYSTEM, NON-S","3,007.20"
158890,"12MM HTR IMPLANT SYSTEM, STERI","3,343.20"
175970,12MM INTERBODY PLATE,"3,780.00"
186459,12MM X 27MM X 10MM,"10,080.00"
186460,12MM X 27MM X 11MM,"10,080.00"
186461,12MM X 27MM X 12MM,"10,080.00"
186462,12MM X 27MM X 13MM,"10,080.00"
186457,12MM X 27MM X 8MM,"10,080.00"
186458,12MM X 27MM X 9MM,"10,080.00"
185717,12MM X 38MM ISP-T PLATE FLARED,"28,069.20"
185710,12MM X 38MM ISP-Z PLATE FLARED,"28,069.20"
135647,"13.0MM, MICRO ACUTRAK 2 BONE S","1,997.50"
176400,13MM Z-LINK LUMBAR PLATE,"9,240.00"
166771,14 33-54 MM HEIGHTS 2 OR 5 DEG,"31,320.00"
176221,14 MM DRILL BIT,390
186295,14 X 11 X 10MM 0 DEGREE POROUS,"6,678.42"
186299,14 X 11 X 10MM 7 DEGREE POROUS,"6,678.42"
186296,14 X 11 X 11MM 0 DEGREE POROUS,"6,678.42"
186300,14 X 11 X 11MM 7 DEGREE POROUS,"6,678.42"
186297,14 X 11 X 12MM 0 DEGREE POROUS,"6,678.42"
186301,14 X 11 X 12MM 7 DEGREE POROUS,"6,678.42"
186292,14 X 11 X 5MM 0 DEGREE POROUS,"6,678.42"
186298,14 X 11 X 5MM 7 DEGREE POROUS,"6,678.42"
186293,14 X 11 X 6MM 0 DEGREE POROUS,"6,678.42"
184428,14 X 11 X 6MM 7 DEGREE POROUS,"6,678.42"
184426,14 X 11 X 7MM 0 DEGREE POROUS,"6,678.42"
184429,14 X 11 X 7MM 7 DEGREE POROUS,"6,678.42"
186294,14 X 11 X 8MM 0 DEGREE POROUS,"6,678.42"
185721,14 X 11 X 8MM 7 DEGREE POROUS,"6,678.42"
184427,14 X 11 X 9MM 0 DEGREE POROUS,"6,678.42"
184430,14 X 11 X 9MM 7 DEGREE POROUS,"6,678.42"
181284,1457Q/86,"5,607.00"
158892,14MM CONCAVE REAMER,"1,504.00"
158893,14MM CONVEX REAMER,"1,504.00"
158895,"14MM HTR IMPLANT SYSTEM, NON-S","3,007.20"
158894,"14MM HTR IMPLANT SYSTEM, STERI","3,343.20"
186256,14MM X 12MM X 10MM 0 CAGE PORO,"18,000.00"
186277,14MM X 12MM X 10MM 7 CAGE PORO,"18,000.00"
186257,14MM X 12MM X 11MM 0 CAGE PORO,"18,000.00"
186278,14MM X 12MM X 11MM 7 CAGE PORO,"18,000.00"
186258,14MM X 12MM X 12MM 0 CAGE PORO,"18,000.00"
186279,14MM X 12MM X 12MM 7 CAGE PORO,"18,000.00"
186252,14MM X 12MM X 6MM 0 CAGE POROU,"18,000.00"
186273,14MM X 12MM X 6MM 7 CAGE POROU,"18,000.00"
186253,14MM X 12MM X 7MM 0 CAGE POROU,"18,000.00"
186274,14MM X 12MM X 7MM 7 CAGE POROU,"18,000.00"
186254,14MM X 12MM X 8MM 0 CAGE POROU,"18,000.00"
186275,14MM X 12MM X 8MM 7 CAGE POROU,"18,000.00"
186255,14MM X 12MM X 9MM 0 CAGE POROU,"18,000.00"
186276,14MM X 12MM X 9MM 7 CAGE POROU,"18,000.00"
185718,14MM X 40MM ISP-T PLATE FLARED,"28,069.20"
185711,14MM X 40MM ISP-Z PLATE FLARED,"28,069.20"
184419,14MMX12MMX7MM 0 CAGE,"10,080.00"
193196,15MM X 12MM X 12MM STAPLE,"6,762.00"
193195,15MM X 15MM X 15MM STAPLE,"6,762.00"
176401,15MM Z-LINK LUMBAR PLATE,"9,240.00"
176222,16 MM DRILL BIT,390
186305,16 X 13 X 10MM 0 DEGREE POROUS,"6,678.42"
186309,16 X 13 X 10MM 7 DEGREE POROUS,"6,678.42"
186306,16 X 13 X 11MM 0 DEGREE POROUS,"6,678.42"
186310,16 X 13 X 11MM 7 DEGREE POROUS,"6,678.42"
186307,16 X 13 X 12MM 0 DEGREE POROUS,"6,678.42"
186311,16 X 13 X 12MM 7 DEGREE POROUS,"6,678.42"
186302,16 X 13 X 5MM 0 DEGREE POROUS,"6,678.42"
186308,16 X 13 X 5MM 0 DEGREE POROUS,"6,678.42"
186303,16 X 13 X 6MM 0 DEGREE POROUS,"6,678.42"
184433,16 X 13 X 6MM 7 DEGREE POROUS,"6,678.42"
184431,16 X 13 X 7MM 0 DEGREE POROUS,"6,678.42"
185722,16 X 13 X 7MM 7 DEGREE POROUS,"6,678.42"
184432,16 X 13 X 8MM 0 DEGREE POROUS,"6,678.42"
184434,16 X 13 X 8MM 7 DEGREE POROUS,"6,678.42"
186304,16 X 13 X 9MM 0 DEGREE POROUS,"6,678.42"
184435,16 X 13 X 9MM 7 DEGREE POROUS,"6,678.42"
186263,16MM X 14MM X 10MM 0 CAGE PORO,"18,000.00"
