CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
2744597000,HB PRSTHADENDSKL-FT KEEL SACH, $450.00 ,,,
2744597200,HB PRSTHADD-FOOT FLEXIBLE KEEL, $740.00 ,,,
2744597400,HB PRSTHADD-FOOT SGL AXIS ANKLE, $900.00 ,,,
2744597500,HB PRSTHADD-FT COMBO ANKL+KEEL, $800.00 ,,,
2744597600,HB PRSTHADD-FT SEATTL ENERGY STO," $1,600.00 ",,,
2744597800,HB PRSTHADD-FT MULTAXIAL ANKL/FT," $1,160.00 ",,,
2744597900,HB PRSTHADD-FT MULTAX ANK+DYN1PC," $6,560.00 ",,,
2744598000,HB PRSTHADD-LE FOOT FLEX SYSTEM," $9,560.00 ",,,
2744598100,HB PRSTHADD-LE WALK FLEX SYSTEM," $5,700.00 ",,,
2744598200,HB PRSTHADD-EXSKL-LE AX ROTAT UN," $1,370.00 ",,,
2744598400,HB PRSTHADENDSKL-LE AX ROTAT UN," $1,700.00 ",,,
2744598500,HB PRSTHADENDSKL-LE DYNAM PYLON, $620.00 ,,,
2744598600,HB PRSTHADD-LE MULTIAX ROTAT UN," $1,560.00 ",,,
2744598700,HB PRSTHADD-FOOT SHANK SYSTEM," $11,820.00 ",,,
2744598800,HB PRSTHADD-LO LIMB+V-SHCK REDUC," $2,900.00 ",,,
2744599000,HB PRSTHADD-LO EXTR ADJ HEEL HGT," $2,500.00 ",,,
2744600000,HB PART HAND THUMB REMAINING," $23,700.00 ",,,
2744601000,HB PART HAND LITTLE/RING REMAINING," $23,700.00 ",,,
2744602000,HB PART HAND NO FINGERS REMAINING," $23,700.00 ",,,
2744605000,HB PROSTH WRST FLXHING TRICEP PAD," $4,000.00 ",,,
2744605500,HB PROSTH D-WRIST SOCKET+INTERFAC," $5,120.00 ",,,
2744610000,HB PROSTH ELBO FLXHING TRICEP PAD," $3,150.00 ",,,
2744611000,HB PROSTH ELBO MOLD-SOCKET SUSPEN," $3,900.00 ",,,
2744612000,HB PROSTH ELBO HINGE HALF-CUFF," $3,780.00 ",,,
2744620000,HB PROSTH ELBO OUTSIDE LOCK HINGE," $5,180.00 ",,,
2744625000,HB PROSTH ABOV ELBO INTERNAL LOCK," $5,180.00 ",,,
2744630000,HB PROSTH SD HUMERAL SOCKED SECTN," $5,180.00 ",,,
2744631000,HB PROSTH SD PASSIV RESTOR COMPLT," $5,970.00 ",,,
2744632000,HB PROSTH SD PASSVRESTOR CAP ONLY," $3,370.00 ",,,
2744635000,HB PROSTH INTERSCAP HUMERAL SECTN," $5,180.00 ",,,
2744636000,HB PROSTH IT PASSIV RESTOR COMPLT," $6,270.00 ",,,
2744637000,HB PROSTH IT PASSVRESTOR CAP ONLY," $4,000.00 ",,,
2744640000,HB PROSTH ENDSKL BE SCKT+SFT SHAP," $4,570.00 ",,,
2744645000,HB PROSTH ENDSKL ED SCKT+SFT SHAP," $5,570.00 ",,,
2744650000,HB PROSTH ENDSKL AE SCKT+SFT SHAP," $5,420.00 ",,,
2744655000,HB PROSTH ENDSKL SHLDR DISARTIC SOCKET," $8,040.00 ",,,
2744657000,HB PROSTH ENDSKL INTERSCAP THORACIC SOCKET," $9,230.00 ",,,
2744660000,HB PRSTHADD-ARM-PLYCNTRC HNG/PR, $290.00 ,,,
2744660500,HB PRSTHADD-ARM-SGL PIVOTHNG/PR, $290.00 ,,,
2744661500,HB PRSTHADD-ARM-DISCNCT LOCWRST, $370.00 ,,,
2744661600,HB PRSTHADD-ARM-ADDL DISCNCT LOCWRST, $190.00 ,,,
2744662100,HB PRSTH ADD UE FLEX/EXT WRIST USE WITH EXT POWERED TERM DEVICE," $6,270.00 ",,,
2744662800,HB PRSTH ADD UE QUICK DISCONNECT HOOK ADAPTOR OTO BOCK L," $3,600.00 ",,,
2744662900,HB PRSTH ADD UE QUICK DISCONNECT LAMINAT COLLAR+COUPLING OTTOBOCK/EQUV, $490.00 ,,,
2744664500,HB PRSTHADD-SHLDR FLX-ABD JT/EA, $680.00 ,,,
2744665500,HB PRSTHADD-ARM-CONTROL X-CABLE, $460.00 ,,,
2744666000,HB PRSTHADD-UE HEAVY DUTY CABLE, $190.00 ,,,
2744666500,HB PRSTHADD-UE CABL LINING TEFLN, $80.00 ,,,
2744667000,HB PRSTHADD-HOOK-HND CABL ADAPT, $200.00 ,,,
2744667200,HB PRSTHADD-CHEST/SHLDR HARNESS, $350.00 ,,,
2744667500,HB PRSTHADD-ARM HARNESS-FIG 8 S, $850.00 ,,,
2744667600,HB PRSTHADD-ARM HARNESS-FIG 8 D, $980.00 ,,,
2744668000,HB PRSTHADD-D-WRST/BE TEST SCKT, $490.00 ,,,
2744668200,HB PRSTHADD-D-ELBO/AE TEST SCKT, $490.00 ,,,
2744668400,HB PRSTHADD-D-SHLDR/IT TEST SCK, $740.00 ,,,
2744668600,HB PRSTHADD-UE SUCTION SOCKET," $1,250.00 ",,,
2744668700,HB PRSTHADD-BE/D-WRST FRAM SCKT, $930.00 ,,,
2744668800,HB PRSTHADD-D-ELBO/AE FRAM SCKT," $1,000.00 ",,,
2744668900,HB PRSTHADD-D-SHLDR FRAME SCKT," $1,140.00 ",,,
2744669000,HB PRSTHADD-INTERSCAP FRAM SCKT," $1,340.00 ",,,
2744669100,HB PRSTHADD-UE REMOVBL INSRT EA, $730.00 ,,,
2744669200,HB PRSTHADD-UE SILICON INSRT EA," $1,190.00 ",,,
2744669300,HB PRSTH ADD UE LOCKING ELBOW FOREARM COUNTERBALANCE," $4,290.00 ",,,
2744669800,HB PRSTHADD-UE AE/BE LCK MEC EXCL SCKT INS," $1,920.00 ",,,
2744670300,HB TERM DEV PASS HAND/MITT," $2,620.00 ",,,
2744670400,HB TERM DEV SPRT/REC/WORK ATTACH," $2,260.00 ",,,
2744688000,HB PRSTH ELECTR HAND SWITCH/MYOELECTR CONTROL INDEP ARTIC DIGITS+MOTOR," $65,450.00 ",,,
2744688100,HB PROSTH HAND TERM DEVIC-AUTOGRP," $5,760.00 ",,,
2744688200,HB PROSTH HAND TERM DEV-MICROPROC, $800.00 ,,,
2744689000,HB PROSTH ABOV HAND GLOV-PRODUCTN, $570.00 ,,,
2744689500,HB PROSTH ABOV HAND GLOV-SPECIAL," $1,360.00 ",,,
2744692500,HB PRSTH WRST D-ARTC E-PWR MYOELC," $12,560.00 ",,,
2744693500,HB PROSTH B-LO WRIST MYOELEC SET," $18,690.00 ",,,
2744695500,HB PRSTH AE EXTERNAL POWER SYST MYOELECTRONIC CONTROL TE," $18,000.00 ",,,
2744704000,HB PROSTH PREHENSILE ACTUATOR SWITCH CONTROLLED," $4,600.00 ",,,
2744727400,HB PROSTH ELBO PROPRTNCONTRL UTAH," $10,990.00 ",,,
2744736001,HB PROSTH BATTERY 6V-OTTO BOCK, $390.00 ,,,
2744736200,HB PROSTH BATTERY 6V-CHARGER BOCK, $410.00 ,,,
2744736700,HB PROSTH LITHIUM ION BATTERY REPLACEMENT," $1,070.00 ",,,
2744740000,HB PRSTH ADD UE BELOW ELBOW/WRIST DISARTRICULATION ULTRALIGHT MATERIAL, $840.00 ,,,
2744740100,HB PRSTH ADD UE ABOVE ELBOW DISARTICULATION ULTRALIGHT L, $280.00 ,,,
2744740300,HB PRSTH ADD UE ABOVE ELBOW/WRIST DISARTICULATION ACRYLIC MATERIAL," $1,010.00 ",,,
2744740400,HB PRSTH ADD UE ABOVE ELBOW DISARTICULATION ACRYLIC MATL, $890.00 ,,,
2744749901,HB PRSTH HAND INTEGRATED SYSTEM MICHELANGELO AXON BUS EC," $55,000.00 ",,,
2744749902,HB PRSTH CUSTOM ABOVE ELBOW PROECTOR SILICONE COVER," $12,400.00 ",,,
2744749903,HB PRSTH HAND INTEGRATED SYSTEM MICHELANGELO AXON BUS ELECTR OTTOBOCK," $81,060.00 ",,,
2744749906,HB PRSTH ADD UE REFER L7274 PROPORTIONAL CONTROL 6-12VOLT UTAH/EQUIV," $6,900.00 ",,,
2744749907,HB PRSTH ADD UE TERMINAL DEVC USER ACTIVATE GRIP VARIABLE," $4,700.00 ",,,
2744749908,HB PRSTH ADD UE TERMINAL DEVC USER ACTIVATE GRIP CONTROL PULSE MODULAT," $4,700.00 ",,,
2744749909,HB PRSTH ADD UE MOTORIZED ROTATING THUMB 110DEGREE ROTATION," $11,500.00 ",,,
2744749910,HB PRSTH ADD UE EXTENDED WARRANTY," $6,800.00 ",,,
2744750000,HB PROSTH DEVICE REPR-LABOR/HOUR, $390.00 ,,,
2744751000,HB COCHLEAR REPAIR/REPLACE PARTS,,,,925 - 958
2744752000,HB PROSTH DEVICE REPR-LABOR/15MIN, $100.00 ,,,
2744752001,HB PROSTH DEVICE REPR-LABOR/15MIN COCHLEAR, $20.00 ,,,
2744770000,HB PROS SOC INSERT GASKET/SEAL EA," $1,260.00 ",,,
2744840000,HB PROSTH SHEATH BELOW KNEE-EA, $60.00 ,,,
2744841000,HB PROSTH SHEATH ABOVE KNEE EACH, $60.00 ,,,
2744841700,HB PROSTH SHEATH BK/AK+GEL CUSHN, $110.00 ,,,
2744842000,HB PROSTH SOCK MULTIPLE PLY BK EA, $60.00 ,,,
2744843000,HB PROSTH SOCK MULTIPLE PLY AK EA, $70.00 ,,,
2744843500,HB PROSTH SOCK MULTIPLE PLY UPPER LMB, $70.00 ,,,
2744844000,HB PROSTH SHRINKER BELOW KNEE-EA, $150.00 ,,,
2744846000,HB PROSTH SHRINKER ABOVE KNEE-EA, $200.00 ,,,
2744847000,HB PROSTH SOCK SGL PLY BELOW KNEE, $40.00 ,,,
2744848000,HB PROSTH SOCK SGL PLY ABOVE KNEE, $50.00 ,,,
2744848500,HB PROSTH SOCK SGL PLY FIT UPPER LMB, $40.00 ,,,
2744849900,HB UNLISTED PROC FOR MISC PROSTHETIC SVCS,,,,2664 - 34840.72
2744850000,HB LARYNX ARTIFICIAL SERVOX," $2,090.00 ",,,
2744850001,HB LARYNX ARTIFICIAL COOPER RAND," $1,590.00 ",,,
2744850002,HB LARYNX ARTIFICIAL SOLATONE," $1,650.00 ",,,
2744850003,HB LARYNX ARTIFICIAL NUVOICE ELECTRLRYNX," $2,090.00 ",,,
2744850004,HB  LARYNX ARTIFICIAL BLOMSINGER ELECTROLARYNX, $690.00 ,,,
2744850005,HB  LARYNX ARTIFICIAL XTRAVOIS ELECTROLARYNX," $2,000.00 ",,,
2744850006,HB  LARYNX ARTIFICIAL OPTIVOX ELECTROLARYNX," $2,000.00 ",,,
2744850007,HB  LARYNX ARTIFICIAL XTRAVOIS ELECTROLARYNX," $1,500.00 ",,,
2744850008,HB LARYNX ARTIFICIAL LIBERTY ELECTROLARYNX, $720.00 ,,,
2744850100,HB TRACH TUBE SPEAKING VALVE PASSY-MUIR, $200.00 ,,,
2744850700,HB TEP VOICE PT INSERTED-DUCKBILL, $130.00 ,,,
2744850701,HB TEP VOICE PT INSERTED-LOPRESS, $200.00 ,,,
2744850702,HB TEP VOICE PT INSERTED-PRVX NID, $290.00 ,,,
2744850900,HB TEP VOICE CLIN INSRT-DUCKBILL, $160.00 ,,,
2744850901,HB TEP VOICE CLIN INSRT-DUCKBL SP, $330.00 ,,,
2744850902,HB TEP VOICE CLIN INSRT-INDWEL, $660.00 ,,,
2744850903,HB TEP VOICE CLIN INSRT-INDWEL SP, $730.00 ,,,
2744850904,HB TEP VOICE CLIN INSRT-LOPRSS, $200.00 ,,,
2744850905,HB TEP VOICE CLIN INSRT-LOPRSS SP, $300.00 ,,,
2744850906,HB TEP VOICE CLIN INSRT-NID, $290.00 ,,,
2744850907,HB TEP VOICE CLIN INSRT-PROVX2, $490.00 ,,,
2744861501,HB COCHLEAR AMERICA HEADSET REPLACEMENT," $1,500.00 ",,,
2744861903,HB PROCESR ESPRIT 3G REPLAC," $19,990.00 ",,,
2744861905,HB PROCESR ESPRIT FREEDOM REPLAC," $22,820.00 ",,,
2744861907,HB PROCESR NUCLEUS5 REPLAC COCHAM," $26,650.00 ",,,
2744861909,HB  PROCESR SPRINT NUCLEUS 3 REPLACEMENT," $19,990.00 ",,,
2744861911,HB COCHLEAR SPEECH PROCESSOR NUCLEUS6 REPLACEMENT COCH AM," $35,290.00 ",,,
2744862100,HB  BATTERY FOR USE IN COCHLEAR IMPLANT ZN-AIR REPLACEMENT,,,,135 - 135
2744862801,HB COCHLEAR CONTRLR FREEDOM REPLC," $4,250.00 ",,,
2744868900,HB NEURSTIM INTERNAL BATTERY EXTERNAL RECHARGEABLE SYSTEM REPLACEMENT,,,,5617.71 - 5617.71
2744869101,HB AUDITORY OSSEOINTEGRATED SPEECH PROCESSOR EXT BAHA REPLACE,,,,90 - 12550
2744869102,HB  PROCESR EXT BAHA REPLACEMENT," $11,100.00 ",,,
2744869104,HB PROCESR AUDITORY OSSEOINTEG DEVICE PONTO EXTERNAL REPLACEMENT,,,,6275 - 14800
2744869200,HB AUDITORY NON-OSSEOINTEG SPEECH PROCESSOR+SOFTBND REPLACE,,,,6260 - 12525
2744990000,HB COCHLEAR ACCESSORY NOT LISTED,,,,60 - 180
2744990002,HB COCHLEAR AMERICA SOFTBAND LONG, $420.00 ,,,
2750009203,HB PCMKR INSYNC III DUAL MDTR," $32,640.00 ",,,
2750009208,HB PCMKR SYNCRA CRT-P OTH SGL/DUAL MDTR," $25,810.00 ",,,
2750009210,HB PCMKR REVO MRI OTH MDTR," $23,980.00 ",,,
2750009213,HB PCMKR ANTHEM RF CRT-P ST JUDE," $30,810.00 ",,,
2750009257,HB PCMKR ADAPTA DR DUAL RATE RESP MDTR," $21,650.00 ",,,
2750009258,HB PCMKR VILTORY XL DR DUAL RATE ST JUDE," $20,520.00 ",,,
2750047501,HB PCMKR ENRHYTHM DUAL RATE MDTR," $21,650.00 ",,,
2750047502,HB PCMKR INTEGRITY DUAL RATE RESP STJUDE," $17,130.00 ",,,
2750047503,HB PCMKR INTEGRITY SGL RATE RESP STJUDE," $17,130.00 ",,,
2750047504,HB PCMKR VERITY ADX XL DC DUAL NONRESP STJU," $17,130.00 ",,,
2750047505,HB PCMKR VERITY ADX XL SC SGL STJUDE," $17,130.00 ",,,
2750047506,HB PCMKR VERITY ADX XL SR MS SGL RESP  STJU," $17,130.00 ",,,
2750047507,HB PCKR MICRONY SR SGL RATE RESP STJUDE," $17,130.00 ",,,
2750047508,HB PCMKR CONSULTA CRT-P OTHER MDTR," $32,640.00 ",,,
2750047688,HB  PCMKR REPLY / RHAPSODY DR RESP SORIN," $17,820.00 ",,,
2750047689,HB PCMKR REPLY / RHAPSODY SR RESP SORIN," $11,330.00 ",,,
2750047690,HB PCMKR SENSIA SGL RESP MDTR," $15,700.00 ",,,
2750047691,HB  PCMKR SENSIA DUAL RESP MDTR," $17,870.00 ",,,
2750047694,HB PCMKR STRATOS / EVIA HF-T OTH BIOTRONIK," $25,810.00 ",,,
2750047695,HB PCMKR SYMPHONY DR RESP SORIN," $13,330.00 ",,,
2750047696,HB PCMKR VILTORY SR RESP STJU," $11,330.00 ",,,
2750047697,HB PCMKR EVIA DR / DR-T DUAL RESP BIOTRONIK," $14,990.00 ",,,
2750047698,HB PCMKR EVIA SR / SR-T SGL RESP BIOTRONIK," $14,990.00 ",,,
2750047699,HB  PCMKR REPLY / RHAPSODY SR RESP SORIN," $11,330.00 ",,,
2750050518,HB PCMKR IDENTITY SGL RATE RESP ST JUDE," $17,130.00 ",,,
2750050519,HB PCMKR VERITYH ADX SR SGL RESP STJUDE," $20,520.00 ",,,
2750050520,HB PCMKR PHILOS II DR-T DUAL RATE BIOTRONIK," $20,990.00 ",,,
2750050521,HB PCMKR SIGMA SDR DUAL RATE RESP MDTR," $16,320.00 ",,,
2750050522,HB PCMKR ENPULSE DR DUAL RATE RESP MDTR," $19,990.00 ",,,
2750050523,HB PCMKR VERITY ADX XL DR DUAL RESP STJUDE," $17,130.00 ",,,
2750050524,HB PCMKR KAPPA DUAL RATE RESP MDTR," $188,160.00 ",,,
2750050525,HB PCMKR PHILOS DUAL RATE RESP BIOTRONIK," $17,320.00 ",,,
2750050526,HB PCMKR PHILOS II DUAL RATE BIOTRONIK," $18,320.00 ",,,
2750050528,HB PCMKR INSIGNIA I SR SGL RATE GUIDANT," $18,990.00 ",,,
2750050529,HB PCMKR FRONTIER 2 CRT-P ST JUDE," $30,810.00 ",,,
2750050531,HB PCMKR IDENTITY DUAL RATE RESP ST JUDE," $20,520.00 ",,,
2750050532,HB PCMKR CYLOS DR DUAL RATE RESP BIOTRONIK," $19,320.00 ",,,
2750050533,HB PCMKR PHILOS II SR SGL RATE BIOTRONIK," $15,990.00 ",,,
2750050534,HB PCMKR CYLOS VR SGL RATE RESP BIOTRONIK," $17,320.00 ",,,
2750050536,HB PCMKR SYMPHONY SR SGL RATE ELA MED SORIN," $18,640.00 ",,,
2750050537,HB PCMKR ALTRUA 60 SR SINGLE RATE RESP BSCI," $18,420.00 ",,,
2750050538,HB PCMKR ZEPHYR XL / ACCENT RF DR STJUDE," $21,000.00 ",,,
2750050539,HB PCMKR ZEPHYR XL / ACCENT RF SR STJUDE," $17,610.00 ",,,
2750050540,HB PCMKR ADAPTA /KAPPA/LEGACY/THERA SR SINGLE RATE RESP MDTR," $19,990.00 ",,,
2750050541,HB PCMKR ALTRUA 60 DDDR /INGENIO DR /ADVANTIO DR BSCI," $21,320.00 ",,,
2750050542,HB PCMKR CONTAK RENEWAL TR CRT-P OTHER BSCI," $25,810.00 ",,,
2750050570,HB PCMKR VERSA DDDR MDTR," $19,990.00 ",,,
2750050571,HB PCMKR VISTA DDD DUAL NONRATE STJUDE," $16,660.00 ",,,
2750050572,HB PCMKR ENPULSE SINGLE RATE RESP MDTR," $19,990.00 ",,,
2750050573,HB PCMKR ALTRUA 20 DDDR DUAL RATE RESP BSCI," $16,990.00 ",,,
2750050574,HB PCMKR ALTRUA 20 EL DUAL RATE RESP BSCI," $17,490.00 ",,,
2750050575,HB PCMKR ALTRUA 20 SSIR SGL RATE RESP BSCI," $14,540.00 ",,,
2750050576,HB PCMKR ALTRUA 40 DDDR DUAL RATE RESP BSCI," $18,950.00 ",,,
2750050577,HB PCMKR ALTRUA 40 EL DUAL RATE RESP BSCI," $19,320.00 ",,,
2750050578,HB PCMKR ALTRUA 40 SSIR SGL RATE RESP BSCI," $16,910.00 ",,,
2750050579,HB PCMKR ALTRUA 60 EL DUAL RATE RESP BSCI," $21,650.00 ",,,
2750317850,HB  PCKMR ADVISA DR MRI MDTR," $17,320.00 ",,,
2750540382,HB  PCMKR CONSULTA CRT-P OTH," $32,640.00 ",,,
2750544844,HB  PCMKR REVO MRI DUAL RATE MDTR," $17,320.00 ",,,
2750620768,HB PCMKR ASSURITY / ENDURITY DR STJUDE," $14,990.00 ",,,
2750620770,HB PCMKR ASSURITY / ENDURITY SR STJUDE," $12,330.00 ",,,
2750620772,HB PCMKR ALLURE BIV CRTP/QUADRA STJUDE," $25,810.00 ",,,
2750620780,HB PCMKR INTUA CRT-P OTH THAN SGL/DUAL CHAMBER BSCI," $25,810.00 ",,,
2750630320,HB PCMKR ADAPTA DUAL RATE LONG MDTR," $14,990.00 ",,,
2750665408,HB PCMKR ACCOLADE MRI DUAL RATE RESP BSCI," $16,320.00 ",,,
2750665410,HB PCMKR ACCOLADE MRI SGL RATE RESP BSCI," $16,320.00 ",,,
2750673084,HB PCMKR ADVISA SR MRI SGL RESP MDTR," $13,650.00 ",,,
2750678470,HB PCMKR LEADLESS MICRA SGL RESP MDTR," $32,470.00 ",,,
2750678526,HB PCMKR VALITUDE BIVENT OTH BSCI," $25,810.00 ",,,
2750679020,HB PCMKR EDORA MRI DR-T DUAL RATE RESP BIOTRONIK," $16,320.00 ",,,
2750679021,HB PCMKR EDORA MRI SR-T SGL RATE RESP BIOTRONIK," $13,650.00 ",,,
2750683822,HB SOLARA CRT-P MRI SURESCAN NONQUAD PMA P010015 S317," $23,310.00 ",,,
2750683823,HB SOLARA CRT-P MRI SURESCAN QUAD PMA P010015 S317," $24,980.00 ",,,
2750683939,HB PCMKR AZURE XT MRI SURESCAN DUAL CHAMBER MDTR," $15,680.00 ",,,
2750683940,HB PCMKR AZURE XT MRI SURESCAN SGL CHAMBER MDTR," $13,230.00 ",,,
2751617900,HB  PCMKR ADVANTIO DR BSCI," $14,990.00 ",,,
2751618300,HB PCMKR ADVANTIO / INGENIO SR BSCI," $12,330.00 ",,,
2753178500,HB PCMKR DUAL CHAMBER RATE RESPONSIVE,,,,12407.58 - 17815.5
2753178600,HB  PCMKR SGL CHAMBER RATE RESPONSIVE,,,,10989 - 32467.5
2753262100,HB  PCMKR OTH THAN SGL/DUAL CHAMBER IMPLANT,,,,15677.64 - 25807.5
2754769900,HB  PCMKR REPLY / RHAPSODY SR RESP SORIN," $11,330.00 ",,,
2755058000,HB  PCMKR INVIVE BIVALVE OTH BSCI," $25,810.00 ",,,
2763178000,HB IOL,,,,96.57 - 526.14
2766263000,HB  IOL ANTERIOR CHAMBER,,,,499.5 - 2827.17
2766263200,HB  IOL POSTERIOR CHAMBER,,,,432.9 - 3163.5
2766278800,HB  IOL PRESBYOPIA CORRECTING FUNCITON,,,,582.75 - 582.75
2780000007,HB CSF CAMINO MONITOR, $620.00 ,,,
2780000057,HB MRI HEAD TONGS OR RINGS, $670.00 ,,,
2780000173,HB LARYNGECTMY TUBE, $630.00 ,,,
2780000271,HB CATH  DRAIN THORACIC, $20.00 ,,,
2780000328,HB CSF CAMINO CATH," $1,440.00 ",,,
2780000330,HB CATH MULTIMED ARROW, $540.00 ,,,
2780000338,HB TUBE STOMACH LINTON," $1,020.00 ",,,
2780000340,HB STENT HERCULINK ELITE ABBOTT," $5,320.00 ",,,
2780000341,HB STENT HERCULINK GUIDANT," $5,800.00 ",,,
2780000342,HB STENT MEDTRONIC," $6,740.00 ",,,
2780000405,HB STENT OMNILINK ABBOTT GUIDANT," $5,470.00 ",,,
2780000427,HB IABP INTRAAORTIC BALLN PUMP ASSISTDEVICE," $2,500.00 ",,,
2780000476,HB TUBE ESOPHAGEAL BLAKEMORE, $900.00 ,,,
2780000561,HB HDE STENT JOSTENT GRAFTMASTER WO DELV H000001," $7,980.00 ",,,
2780000562,HB HDE STENT JOSTENT GRAFTMASTER + DELV H000001," $7,980.00 ",,,
2780000571,HB STENT EXPRESS2 MONORAIL SCIMED BSCI," $3,830.00 ",,,
2780000590,HB STENT HEPACOAT CORDIS," $5,720.00 ",,,
2780000602,HB CATH BALLN ESPIRIT RX GUIDANT, $250.00 ,,,
2780000603,HB CATH SEPTOSTOMY RASHKIND MDTR, $410.00 ,,,
2780000604,HB CATH CV BLADE SEPTO, $740.00 ,,,
2780000605,HB CATH GUIDE CELIAC, $50.00 ,,,
2780000606,HB CATH GUIDE CEREBRAL, $50.00 ,,,
2780000607,HB CATH EMBOLECTOMY, $230.00 ,,,
2780000609,HB CATH INFERIOR MESENTERIC, $50.00 ,,,
2780000610,HB CATH BALLN GEMINI RX GUIDANT," $1,420.00 ",,,
2780000613,HB CATH NIH MARKER, $100.00 ,,,
2780000614,HB CATH PERICARDIOCENTESIS, $40.00 ,,,
2780000616,HB BIOPUMP CARDIO ASSIST DEVC DISP," $74,930.00 ",,,
2780000617,HB CATH GROSHONG REPAIR KIT, $100.00 ,,,
2780000618,HB CATH STRAIGHT, $50.00 ,,,
2780000619,HB CATH VERTEBRAL ARTERY, $50.00 ,,,
2780000620,HB CATH BALLN ANGIO AGILTRAC, $670.00 ,,,
2780000621,HB COIL EMBO STAINLESS STEEL COOK, $170.00 ,,,
2780000622,HB CATH BALLN GUIDANT," $2,170.00 ",,,
2780000630,HB CATH BALLN SCIMED, $890.00 ,,,
2780000631,HB CATH BALLN APEX BSCI, $890.00 ,,,
2780000650,HB CATH BALLN MEDTRONIC," $2,170.00 ",,,
2780000655,HB CATH BALLN VIATRAC GUIDANT, $640.00 ,,,
2780000660,HB CATH BALLN FX MINIRAIL GUIDANT," $2,600.00 ",,,
2780000662,HB CONNECTOR FOR GROSHONG CATH, $40.00 ,,,
2780000675,HB  STENT ESOPH WALL COV+DELIV SYST BSCI," $8,500.00 ",,,
2780000701,HB CATH THROMBECTOMY EXPORT MEDTRONIC," $1,670.00 ",,,
2780000719,HB CATH DRAIN CHEST, $170.00 ,,,
2780000800,HB CATH BALLN CUTTING ATHERTOME BSCI," $2,670.00 ",,,
2780000814,HB CATH SWAN GANZ OXIMETRY, $570.00 ,,,
2780000815,HB CATH SWAN GANZ HISHOR, $480.00 ,,,
2780000823,HB CATH GUIDING PEDS, $330.00 ,,,
2780000855,HB CATH CV PACING TRANSESOPH," $1,270.00 ",,,
2780000857,HB CATH CV PACING ATRIAL, $280.00 ,,,
2780000858,HB CATH CV PACING ATRIAL OXIMETRY," $1,020.00 ",,,
2780000859,HB CATH CV PACING VENTRIC PROBE, $400.00 ,,,
2780000860,HB CATH CV PACING TEMPORARY EDWARDS BAXTER, $400.00 ,,,
2780000862,HB ELECTRODE BIPOLAR PACING, $400.00 ,,,
2780000863,HB CATH CV PACING ATRIAL PROBE, $420.00 ,,,
2780000864,HB CATH CV CASTILLO, $60.00 ,,,
2780000867,HB CATH CV HANAFEE, $110.00 ,,,
2780000876,HB CATH GUIDE CV BIOPSY, $340.00 ,,,
2780000889,HB PCMKR TEMPORARY-BEDSIDE, $170.00 ,,,
2780000900,HB CATH BALLN ATHERECTMY FLEXICUT," $6,530.00 ",,,
2780000929,HB CLOSURE DEVICE PERCLOSE ARTERY 8F, $960.00 ,,,
2780000945,HB CATH CV EP SPECIAL EP <19ELEC," $2,030.00 ",,,
2780000946,HB CATH OXIMETRY," $1,740.00 ",,,
2780000949,HB CATH ABLAT THERMOCOOL CELSIUS BIOSENSE," $4,170.00 ",,,
2780000951,HB CATH EP ABLAT THERMOCOOL NVSTR BIOSENSE," $4,170.00 ",,,
2780000954,HB CATH BALLN ANGIO BLUE MAX BOSTON SCI, $880.00 ,,,
2780000956,HB CATH BALLN PACK, $260.00 ,,,
2780000970,HB CATH CVP CENTRAL VENOUS PRESS, $280.00 ,,,
2780001004,HB CATH CV INFUSION," $2,140.00 ",,,
2780001011,HB CATH GUIDE ZUMA / LAUNCHER MDTR, $200.00 ,,,
2780001032,HB CATH GLIDEWIRE ZIPWIRE BSCI, $110.00 ,,,
2780001043,HB CATH CENTRAL VENOUS ARGON, $100.00 ,,,
2780001045,HB CATH CV ALI KHAN, $120.00 ,,,
2780001049,HB CATH GUIDE CV BERENSTEIN, $60.00 ,,,
2780001051,HB CATH ANGIOGRAPHIC MARKER PIGTAIL, $100.00 ,,,
2780001101,HB AMPLATZ ASD SEPTAL CLOS DEVICE AGA MED," $16,660.00 ",,,
2780001106,HB AMPLATZ PATENT DUCTUS ARTER SEPTAL SYST," $2,760.00 ",,,
2780001107,HB AMPLATZ PATENT FORAMEN OVALE SEPTAL SYST," $9,660.00 ",,,
2780001108,HB AMPLATZ ASD CRIBIFORM SEPTALSYST AGA MED," $16,660.00 ",,,
2780001110,HB AMPLATZ PLUG ASD SEPTAL DEFECT SYST AGA," $1,250.00 ",,,
2780001112,HB AMPLATZ PLUG2 ASD SEPTAL DEFECT SYST AGA," $2,670.00 ",,,
2780001121,HB NITINOL OCCLUDER DEVICE SM," $2,400.00 ",,,
2780001122,HB NITINOL OCCLUDER DEVICE MED," $3,020.00 ",,,
2780001123,HB NITINOL OCCLUDER DEVICE LG," $3,710.00 ",,,
2780001128,HB CATH BALLN DILAT RIGIFLEX BSCI," $2,070.00 ",,,
2780001201,HB STENT CARDIAC ACS GUIDANT," $7,580.00 ",,,
2780001227,HB STENT CARDIAC AVE," $7,230.00 ",,,
2780001245,HB STENT CARDIAC NIROYAL 9MM," $5,680.00 ",,,
