CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
22610131,HB  ALLERGY LAB TEST VENOM 6-10, $210.00 ,,,
22610132,HB  ALLERGY LAB TEST VENOM 11-15, $160.00 ,,,
22610133,HB  ALLERGY LAB TEST VENOM 16+, $160.00 ,,,
2390060000,HB RN PRIVATE DUTY/HR, $80.00 ,,,
2390070000,HB LVN PRIVATE DUTY/HR, $40.00 ,,,
2390080000,HB CNA CARE PARTNER PRIV DUTY/HR, $30.00 ,,,
2450011000,HB  VAD ABIOMED IMPELLA SUPPORT + SUPPLY CONSOLE EACH 24HR," $8,960.00 ",,,
2450080000,HB VAD ABLATE VENTR ARRYHYTHM FOCI CPB CRYOPROBE," $1,970.00 ",,,
2450082300,HB VAD IABP INSERT/CHANGE VIA FEM ART PERCUTN," $1,730.00 ",,,
2450082400,HB VAD IABP REMOVE VIA FEM ART PERCUTN, $110.00 ,,,
2450082900,HB VAD IABP SUPPORT EACH ADDL 24HRS," $1,880.00 ",,,
2450110100,HB  VAD PERFUSION HOURS 1.00," $10,390.00 ",,,
2450110200,HB  VAD PERFUSION HOURS 2.00," $10,780.00 ",,,
2450110300,HB  VAD PERFUSION HOURS 3.00," $11,170.00 ",,,
2450110400,HB  VAD PERFUSION HOURS 4.00," $11,560.00 ",,,
2450110500,HB  VAD PERFUSION HOURS 5.00," $11,950.00 ",,,
2450110600,HB  VAD PERFUSION HOURS 6.00," $12,340.00 ",,,
2450110700,HB  VAD PERFUSION HOURS 7.00," $12,730.00 ",,,
2450110800,HB  VAD PERFUSION HOURS 8.00," $13,120.00 ",,,
2450110900,HB  VAD PERFUSION HOURS 9.00," $13,510.00 ",,,
2450111000,HB  VAD PERFUSION HOURS 10.00," $13,900.00 ",,,
2450111100,HB  VAD PERFUSION HOURS 11.00," $14,290.00 ",,,
2450111200,HB  VAD PERFUSION HOURS 12.00," $14,680.00 ",,,
2450111300,HB  VAD PERFUSION HOURS 13.00," $15,070.00 ",,,
2450111400,HB  VAD PERFUSION HOURS 14.00," $15,460.00 ",,,
