"Description                             ","Price     "
"SELECTIVE WND DEBRID FIRST 20 SQ CM     ","    189.00"
"MUSCLE TESTING, MANUAL, EXTREMITY OR TRU","     71.60"
"MID LEVEL NEW PATIENT-FACILITY WOC      ","      0.01"
"MID LEVEL EST PATIENT-FACILITY WOC      ","      0.01"
"HBO - PHYSICIAN IN ATTENDANCE-FACILITY W","      0.01"
"DEBRIDEMENT SELECTIVE (1ST 20 SQ CM) FAC","      0.01"
"DEBRIDEMENT SUBQ (1ST 20 SQ CM) FACILITY","      0.01"
"DEBRIDEMENT SUBQ (ADD-ON >20SQ CM) FACIL","      0.01"
"CHEM CAUTERIZATION,GRANULATION TISS-FACI","      0.01"
"WOC/TREATMENT WOUND VAC APPLICATION - ES","    304.00"
"BIOFEEDBACK  W/H                        ","    194.00"
"MID LEVEL NEW PATIENT-FACILITY WOC      ","      0.01"
"MID LEVEL EST PATIENT-FACILITY WOC      ","      0.01"
"HBO-PHYSICIAN IN ATTENDANCE-FACILITY WOC","      0.01"
"DEBRIDEMENT SELECTIVE (1ST 20 SQ CM) FAC","      0.01"
"DEBRIDEMENT SUBQ (1ST 20 SQ CM) FACILITY","      0.01"
"DEBRIDEMENT SUBQ (ADD-ON>20 SQ CM) FACIL","      0.01"
"CHEM CAUTERIZATION,GRANULATION TISS-FACI","      0.01"
"HOSPITAL O/P CLINIC VISIT - WOC         ","    150.00"
"HOSP. O/P CLINIC VISIT W/PROCEDURE - WOC","    150.00"
"APPLICATION OF SKIN SUBSTITUTE GRAFT    ","   1522.00"
"BLADDER SCAN US PV RESIDUAL URINE BY U/S","    237.00"
"WOUND CAUTERY/CHEMICAL                  ","     85.00"
"WOC/UNNA BOOT APPLICATION-BILAT.        ","    257.00"
"PINCH GRAFT-SKIN/SINGLE OR MULTIPLE;TO 2","    628.00"
"BDGE TUBULAR ELASTIC SPANDAGRIP 3X36 SIZ","    117.34"
"BDGE COMPRESSION TUBIGRIP SIZE C        ","    102.94"
"PROSTHETIC FITTING EA. ADD'L 10 MIN.    ","     83.00"
"PROSTHETIC/OSTOMY FITTING INITIAL 25 MIN","    119.00"
"PROSTHETIC EVALUATION                   ","    119.00"
"MISC.SUPPLY CHARGE E.T. (SPECIFY SPLY&AM","      9.15"
"BIOPSY-SKIN SUBQ/MM;EA ADD'L LESION     ","     75.00"
"BIOPSY,BONE;OPEN;DEEP                   ","   1705.00"
"NEG PRESSURE WOUND TX >50CM             ","    150.00"
"LEVEL 1 -A 1ST HOUR                     ","    455.20"
"LEVEL 1 ANEST CHG 1 HR-1.99 HR          ","    391.35"
"LEVEL 2 ANEST CHG 2 HR - 2.99 HR        ","    509.65"
"LEVEL 3 ANEST CHG 3 HR - 3.99 HR        ","    632.35"
"LEVEL 4 ANEST CHG 4 HR - 4.99 HR        ","    753.95"
"LEVEL 5 ANEST CHG 5 HR - 5.99 HR        ","    873.75"
"LEVEL 6 ANEST CHG 6 HR - 6.99 HR        ","    995.00"
"LEVEL 7 ANEST CHG 7 HR - 7.99 HR        ","   1114.80"
"LEVEL 8 ANEST CHG 8 HR - 8.99 HR        ","   1234.60"
"LEVEL 9 ANEST CHG 9 HR - 9.99 HR        ","   1391.00"
"OH ANEST CHG 1 HR-1.99 HR               ","    190.55"
"OH ANEST CHG 2 HR-2.99 HR               ","    325.05"
"OH ANEST CHG 3 HR-3.99 HR               ","    466.55"
"OH ANEST CHG 4 HR-4.99 HR               ","    604.30"
"OH ANEST CHG 5 HR-5.99 HR               ","    740.45"
"OH ANEST CHG 6 HR-6.99 HR               ","    876.55"
"OH ANEST CHG 7 HR-7.99 HR               ","   1014.75"
"OH ANEST CHG 8 HR-8.99 HR               ","   1149.65"
"OH ANEST CHG 9 HR-9.99 HR               ","   1328.65"
"OH ANEST CHG 10 HR-10.99 HR             ","   1660.80"
"OH ANEST CHG 11 HR-11.99 HR             ","   1993.00"
"OH ANEST CHG 12 HR-12.99 HR             ","   2325.15"
"OH ANEST CHG 1-1.99 HR >5PM             ","    384.20"
"OH ANEST CHG 2-2.99 HR >5PM             ","    500.40"
"OH ANEST CHG 3-3.99 HR >5PM             ","    620.85"
"OH ANEST CHG 4-4.99 HR >5PM             ","    740.25"
"OH ANEST CHG 5-5.99 HR >5PM             ","    857.85"
"OH ANEST CHG 6-6.99 HR >5PM             ","    976.90"
"OH ANEST CHG 7-7.99 HR >5PM             ","   1094.50"
"OH ANEST CHG 8-8.99 HR >5PM             ","   1212.10"
"OH ANEST CHG 9-9.99 HR >5PM             ","   1365.70"
"OH ANEST CHG 10-10.99 HR >5PM           ","   1793.70"
"OH ANEST CHG 11-11.99 HR >5PM           ","   2242.10"
"OH ANEST CHG 12-12.99 HR >5PM           ","   2574.25"
"ANESTHESIA SUPPLIES                     ","    707.00"
"ANESTHESIA SUPPLIES MINOR               ","     50.00"
"NEEDLE BIOPSY TURNER BX 18GX10CM DTB-18-","     90.92"
"GUIDE WIRE AMPLATZ ULTRA STIFF 80 CM    ","     99.83"
"ULTANE ANES GAS (SEVOFLURANE) PER HOUR  ","     97.00"
"ANCHOR SUTURE                           ","   1712.13"
"DRAPE MAGNETIC INSTRUMENT 8X12-USE PMM#1","     15.05"
"BUR LINDEMANN CARBIDE                   ","    104.65"
"K-WIRE DOUBLE DIAMOND .054 X 4          ","      8.47"
"DRAPE ULTRASOUND PROBE 5 X 96 MICROTEK #","     25.69"
"PERCUFLEX PLUS W/BRAIDED SUTURE 4.8 X 26","    495.57"
"DISSECTING FORCEPS GYRUS LYONS          ","    745.50"
