Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Charges,
37739765,OR PL 4.5 LCP CNDY 6H/170 LT S,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5784.21,
37739766,TS TENDON PERONEUS LONGUS,01/10/2017,812,10.44210,HMA REV-GENERAL SURGERY,1900,
37739767,OR LINER ACETB XLPE 71337650,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6509.24,
37739768,OR HEAD FEM OX 12/14 32MM +4,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7195.9,
37739769,OR PL LCP DHUM 3.5/8H/194/RT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5405.02,
37739770,OR IMPLANT SILICONE MCP SZ:10,01/10/2017,278,10.44700,HMA REV-MED SUP CHG PT,4430.74,
37739771,OR IMPLANT SILICONE MCP SZ:20,01/10/2017,278,10.44700,HMA REV-MED SUP CHG PT,4430.74,
37739772,OR IMPLANT SILICONE MCP SZ:30,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4430.74,
37739773,OR HEAD RADIAL 24 COCR 13.0 ST,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6367.16,
37739774,OR STEM RADIL 9MM TI STRT 30MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6367.16,
37739775,OR STEM RADIL 7MM TI STRT 26MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6367.16,
37739776,OR DURAGEN SUTURABLE 3X3,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4329.31,
37739777,OR DURAGEN SUTURABLE 4X5,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7276.76,
37739778,OR XCORE MINI CORE 12/15-20MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,20218.39,
37739779,OR XCORE MINI END CVX 12/15X12,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5188.79,
37739780,OR XCORE M BTM LRD 15/12/12/7D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5188.79,
37739781,OR XCORE MINI CORE 14/15-20MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,20218.39,
37739782,OR XCORE MINI END PR RND 12/14,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5188.79,
37739783,OR XCORE MINI END PR RND 14/16,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5188.79,
37739784,OR PL TRAVERSE 2 BOLT 40MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,14329.33,
37739785,OR PRODISC-C MED 5MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739786,OR PRODISC-C LG 5MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739787,OR PRODISC-C LG 6MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739788,OR PRODISC-C LG DEEP 5MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739789,OR PRODISC-C LG DEEP 6MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739790,OR PRODISC-C X-LG 5MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739791,OR PRODISC-C X-LG DEEP 5MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,23520.7,
37739792,OR CRANIOS PUTTY 5CC FAST SET,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7001.12,
37739793,OR PL XTEND AC 3LVL 54MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4042.64,
37739794,OR COROENT XLFW 12X22X55 LRDTC,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,22429.31,
37739795,OR INSERT TIBIAL RP CVD 5/10MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4573.7,
37739796,OR HIP TTL COP TM-C/VE-L/CER-H,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,20448.42,
37739797,OR EXT FIXATOR ELBOW/UPPER EXT,01/10/2017,270,10.44210,HMA REV-GENERAL SURGERY,0,
37739798,OR PL CLAW II 30MM  WM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6670.36,
37739799,OR PL CLAW II 25MM  WM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6670.36,
37739800,OR STNT GRFT OVATION MAIN 26MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,33701.79,
37739801,OR STNT GRFT OVATION IL 10X140,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,14700.52,
37739802,OR STNT GRFT OVATION IL 22X100,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,14700.52,
37739803,OR STNT GRFT OVATION IL 18X140,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,14700.52,
37739804,OR STNT GRFT OVATION IL 14X140,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,14700.52,
37739805,OR CRT-D SYS VIVA QUAD XT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,114278.14,
37739806,OR LEAD ATTAIN PRFRMA LV W/SYS,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,1.07,
37739807,OR LEAD SPRNT QUATRO MRI W/SYS,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,1.07,
37739808,OR LEAD CAPSUREFIX NOVUS W/SYS,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,1.07,
37739809,OR HIP BIPOLAR N-CMT HD P1A ZM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,17609.04,
37739810,OR HIP BIPOLAR PRIMARY STEM DP,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,17609.04,
37739811,OR GRAFT ARTEGRAFT 7X43,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4296.22,
37739812,OR AICD SYS INOGEN MINI DF4 VR,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,61135.77,
37739814,OR SC VUEPOINT II MA 4.0X26,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4349.22,
37739815,OR ROD VUEPOINT 2 HINGED,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5255.43,
37739816,OR EPIFIX 4CMX4CM/1CM  16cm2,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,700.8,
37739817,OR AMNIOFIX 4CMX4CM/1CM  16cm2,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,343.4,
37739818,OR HEMICAP TOE ARTI 1.0X1.5/12,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6284.47,
37739819,OR PL MTRXMND 3X3H  04.503.731,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4483.65,
37739820,OR PL MTRXMND 2.5/12H RCN THK,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4424.86,
37739821,OR PLATE SKYLINE AC 3 LVL 48MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4443.23,
37739822,OR PLATE SKYLINE AC 3 LVL 51MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4443.23,
37739823,OR INSERT JRNY REV 5-6/LT/11,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5417.14,
37739824,OR HEAD MODULAR OX 40MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,8115.6,
37739825,OR SLEEV EMP13 MED CONE2 SPT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6983.67,
37739826,OR STEM PRIM EMP13 HO,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,13371.03,
37739827,OR STEM ALLOCLSC SL SZ 6 12/14,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,13813.71,
37739828,OR TITAN TOUCH CYL W/PUMP 20CM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,32304.38,
37739829,OR TITAN RESERVOIR CL 125CC,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7060.45,
37739830,OR GENERATOR EVIA SR-T,01/10/2017,275,10.44210,HMA REV-GENERAL SURGERY,15435.54,
37739831,OR MESH TI MTRXNRO 100X100 RGD,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,10448.39,
37739832,"OR OR SYNTHECEL 10X12CM (4X5"")",01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6519.68,
37739833,OR PLATE NXGN TIB A/P WDG SZ 3,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7832.61,
37739834,OR STEM NXGN STRT EXT 12X145,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4375.97,
