"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00041010338,HC Percussion Vibration Postural Drainage 3 positions or  less,$243.00,$243.00
Px00041010353,HC Sputum Induction,$345.00,$345.00
Px00041010366,HC HOME CPAP MANAGEMENT DAILY,$554.00,$554.00
Px00041010406,HC Tracheostomy Tube Change,$224.00,$224.00
Px00046010012,HC Diffusing Capacity,$479.00,$479.00
Px00046010014,HC End Tidal C02 Monitoring Daily,"$1,092.00","$1,092.00"
Px00046010026,HC Maximum Voluntary Ventilation,$300.00,$300.00
Px00046010053,HC Flow Volume Loop,$466.00,$466.00
Px00046010055,HC SPIROMETRY,$442.00,$442.00
Px00046010063,HC SPIROMETRY PRE POST BRONCHODILATOR,$879.00,$879.00
Px00096910543,NEBULIZER SMALL VOLUME,$118.00,$118.00
Px00096910545,"DEMO AND/OR EVAL OF PATIENT UTILIZATION OF A NEBULIZER,INHALER,IPPB OR AEROSOL DEVICE",$83.00,$83.00
Px00097610003,SPIROMETRY PRE POST BRONCHODILATOR,$338.00,$338.00
Px00097610012,MAXIMUM VOLUNTARY VENTILATION,$315.00,$315.00
Px00097610016,SPIROMETRY,$203.00,$203.00
Px00098110596,CARDIOPULMONARY RESUSCITATION,"$1,038.00","$1,038.00"
Px00026010005,HC Draw blood off venous device,$224.00,$224.00
Px00026010006,HC Collect blood from picc,$235.00,$235.00
Px00026010007,HC HYDRATION IV INFUSION INIT^,$423.00,$423.00
Px00026010008,HC HYDRATE IV INFUSION ADD-ON^,$138.00,$138.00
Px00026010009,HC THER/PROPH/DIAG IV INF INIT^,$461.00,$461.00
Px00026010010,HC THER/PROPH/DIAG IV INF ADDON^,$254.00,$254.00
Px00026010011,HC TX/PROPH/DG ADDL SEQ IV INF^,$284.00,$284.00
Px00026010012,HC THER/DIAG CONCURRENT INF^,$204.00,$204.00
Px00026010025,"HC INFUSION, HYDRATION, EA ADD HR",$138.00,$138.00
Px00033110001,HC CHEMO ANTI-NEOPL SQ/IM^,$453.00,$453.00
Px00033110002,HC CHEMO HORMON ANTINEOPL SQ/IM^,$248.00,$248.00
Px00033110007,HC CHEMO IV PUSH SNGL DRUG^,$711.00,$711.00
Px00033510002,HC CHEMO IV PUSH ADDL DRUG^,$477.00,$477.00
Px00033510003,HC CHEMO IV INFUSION 1 HR^,$629.00,$629.00
Px00033510004,HC CHEMO IV INFUSION ADDL HR^,$528.00,$528.00
Px00033510005,HC CHEMO PROLONG INFUSE W/IMPLANTED PUMP^,"$1,268.00","$1,268.00"
Px00033510006,HC CHEMO IV INFUS EACH ADDL SEQ^,$570.00,$570.00
Px00033510013,HC CHEMOTX ADMN PRTL CAVITY^,"$1,185.00","$1,185.00"
Px00036110005,HC Declot vascular device,$901.00,$901.00
Px00045010307,HC INSERT NON-TUNNEL CV CATH < 5 YR,$945.00,$945.00
Px00045010308,HC INSERT NEEDLE BONE CAVITY,$224.00,$224.00
Px00076110301,HC SPIN/BRAIN PUMP REFIL & MAINT,"$1,026.00","$1,026.00"
Px00076110307,HC IRRIG DRUG DELIVERY DEVICE^,$197.00,$197.00
Px00077110001,HC IMMUNIZATION ADMIN,$79.00,$79.00
Px00077110002,HC IMMUNIZATION ADMIN EACH ADD,$79.00,$79.00
Px00077110003,HC ADMIN INFLUENZA VIRUS VAC,$79.00,$79.00
Px00077110004,HC ADMIN PNEUMOCOCCAL VACCINE,$75.00,$75.00
Px00077110005,HC ADMIN HEPATITIS B VACCINE,$79.00,$79.00
Px00094010057,HC THER/PROPH/DIAG INJ SC/IM 96372,$131.00,$131.00
Px00094010205,HC THER/PROPH/DIAG INJ SC/IM^,$131.00,$131.00
Px00094010207,HC THER/PROPH/DIAG IV PUSH^,$326.00,$326.00
Px00094010208,HC TX/PRO/DX· IV PUSH NEW DRUG ADDON^,$183.00,$183.00
Px00094010209,HC TX/PRO/DX· IV PUSH SAME DRUG ADD ON^,$183.00,$183.00
Px00096910463,IMMUNIZATION ADMIN,$70.00,$70.00
Px00096910465,IMMUNOTHERAPY ONE INJECTION,$47.00,$47.00
Px00096910466,IMMUNOTHERAPY INJECTIONS,$95.00,$95.00
Px00096910474,THER/PROPH/DIAG INJ SC/IM,$92.00,$92.00
Px00096910478,CHEMO HORMON ANTINEOPL SQ/IM,$248.00,$248.00
Px00098110225,DRAW BLOOD OFF VENOUS DEVICE,$338.00,$338.00
Px00098110226,INSERT NEEDLE BONE CAVITY,$783.00,$783.00
Px00098310304,ANTIGEN THERAPY SERVICES,$56.00,$56.00
Px00039110001,HC BLOOD TRANSFUSION SERVICE 1 UNIT ^,$850.00,$850.00
Px00039010002,HC CRYOPRECIPITATE EACH UNIT,$362.00,$362.00
Px00039010005,HC FRESH FROZEN PLASMA SPLIT EA UNIT,$213.00,$213.00
Px00039010009,HC Autologous blood process WB,"$1,570.00","$1,570.00"
Px00039010013,HC Blood split unit RBC,$372.00,$372.00
Px00039010015,HC RBC LEUKOREDUCED,"$1,096.00","$1,096.00"
Px00039010017,HC FRESH FROZEN PLASMA EA UNIT FRZ W/IN 8 HR,$457.00,$457.00
Px00039010018,HC PLATELETS EACH UNIT,$675.00,$675.00
Px00039010020,HC Red blood cells Split each unit,$390.00,$390.00
Px00039010021,HC AUTOLOGOUS RED BLOOD CELLS UNIT,"$1,676.00","$1,676.00"
Px00039010022,HC RED BLOOD CELLS UNIT,"$1,096.00","$1,096.00"
Px00039010024,HC WASHED RED BLOOD CELLS UNIT,"$2,084.00","$2,084.00"
Px00039010027,HC PLATELETS LEUKOCYTES REDUCED,$675.00,$675.00
Px00039010028,HC PLATELETS IRRADIATED,$707.00,$707.00
Px00039010029,HC PLATELETS LEUKOREDUCED IRRAD,$707.00,$707.00
Px00039010030,HC PLATELET PHERESIS,"$4,408.00","$4,408.00"
Px00039010031,HC PLATELET PHERESIS LEUKOREDUCED,"$3,742.00","$3,742.00"
Px00039010032,HC PLATELET PHERESIS IRRADIATED,"$3,912.00","$3,912.00"
Px00039010033,HC PLATELET PHERESIS LEUKOREDU IRRAD,"$4,580.00","$4,580.00"
Px00039010034,HC RBC IRRADIATED,"$1,269.00","$1,269.00"
Px00039010035,HC RBC DEGLYCEROLIZED,"$2,069.00","$2,069.00"
Px00039010036,HC CRYOPRECIPITATE REDUCED PLASMA,$457.00,$457.00
Px00039010037,HC GRANULOCYTES PHERESIS UNIT,"$4,098.00","$4,098.00"
Px00039010039,HC PLT PHERESIS HLA MATCHED LEUK REDUCED,"$5,025.00","$5,025.00"
Px00039010041,HC RBCS LEUKO REDCD FRZN DEGLYCEROL WASHED EA UNIT,"$2,069.00","$2,069.00"
Px00039010043,HC RBC WASHED LEUKOREDUC IRRAD,"$2,242.00","$2,242.00"
Px00039010045,HC FRESH FROZEN Plasma frz between 8-24hour,$235.00,$235.00
Px00039010047,HC FRESH FROZEN PLASMA DIRECTED EA UNIT,$348.00,$348.00
Px00039010054,HC Cryoprecipitate each unit pooled,$351.00,$351.00
Px00039010055,HC RBC LEUKOREDUCED IRRADIATED,"$1,269.00","$1,269.00"
Px00036010212,HC OPERATING ROOM SERVICES LEVEL 1 PER MIN,$93.00,$93.00
Px00036010214,HC OPERATING ROOM SERVICES LEVEL 2 PER MIN,$98.00,$98.00
Px00036010216,HC OPERATING ROOM SERVICES LEVEL 3 PER MIN,$102.00,$102.00
Px00036010218,HC OPERATING ROOM SERVICES LEVEL 4 PER MIN,$112.00,$112.00
Px00036010220,HC OPERATING ROOM SERVICES LEVEL 5 PER MIN,$120.00,$120.00
Px00036010222,HC OPERATING ROOM SERVICES LEVEL 6 PER MIN,$135.00,$135.00
Px00036010224,HC OPERATING ROOM SERVICES LEVEL 7 PER MIN,$151.00,$151.00
Px00036010226,HC Operating Room Services Level 8 per min,$196.00,$196.00
Px00036110239,HC FINE NEEDLE ASPIRATION BX W/US GDN 1ST LESION,$661.00,$661.00
Px00036110240,HC FINE NEEDLE ASPIRATION BX W/O IMG GDN EA ADDL,$617.00,$617.00
Px00036110241,HC FINE NEEDLE ASPIRATION BX W/FLUOR GDN 1ST LESION,$661.00,$661.00
Px00036110242,HC FINE NEEDLE ASPIRATION BX W/US GDN EA ADDL,$331.00,$331.00
Px00036110243,HC FINE NEEDLE ASPIRATION BX W/FLUOR GDN EA ADDL,$331.00,$331.00
Px00036110244,HC FINE NEEDLE ASPIRATION BX W/CT GDN 1ST LESION,$661.00,$661.00
Px00036110245,HC FINE NEEDLE ASPIRATION BX W/CT GDN EA ADDL,$331.00,$331.00
Px00045010245,HC PERQ REPLACEMENT GTUBE NOT REQ REVJ GSTRST TRC,$442.00,$442.00
Px00045010246,HC PERQ REPLACEMENT GTUBE REQ REVJ GSTRST TRC,$442.00,$442.00
Px00061010279,HC MRI BREAST WITHOUT CONTRAST UNILATERAL,"$2,665.00","$2,665.00"
Px00061010280,HC MRI BREAST WITHOUT CONTRAST BILATERAL,"$2,665.00","$2,665.00"
Px00061010281,HC MRI BREAST W/OUT&WITH CONTRAST W/CAD UNILATERAL,"$2,665.00","$2,665.00"
Px00061010282,HC MRI BREAST WITHOUT&WITH CONTRAST W/CAD BILATERAL,"$2,665.00","$2,665.00"
Px00097511273,HC PR FINE NEEDLE ASPIRATION BX W/O IMG GDN EA ADDL,$481.00,$481.00
Px00097511282,HC PR TANGENTIAL BIOPSY SKIN SINGLE LESION,$390.00,$390.00
Px00097511283,HC PR TANGENTIAL BIOPSY SKIN EA SEP/ADDITIONAL LESION,$281.00,$281.00
Px00097511246,HC PR PERQ REPLACEMENT GTUBE NOT REQ REVJ GSTRST TRC,$649.00,$649.00
Px00097511247,HC PR PERQ REPLACEMENT GTUBE REQ REVJ GSTRST TRC,$649.00,$649.00
Px00098310202,HC PR PUNCH BIOPSY SKIN SINGLE LESION,$390.00,$390.00
Px00098310203,HC PR PUNCH BIOPSY SKIN EA SEP/ADDITIONAL LESION,$281.00,$281.00
Px00098310204,HC PR INCISIONAL BIOPSY SKIN SINGLE LESION,$694.00,$694.00
Px00098310454,HC PR INCISIONAL BIOPSY SKIN EA SEP/ADDITIONAL LESION,$500.00,$500.00
Px00098110904,DECLOT VASCULAR DEVICE,"$2,974.00","$2,974.00"
Px00030010194,HC Antinuclear antibodies (ANA) Titer - PAML,$40.00,$40.00
Px00030010368,HC Herpes simplex test - Antibody IGM,$307.00,$307.00
Px00030010421,HC CRP HIGH SENSITIVITY,$161.00,$161.00
Px00030010425,HC CARDIOLIPIN AB IGG (PANL),$418.00,$418.00
Px00030010429,HC BETA 2 GLYCOPROTEIN I ANTIBODY,$206.00,$206.00
Px00030010433,HC Complement/function activity - C1 esterase inhb,$130.00,$130.00
Px00030010438,HC CCP antibody,$189.00,$189.00
Px00030010443,HC CCP AB IGG,$175.00,$175.00
Px00030010447,HC DEOXYRIBONUCLEASE ANTIBODY,$290.00,$290.00
Px00030010452,HC Fluorescent antibody screen CYTOPLASMIC NEUTROPHILIC AB SCRN,$214.00,$214.00
Px00030010455,HC EBV AB VIRAL CAPSID AG IGM,$29.00,$29.00
Px00030010462,HC EBV AB VIRAL CAPSID AG IGG,$29.00,$29.00
Px00030010472,HC IMMUNOASSAY TUMOR OTHER - CHROMOGRANIN A,$174.00,$174.00
Px00030010473,HC FLUORESCENT ANTIBODY SCREEN - MITOCHONDRIAL,$150.00,$150.00
Px00030010475,HC Fluorescent antibody screen - Reticulin,$215.00,$215.00
Px00030010480,HC FLUORESCENT ANTIBODY SCREEN - SMOOTH MUSCLE,$221.00,$221.00
Px00030010485,HC FLUORESCENT ANTIBODY SCREEN - NONINFEC AGENT,$108.00,$108.00
Px00030010486,HC Fluorescent antibody screen - Noninfec AG,$268.00,$268.00
Px00030010492,HC IMMUNOASSAY TUMOR CA 15-3,$288.00,$288.00
Px00030010518,HC ENDOMYSIAL AB TITER IGA,$253.00,$253.00
Px00030010554,"HC IMMUNOASSAY TUMOR CA 15-3, 27-29",$348.00,$348.00
Px00030010558,HC IMMUNOASSAY TUMOR CA 19-9,$330.00,$330.00
Px00030010560,HC IMMUNOASSAY TUMOR CA 125,$401.00,$401.00
Px00030010562,HC HUMAN EPIDIDYMIS PROTEIN 4,$343.00,$343.00
Px00030010599,HC IMMUNOFIX E-PHORESIS SERUM,$435.00,$435.00
Px00030010605,HC IMMUNFIX E-PHORSIS/URINE/CSF,$431.00,$431.00
Px00030010617,HC INSULIN ANTIBODIES,$437.00,$437.00
Px00030010623,HC ISLET CELL ANTIBODY,$245.00,$245.00
Px00030010637,HC B CELLS TOTAL COUNT,$51.00,$51.00
Px00030010641,HC NK CELLS TOTAL COUNT,$51.00,$51.00
Px00030010648,HC T CELL ABSOLUTE COUNT/RATIO,$54.00,$54.00
Px00030010660,HC MICROSOMAL ANTIBODY -THROID PEROXIDASE,$222.00,$222.00
Px00030010661,HC MICROSOMAL ANTIBODY - LIVER/KIDNEY,$222.00,$222.00
Px00030010682,HC BORDETELLA ANTIBODY,$196.00,$196.00
Px00030010684,HC TB INTRADERMAL TEST,$72.00,$72.00
Px00030010686,HC ADENOVIRUS ANTIBODY,$296.00,$296.00
Px00030010731,HC LYME DISEASE ANTIBODY,$259.00,$259.00
Px00030010751,HC CMV ANTIBODY - TORCH,$274.00,$274.00
Px00030010753,HC CMV ANTIBODY,$214.00,$214.00
Px00030010756,HC CMV antibody CYTOMEGALOVIRUS AB IGG,$258.00,$258.00
Px00030010764,HC CMV antibody igm - Torch IGM,$358.00,$358.00
Px00030010765,HC CMV ANTIBODY IGM,$87.00,$87.00
Px00030010809,"HC EPSTEIN-BARR ANTIBODY, EARLY ANTIGEN",$75.00,$75.00
Px00030010814,"HC EPSTEIN-BARR ANTIBODY , NUCLEAR ANTIGEN",$38.00,$38.00
Px00030010822,HC EPSTEIN-BARR ANTIBODY - VIRAL CAPSID,$38.00,$38.00
Px00030010865,HC HTLV/HIV CONFIRMATORY TEST,$179.00,$179.00
Px00030010869,HC HTLV/HIV CONFIRMATORY TEST - HIV 2,$166.00,$166.00
Px00030010875,"HC HERPES SIMPLEX TEST, NON-SPECIFIC",$211.00,$211.00
Px00030010878,HC Herpes simplex test - Torch,$307.00,$307.00
Px00030010880,HC HERPES SIMPLEX TEST - NONSPEC,$307.00,$307.00
Px00030010889,HC HERPES SIMPLEX 1 TEST,$307.00,$307.00
Px00030010894,HC PARVOVIRUS ANTIBODY,$364.00,$364.00
Px00030010897,HC Herpes simplex test - 1 & 2 Pan - HSV Type 1,$307.00,$307.00
Px00030010903,HC HERPES SIMPLEX TYPE 2,$307.00,$307.00
Px00030010910,HC Herpes simplex type 2 -HSV 1&2 IGG-HSV TYPE 2,$254.00,$254.00
Px00030010911,HC Herpes simplex type 2 -HSV 1&2 PAN-HSV TYPE 2,$307.00,$307.00
Px00030010922,HC HIV-2,$365.00,$365.00
Px00030010926,HC HEP B CORE ANTIBODY IGM,$46.00,$46.00
Px00030010931,HC HEP A ANTIBODY IGM,$96.00,$96.00
Px00030010934,HC INFLUENZA VIRUS ANTIBODY,$159.00,$159.00
Px00030010936,HC LEGIONELLA ANTIBODY,$216.00,$216.00
Px00030010970,HC RUBEOLA ANTIBODY,$295.00,$295.00
Px00030010982,HC TOXOPLASMA ANTIBODY,$66.00,$66.00
Px00030010984,HC Toxoplasma antibody - Torch,$264.00,$264.00
Px00030010990,HC TOXOPLASMA ANTIBODY IGM,$305.00,$305.00
Px00030010996,HC TREPONEMA PALLIDUM,$114.00,$114.00
Px00030011004,HC VARICELLA-ZOSTER ANTIBODY - IGM,$261.00,$261.00
Px00030011006,HC VARICELLA-ZOSTER ANTIBODY,$339.00,$339.00
Px00030011019,HC Thyroglobulin antibody SCREEN,$236.00,$236.00
Px00030011023,HC ANTINUCLEAR ANTIBODIES,$277.00,$277.00
Px00030011031,HC Hla typing a b or c - HLB B27 BLD,$61.00,$61.00
Px00030011038,HC RBC antibody screen I indirect coombs,$163.00,$163.00
Px00030011040,HC RBC ANTIBODY SCREEN,$174.00,$174.00
Px00030011046,HC RBC ANTIBODY IDENTIFICATION,$180.00,$180.00
Px00030011070,HC DIRECT COOMBS,$152.00,$152.00
Px00030011083,"HC BLOOD TYPING, SEROLOGIC; ABO",$74.00,$74.00
Px00030011098,HC BLOOD TYPE ANTIGEN DONOR EA,$67.00,$67.00
Px00030011114,HC BLOOD TYPING RBC ANTIGENS,$112.00,$112.00
Px00030011123,HC COMPATIBILITY TEST ANTIGLOB,$329.00,$329.00
Px00030011141,HC SPECIMEN CONCENTRATION,$135.00,$135.00
Px00030011159,HC CULTR BACTERIA EXCEPT BLOOD,$274.00,$274.00
Px00030011161,HC CULTR BACTERIA EXCEPT BLOOD - ANAEROBIC,$258.00,$258.00
Px00030011168,HC MYCOPLASMA PNEUMO CULT,$276.00,$276.00
Px00030011169,HC CHLAMYDIA CULTURE,$214.00,$214.00
Px00030011172,HC MYCOBACTERIC IDENTIFICATION,$134.00,$134.00
Px00030011175,HC CULTURE TYPE IMMUNOFLUORESC,$83.00,$83.00
Px00030011197,HC MACROSCOPIC EXAM PARASITE,$97.00,$97.00
Px00030011200,HC OVA AND PARASITES SMEARS,$216.00,$216.00
Px00030011226,HC SMEAR FLUORESCENT/ACID STAI,$195.00,$195.00
Px00030011248,HC SMEAR SPECIAL STAIN - MALARIA SMEAR,$158.00,$158.00
Px00030011257,HC SMEAR COMPLEX STAIN-TRICHROME/OVA/PARA,$35.00,$35.00
Px00030011260,HC SMEAR WET MOUNT SALINE/INK - KOH EXAM,$123.00,$123.00
Px00030011261,HC WET MOUNT,$123.00,$123.00
Px00030011274,HC ASSAY TOXIN OR ANTITOXIN,$280.00,$280.00
Px00030011279,HC VIRUS INOCULATION TISSUE - HERPES CULTURE,$88.00,$88.00
Px00030011280,HC VIRUS INOCULATION TISSUE,$93.00,$93.00
Px00030011281,HC Virus inoculation tissue - Ilolation Tissure Culture Observation AN,$132.00,$132.00
Px00030011331,HC PNEUMOCYSTIS CARINII AG IF,$88.00,$88.00
Px00030011352,HC CRYPTOCOCCUS NEOFORM AG EIA,$194.00,$194.00
Px00030011355,HC CRYPTOSPORIDIUM AG EIA,$186.00,$186.00
Px00030011397,HC HEPATITIS BE ANTIGEN (HBEAG),$177.00,$177.00
Px00030011407,HC INFLUENZA A AND B ANTIGEN,$212.00,$212.00
Px00030011420,HC B.PARAPERT/B.PERTUSSIS PCR,$114.00,$114.00
Px00030011424,HC BILIRUBIN TOTAL TRANSCUTANEOUS,$62.00,$62.00
Px00030011426,HC BK VIRUS QUANT PCR,$280.00,$280.00
Px00030011428,HC BK VIRUS QUANT PCR URINE,$477.00,$477.00
Px00030011476,HC Complement antigen - C1Q,$130.00,$130.00
Px00030011488,HC Nuclear antigen antibody - ENA,$195.00,$195.00
Px00030011501,HC Immunoassay infectious agent - Diptheria,$96.00,$96.00
Px00030011518,HC Bartonella DNA amplified probe,$243.00,$243.00
Px00030011519,HC BODY FLUID CELL COUNT,$62.00,$62.00
Px00030011520,HC BODY FLUID CELL COUNT W/ DIFFERENTIAL,$71.00,$71.00
Px00030011527,"HC Body fluid cell count, CSF",$57.00,$57.00
Px00030011530,HC BORDETELLA PERTUSSIS PCR,$342.00,$342.00
Px00030011538,HC CAMPYLOBACTER AG,$43.00,$43.00
Px00030011540,HC CANDIDA DNA DIRECT PROBE,$41.00,$41.00
Px00030011570,HC Chlamydia pneum DNA amplified probe,$122.00,$122.00
Px00030011572,HC Chlamydia trachomatis PCR,$336.00,$336.00
Px00030011574,"HC CHLAMYDIA TRACHOMATIS, AMPLIFIED PROBE",$336.00,$336.00
Px00030011582,HC CMV QUANTITATION,$576.00,$576.00
Px00030011585,HC CRYSTAL EXAM,$169.00,$169.00
Px00030011594,HC CYTOPATH CERV/VAG IN FLUID; AUTO PREP MANUAL REDO,$133.00,$133.00
Px00030011595,HC DERMAL HERPES SIMPLEX BY PCR,$237.00,$237.00
Px00030011596,HC DERMAL VARICELLA PCR QUALITATIVE,$237.00,$237.00
Px00030011613,HC EPSTEIN BARR VIRUS QUANT PCR,$382.00,$382.00
Px00030011616,HC FAT FECAL QUALITATIVE,$64.00,$64.00
Px00030011621,HC FLOW CYTOMETRY ADD MARKER,$470.00,$470.00
Px00030011626,HC FLOW CYTOMETRY FIRST MARKER,$579.00,$579.00
Px00030011637,HC GARDNER VAG DNA DIRECT PROBE,$41.00,$41.00
Px00030011646,HC HEPATITIS B SURFACE ANTIGEN,$46.00,$46.00
Px00030011649,HC HEPATITIS C AMPLIFIED PROBE,$371.00,$371.00
Px00030011693,HC INFECTIOUS AGENT DETECTION; AMPLIFIED PROBE,$122.00,$122.00
Px00030011697,HC INFLUENZA SCREEN,$212.00,$212.00
Px00030011698,HC INHIBIN A,$364.00,$364.00
Px00030011703,HC LEGIONELLA ANTIGEN URINE,$138.00,$138.00
Px00030011710,HC M.pneumon DNA amplified probe,$122.00,$122.00
Px00030011718,HC METABOLIC SCRN NEWBORN,$287.00,$287.00
Px00030011724,HC MYCOBACTERIA TB DNA AMPLIFIED PROBE,$576.00,$576.00
Px00030011741,HC RAPID STREP SCREEN,$110.00,$110.00
Px00030011742,HC RBC ANTIBODY ELUTION,$337.00,$337.00
Px00030011748,HC RSV ANTIGEN,$76.00,$76.00
Px00030011749,HC RSV ANTIGEN DETECTION,$324.00,$324.00
Px00030011750,"HC SEMEN ANALYSIS, COMPLETE",$300.00,$300.00
Px00030011752,"HC SEMEN ANALYSIS, SPERM DETECTION AND MOTILITY",$144.00,$144.00
Px00030011759,HC Strep B DNA amplified probe,$188.00,$188.00
Px00030011764,HC STREPTOCOCCUS PNEUMONIAE AG URINE,$145.00,$145.00
Px00030011767,HC TISSUE CULTURE LYMPHOCYTE; FISH CULTURE,"$1,197.00","$1,197.00"
Px00030011799,HC TRICHOMONAS VAG DNA PROBE(PANL),$41.00,$41.00
Px00030011856,HC HLA-B27,$286.00,$286.00
Px00030011859,HC HEP A ANTIBODY IGM AB,$46.00,$46.00
Px00030011868,HC T CELLS TOTAL COUNT,$51.00,$51.00
Px00030011916,HC Hepatitis C quantitative PCR by RT,$285.00,$285.00
Px00030011927,HC Semen analysis using strict morphologic criteria,$467.00,$467.00
Px00030013001,HC URINE PREGNANCY TEST,$79.00,$79.00
Px00030013008,HC OCCULT BLD FECES 1-3 TESTS,$40.00,$40.00
Px00030013009,HC URINALYSIS NONAUTO W/O SCOPE,$60.00,$60.00
Px00030013010,HC VITAMIN D 25 HYDROXY,$54.00,$54.00
Px00030013017,HC URINALYSIS VOLUME MEASURE,$56.00,$56.00
Px00030013018,HC ASSAY OF ACTH,$506.00,$506.00
Px00030013019,HC ASSAY OF ALDOLASE,$155.00,$155.00
Px00030013020,HC GLUCOSE BLOOD TEST,$86.00,$86.00
Px00030013022,HC THIAMINE VITAMIN B 1,$313.00,$313.00
Px00030013048,HC HEMOGLOBIN ELECTROPHORESIS,$278.00,$278.00
Px00030013065,HC QUANTITATIVE ASSAY DRUG TRICYCLICS,$20.00,$20.00
Px00030013086,HC PROCALCITONIN,$103.00,$103.00
Px00030013090,HC PROTEIN TOTAL OTHER SOURCE,$150.00,$150.00
Px00030013099,HC H PYLORI (C-13) BREATH,$477.00,$477.00
Px00030013109,HC PREGNENOLONE,$240.00,$240.00
Px00030013126,HC LEAD,$199.00,$199.00
Px00030013226,HC STONE (CALCULI) ANALYSIS (ARUP),$274.00,$274.00
Px00030013239,HC VITAMIN E (ARUP),$197.00,$197.00
Px00030013640,HC ZDHEA-SULFATE(ARUP),$409.00,$409.00
Px00030013774,HC Calprotectin fecal,$497.00,$497.00
Px00030013776,HC TSH RECEPTOR ANTIBODY,$480.00,$480.00
Px00030013780,HC INSULIN FREE,$317.00,$317.00
Px00030013783,HC Placental alpha microglobulin 1 qualitative,$124.00,$124.00
Px00030013811,HC 17-HYDROXYPROGESTERONE,$410.00,$410.00
Px00030013847,HC CALCIUM SERUM,$167.00,$167.00
Px00030013881,HC FERRITIN,$411.00,$411.00
Px00030013895,HC IMMUNOGLOBULIN D,$176.00,$176.00
Px00030013912,HC LIPASE,$205.00,$205.00
Px00030013920,HC MS-ALBUMIN OTHER SOURCE,$95.00,$95.00
Px00030013978,HC SODIUM,$110.00,$110.00
Px00030014006,HC 17-OH PREGNENOLONE PEDS,$271.00,$271.00
Px00030014007,HC 17-OH PROGESTERONE PEDS,$488.00,$488.00
Px00030014009,HC 5-HIAA QUANT URINE,$242.00,$242.00
Px00030014048,HC 85613 DRVVT,$218.00,$218.00
Px00030014052,HC A1 ANTITRYPSIN (TOTAL),$246.00,$246.00
Px00030014053,HC A1 ANTRITRYP PHENOTYPE,$248.00,$248.00
Px00030014057,HC ABG - CORD BLOOD / ANALYSIS,$442.00,$442.00
Px00030014088,HC ACH RECEPTOR BINDING ANTIBODY,$275.00,$275.00
Px00030014112,HC AFP MATERNAL SERUM,$442.00,$442.00
Px00030014113,HC AFP TUMOR MARKER,$219.00,$219.00
Px00030014129,HC ALDOSTERONE BLD,$137.00,$137.00
Px00030014132,HC ALDOSTERONE URINE QUANT,$137.00,$137.00
Px00030014134,HC ALK PHOS HEAT STABLE,$148.00,$148.00
Px00030014135,HC ALK PHOS TOTAL,$152.00,$152.00
Px00030014138,HC ALKALINE PHOS,$152.00,$152.00
Px00030014151,HC ALPHA1-ANTITRYPSIN,$245.00,$245.00
Px00030014168,HC AMINO ACIDS BLOOD QUANT,$779.00,$779.00
Px00030014228,"HC AMYLASE, URINE",$200.00,$200.00
Px00030014233,HC ANCA-IMMUNO NONINFECT AGENT,$145.00,$145.00
Px00030014234,HC ANCA-MYELOPEROXIDASE,$431.00,$431.00
Px00030014235,HC ANDROSTENEDIONE PEDS,$249.00,$249.00
Px00030014236,HC ANGIO ENZYME.,$270.00,$270.00
Px00030014291,HC ARSENIC QUANT URINE,$281.00,$281.00
Px00030014358,HC ASSAY TRANSFERRIN,$137.00,$137.00
Px00030014367,HC B2 MIC BLOOD,$283.00,$283.00
Px00030014404,HC BETA HCG TUMOR MARKER,$249.00,$249.00
Px00030014414,HC BILES ACIDS TOTAL,$196.00,$196.00
Px00030014434,HC BIO INTACT PARATHYROID HORMONE,$739.00,$739.00
Px00030014447,HC BLOOD COUNT,$171.00,$171.00
Px00030014448,HC BLOOD COUNT LEUKOCYTE (WBC) AUTOMATED,$60.00,$60.00
Px00030014449,HC BLOOD GAS,$474.00,$474.00
Px00030014459,HC BUN,$106.00,$106.00
Px00030014461,HC C 1 ESTERASE TOTAL COMPLEMENT,$145.00,$145.00
Px00030014462,HC C PEPTIDE,$318.00,$318.00
Px00030014480,HC CALCITONIN BLD,$596.00,$596.00
Px00030014481,HC CALCIUM IONIZED,$145.00,$145.00
Px00030014484,HC CALCIUM QUANT URINE,$104.00,$104.00
Px00030014496,HC CARBOXYHEMOGLOBIN QUANTITATIVE,$583.00,$583.00
Px00030014497,HC CARNITINE FREE AND TOTAL,$345.00,$345.00
Px00030014514,HC CBC WITH DIFF AUTO,$218.00,$218.00
Px00030014520,HC CEA-CARCINOEMBRYONIC ANTIGEN,$245.00,$245.00
Px00030014521,HC CELIAC - SERUM IGA,$274.00,$274.00
Px00030014527,HC CERULOPLASMIN.,$231.00,$231.00
Px00030014538,HC CHEMILUMINESCENT ASSAY,$335.00,$335.00
