"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00047010003,HC PURE TONE AUDIOMETRY AIR,$361.00,$361.00
Px00047110020,HC COMPREHENSIVE HEARING TEST,$364.00,$364.00
Px00045010685,HC EXPLORE/REPAIR CHEST,"$5,766.00","$5,766.00"
Px00042010050,HC TEAM CONF W/O PAT BY HC PRO,$331.00,$331.00
Px00098311294,HC PR REPAIR OF ANKLE LIGAMENTS,"$5,453.00","$5,453.00"
Px00051010067,HC Team conf w/pat by hc pro,$315.00,$315.00
Px00076110006,HC ESTAB PT VISIT - LEVEL 1,$186.00,$186.00
Px00076110021,HC ESTAB PT VISIT - LEVEL 5,$543.00,$543.00
Px00076110039,HC ESTAB PT VISIT - LEVEL 2,$249.00,$249.00
Px00076110040,HC ESTAB PT VISIT - LEVEL 3,$326.00,$326.00
Px00076110041,HC ESTAB PT VISIT - LEVEL 4,$460.00,$460.00
Px00096910104,NURSING FAC CARE SUBSEQ LEVEL 1,$336.00,$336.00
Px00096910105,NURSING FAC CARE SUBSEQ LEVEL 2,$222.00,$222.00
Px00096910106,NURSING FAC CARE SUBSEQLEVEL 3,$320.00,$320.00
Px00096910107,NURSING FAC CARE SUBSEQ LEVEL 4,$436.00,$436.00
Px00096910111,DOMICIL/R-HOME VISIT NEW PAT LEVEL 1,$264.00,$264.00
Px00096910112,DOMICIL/R-HOME VISIT NEW PAT LEVEL 2,$331.00,$331.00
Px00096910113,DOMICIL/R-HOME VISIT NEW PAT LEVEL 3,$432.00,$432.00
Px00096910114,DOMICIL/R-HOME VISIT EST PAT LEVEL 1,$207.00,$207.00
Px00096910115,DOMICIL/R-HOME VISIT EST PAT LEVEL 2,$264.00,$264.00
Px00096910116,DOMICIL/R-HOME VISIT EST PAT LEVEL 3,$383.00,$383.00
Px00096910117,HOME VISIT NEW PATIENT LEVEL 1,$264.00,$264.00
Px00096910118,HOME VISIT NEW PATIENT LEVEL 2,$331.00,$331.00
Px00096910119,HOME VISIT NEW PATIENT LEVEL 3,$432.00,$432.00
Px00096910120,HOME VISIT NEW PATIENT LEVEL 4,$609.00,$609.00
Px00096910121,HOME VISIT NEW PATIENT LEVEL 5,$823.00,$823.00
Px00096910122,HOME VISIT EST PATIENT LEVEL 1,$207.00,$207.00
Px00096910123,HOME VISIT EST PATIENT LEVEL 2,$264.00,$264.00
Px00096910124,HOME VISIT EST PATIENT LEVEL 3,$383.00,$383.00
Px00096910125,HOME VISIT EST PATIENT LEVEL 4,$612.00,$612.00
Px00096910126,PROLONGED SERVICE OFFICE FIRST HOUR,$626.00,$626.00
Px00096910127,PROLONGED SERVICE OFFICE EA ADD 30MIN,$375.00,$375.00
Px00096910128,PROLONGED SERVICE INPATIENT FIRST HOUR,$872.00,$872.00
Px00096910129,PROLONGED SERVICE INPATIENT EA ADD 30MIN,$436.00,$436.00
Px00096910152,PREV VISIT NEW AGE 12-17,$343.00,$343.00
Px00096910154,PREV VISIT NEW AGE 18-39,$464.00,$464.00
Px00096910156,PREV VISIT NEW AGE 40-64,$507.00,$507.00
Px00096910158,INIT PM E/M NEW PAT 65+ YRS,$571.00,$571.00
Px00096910167,PREV VISIT EST AGE 12-17,$286.00,$286.00
Px00096910170,PREV VISIT EST AGE 18-39,$386.00,$386.00
Px00096910172,PREV VISIT EST AGE 40-64,$421.00,$421.00
Px00096910174,PER PM REEVAL EST PAT 65+ YR,$479.00,$479.00
Px00098310001,HC PR 99201 NEW PT VISIT - LEVEL 1,$324.00,$324.00
Px00098310002,NEW PT VISIT - LEVEL 2,$392.00,$392.00
Px00098310003,HC PR 99203 NEW PT VISIT - LEVEL 3,$543.00,$543.00
Px00098310004,NEW PT VISIT - LEVEL 4,$737.00,$737.00
Px00098310005,NEW PT VISIT - LEVEL 5,$788.00,$788.00
Px00098310006,ESTAB PT VISIT - LEVEL 1,$181.00,$181.00
Px00098310007,ESTAB PT VISIT - LEVEL 2,$264.00,$264.00
Px00098310008,ESTAB PT VISIT - LEVEL 3,$342.00,$342.00
Px00098310009,HC PR 99214 ESTAB PT VISIT - LEVEL 4,$483.00,$483.00
Px00098310010,ESTAB PT VISIT - LEVEL 5,$570.00,$570.00
Px00098710001,OBSERVATION CARE DISCHARGE,$311.00,$311.00
Px00098710005,INITIAL HOSPITAL CARE LEVEL 1,$485.00,$485.00
Px00098710006,INITIAL HOSPITAL CARE LEVEL 2,$652.00,$652.00
Px00098710007,INITIAL HOSPITAL CARE LEVEL 3,$799.00,$799.00
Px00098710011,SUBSEQUENT HOSPITAL CARE LEVEL 1,$336.00,$336.00
Px00098710012,SUBSEQUENT HOSPITAL CARE LEVEL 2,$457.00,$457.00
