Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
2507894,D10W 1000Ml, $41.35 
2507895,Tranexamic Acid 650Mg Tab, $-   
2507896,Iodine Tincture Mild 2%, $-   
2507897,Povidine Sol 10% 4Oz, $-   
2507898,Povidine Sol 7.5% 4Oz, $-   
2507899,Breo Ellipta 100/25 Inh, $-   
2507900,Breo Ellipta 200/25 Inh, $-   
2507902,Latuda 80Mg Tab (Stat), $-   
2507903,Latuda 12Mg Tab (Stat), $-   
2507904,Sumatriptan Nasal Spray, $-   
2507905,Febuxostat 40Mg Tab, $-   
2507906,Fecal Microbiota Capsule, $-   
2507907,Fecal Microbiota (Fmt) 50 Ml (Stat), $-   
2507908,Fecal Microbiota (Fmt) 250 Ml (Stat), $-   
2507909,Calmoseptine 2.5Oz Oint (Stat), $-   
2507910,Dolutegravir 25Mg Tab (Stat), $-   
2507911,"Delflex 2.5% 5,000 Ml (Stat)", $-   
2507912,Delflex 2.5% 2500Ml, $-   
2507913,E-Z Disk Grain Tablet (Stat), $-   
2507914,E-Z Gas Granules (Stat), $-   
2507915,E-Z Paque 60% 12 Oz (Stat), $-   
2507916,High Density Barium 12 Oz (Stat), $-   
2507917,Polibar Plus 1900Ml (Stat), $-   
2507918,Smoothie 450Ml Assorted (Stat), $-   
2507919,Varibar Honey 250Ml (Stat), $-   
2507920,Varibar Nectar 240Ml (Stat), $-   
2507921,Varibar Pudding 230Ml (Stat), $-   
2507922,Varibar Thin Liquid (Stat), $-   
2507923,Nebivolol 10MG Tab, $-   
2507924,Nebivolol 5MG Tab, $-   
2507925,Saquinavir (As Mesylate) 200 Mg Cap (Stat), $-   
2507927,Sertraline 20 Mg/Ml Oral Conc 60 Ml (Stat), $-   
2507929,Acid Mantle Cream 228 G (Stat), $-   
2507931,Camphor-Phenol 10.8%-4.7% Topical Gel 6.9 G (Stat), $-   
2507932,Sodium Chloride 0.65% Nasal Gel 14.1 G (Stat), $-   
2507933,Tolnaftate 1% Topical Powder 45 G (Stat), $-   
2507935,Balanced Salt Soln Plus Eye Solution  500 Ml (Stat), $-   
2507938,Amiloride-Hydrochlorothiazide 5 Mg-50 Mg Tab (Stat), $-   
2507940,Febuxostat 40 Mg Tab (Stat), $-   
2507941,Ethinyl Estradiol-Norgestrel 50 Mcg-0.5 Mg Tab (Stat), $-   
2507943,Terbinafine 250 Mg Tab (Stat), $-   
2507945,Boudreaux Butt Paste 40%, $-   
2507946,Azathioprine 50Mg/ML Susp, $9.70 
2507947,Sensipar 30Mg OP Dialysis, $0.97 
2507948,Sensipar 60Mg OP Dialysis, $0.97 
2507949,Sensipar 90Mg OP Dialysis, $0.97 
2507950,Levothyroxine 137Mcg Tab, $-   
2507951,Levothyroxine 175Mcg Tab, $-   
2507952,Acetaminophen 160 mg/5 mL Oral Liquid 5 mL (Stat), $-   
2507953,Aluminum Hydroxide-Mag HydroX 200mg/5mL 30 mL (Stat), $-   
2507954,Eye Wash Ophth Soln 120 mL (Stat), $-   
2507955,Lidocaine-Prilocaine 2.5%-2.5% Cream 30 g (Stat), $-   
2507956,Povidone Iodine 10% Topical Soln 15 mL (Stat), $-   
2507957,Suboxone 8MG-2MG Tab, $48.65 
2507958,Suboxone 2Mg-0.5Mg Tab, $32.90 
2507959,Benzoin Topical Compound Tin (Stat), $-   
2507960,Glucose 40% Oral Gel 31 G (Stat), $-   
2507961,Meloxicam 15 Mg Tab (Stat), $-   
2507962,Meloxicam 7.5 Mg Tab (Stat), $-   
2507963,Phenol Topical Liq 100 Ml (Stat), $-   
2507964,Malathion 0.5% Lotion (Stat), $-   
2507965,Improvue Oph Gtt (Stat), $-   
2507966,Abacavir/Dolutegravir/Lamivudine 600Mg-50Mg-300Mg (Stat), $-   
2507967,Abacavir-Lamivudine 600 Mg-300 Mg Tab (Stat), $-   
2507968,Asenapine 2.5Mg Sl Tab (Stat), $-   
2507969,Cilostazol 100 Mg Tab Ud (Stat), $-   
2507970,Cobicistat-Darunavir 150 Mg-800 Mg Tab (Stat), $-   
2507971,Desvenlafaxine 100 Mg Tab (Stat), $-   
2507972,Efavirenz/Emtricitabine/Tenofovir 600Mg-200Mg-300Mg (Stat), $-   
2507973,Emtricitabine-Tenofovir 200 Mg-25 Mg Tab (Stat), $-   
2507974,Griseofulvin Microcrystalline 500 Mg Tab (Stat), $-   
2507975,Hydrocort/Neomycin/Polymyxin B Top0.5%-0.35%-10000UN/G(Stat), $-   
2507976,Loxapine 10 Mg Cap Ud (Stat), $-   
2507977,Stribild 150 Mg-150 Mg-200 Mg-300 Mg Tab (Stat), $-   
2507978,Ticagrelor 60 Mg Tab (Stat), $-   
2507979,Delflex 4.25% 5000 ML, $-   
2507980,Pre-Mix Product (Stat), $-   
2507981,Sod Chlor 0.9% Aviv 100ml (Stat), $-   
2507982,Neosporin Oint 0.9 G (Stat), $-   
2507983,Sodium Chloride 0.9% 25mL (Stat), $-   
2507984,Entresto 24 mg-26 mg tab (Stat), $-   
2507985,Entresto 49 mg-51 mg tab (Stat), $-   
2507986,Entresto 97 mg-103 mg tab (Stat), $-   
2509999,Synagis 50 Mg Inj (Stat), $-   
2550302,Nm I131 Ea Addl 5Mci, $232.50 
2554533,Contrst Isovu 300-399 1Ml, $1.35 
2554687,Fdg Per Dose/Pet Scan, $660.58 
2554692,Inpt Stay Radiolabel Item, $1.00 
2554693,Pet Naf18 Bone Per Dose, $630.75 
2556989,Contrst Visi 300-399 1Ml, $2.41 
2580517,Lmd 10% D5W 500Cc (Stat), $-   
2580521,D5W 500Ml (Stat), $-   
2580525,D5W 250Ml (Stat), $-   
2580747,Iv 5% Dex & 0.2% Sod Chl( (Stat), $-   
2580751,Iv 5% Dextrose Inj 500Ml (Stat), $-   
2580752,Iv 5% Dex Inj Usp 1000Ml (Stat), $-   
2580759,Iv Lactated Ringers & 5% (Stat), $-   
2580764,Iv 5% Dex & 0.9% Sod Chl (Stat), $-   
2580766,Dextrose 5%-Normal Saline (Stat), $-   
2580767,Iv 5% Dex&0.45% Sod Chl (Stat), $-   
2580768,Iv 5% Dex & 0.45% Sod Chl (Stat), $-   
2580776,Iv Lactated Ringers Inj (Stat), $-   
2580778,Iv Lac Ringer'S Inj 500Ml (Stat), $-   
2580794,IV Plasma-Lyte 56 & 5% DE, $-   
2580797,Iv Plasma-Lyte A Inj Ph 7 (Stat), $-   
2580805,Iv 0.9% Sodium Chloride I (Stat), $-   
2580808,Iv 0.9% Sod Chl Inj (Ns/5 (Stat), $-   
2580809,Iv 0.9% Sod Chl Inj Usp (Stat), $-   
2580811,Iv 0.45% Sod Chl Inj (Ns (Stat), $-   
2581008,Iv Sod Chl Irrig 3000 (Stat), $-   
2581763,Normal Saline 250 Ml (Stat), $-   
2581764,Normal Saline 1000Ml (Stat), $-   
2581877,Normal Saline 100Cc Bag (Stat), $-   
2582137,Ns 50Ml Bag (Stat), $-   
2582138,D5W 50Ml Bag (Stat), $-   
2582266,Ns 0.9% Pf 10 Ml Inj (Stat), $-   
2584208,Iv Ster Water Tpn 1000Ml (Stat), $-   
2584210,Fat Emulsion Bag 20%100Ml (Stat), $-   
2584211,Acd Sol Form A 1000 Ml (Stat), $-   
2584212,D51/4Ns 500Ml, $-   
2584213,D5W 100Cc Inject. Bag, $-   
2584214,Iv 10Pc Dextrose 500/1000, $-   
2584215,Ns 100Ml Bag Addvantage, $-   
2584216,Ns 50Ml Bag Addvantage, $-   
2584217,Ns 250Ml Bag Addvantage, $-   
2584218,D5W 250Ml Bag Addvantage, $-   
2584219,Iv Sod Chl 3% 500Ml, $-   
2584220,Diow 250Ml (Stat), $-   
2584221,Dex 10% 1/4Ns 250Ml, $-   
2584222,Ns 50Ml Vial Mate, $-   
2584223,Ns .45Prc 100 Ml, $-   
2584224,Dext 5% 250Ml (Aviva), $-   
2584225,Ns 0.9% 500Ml (Aviva), $-   
2584226,Ns 0.9% 250Ml Iv, $-   
2584227,Dext 5% 500Ml (Aviva), $-   
2584228,D5W 1000Ml (Aviva) Bag, $13.25 
2584229,NS 1000 ML Irrigation, $-   
2590001,Remove Patch (Stat), $-   
2590002,Amikacin Hold (Stat), $-   
2590003,Gentamicin Hold (Stat), $-   
2590004,Iccu Insulin Protocol (Stat), $-   
2590006,Tobramycin Hold (Stat), $-   
2590007,Vancomycin Hold (Stat), $-   
2590008,Iccu Hypotension Protocol (Stat), $-   
2590009,Iccu Oliguria Protocol (Stat), $-   
2590010,Nitroglycer Remove Patch (Stat), $-   
2590011,Lidoderm Remove Patch (Stat), $-   
2590012,Clonidine Remove Patch (Stat), $-   
2590013,Fentanyl Remove Patch (Stat), $-   
2590014,Estradiol Remove Patch (Stat), $-   
2590015,Nicotine Remove Patch (Stat), $-   
2590016,Scopalamine Remove Patch (Stat), $-   
2590017,Nitroglycer Paste Removal (Stat), $-   
2590019,Testosterone Remove Patch (Stat), $-   
2590020,Hepatitis B Vaccine- Esrd, $279.00 
2590773,Rabies Ibg 10Ml Inj," $2,083.85 "
2590775,Hepatitis B Ig 4Ml Inj, $854.20 
2590777,Tetanus Igb 250U Inj," $2,107.10 "
2590997,Meruvax Ii Vaccine 1Ml, $135.30 
2591258,Pneumovax Vacc 5 Dose, $483.85 
2592025,Rabies Vaccine," $1,826.35 "
2592262,Engerix B 10Mcg, $113.00 
2592263,Mmr 0.5Ml, $361.50 
2600008,Infusion Therapy 1St Hr, $477.25 
2600009,Infusion Thrpy Ea Addl Hr, $173.50 
2600016,Procainamide Challeng 1Hr, $477.25 
2600017,Procainamide Chlng Ea Hr, $173.50 
2703562,Cath Peritoneal Curl 60Cm, $545.00 
2703564,Graft Vascular (B)," $2,634.25 "
2703606,Graft Vascular Bifurcated," $3,931.00 "
2703626,Cath Hickman Dual Lumen 1, $979.50 
2703627,Cath Hickman Dual Lumen 9, $907.50 
2703955,Graft 28Mm Woven Vascular," $3,643.00 "
2703956,Graft 30Mm Woven Vascular," $3,536.50 "
2704038,Zebra Exchange Guidewire, $692.50 
2704040,Glide Wire - Straight 5/B, $720.75 
2704088,Blake Drain 19Mm, $711.50 
2704089,Blake Drain 10Mm, $873.25 
2704097,Groshong Single Lumen 8 F," $4,375.25 "
2704179,Rc Quick Anchor," $4,003.00 "
2704191,Pin Resorbable," $1,251.75 "
2704248,Mesh Marlix Bard 3X6," $2,445.25 "
2704636,Guidewire 0.0035X60-90Cm, $359.25 
2704652,Tray Hemo Cath 20Cm," $2,635.75 "
2704653,Set Hemo Cath 24Cm," $2,145.50 "
2704654,Set Hemo Cath 20Cm," $2,145.50 "
2706000,Syringe With Or W/O Ndl E, $12.25 
2706009,Ep/Cath Intra Card Echo," $9,089.50 "
2706010,Ep/Acath Diab/Abl Non 3D," $3,635.75 "
2706011,Ep/Acath Diag/Abl 3D/Vect," $9,998.75 "
2706012,Ep/Dcath 19 Or Few Elect," $2,666.25 "
2706013,Ep/Dcath 20 Or More Elec," $5,999.50 "
2706014,Ep/Introducer Fix Curve," $1,065.00 "
2706026,Lap Gastric Band," $12,472.50 "
2706031,Guidewire Ffr Pressure," $2,718.25 "
2706033,Pi/Cto Cross Device," $4,856.75 "
2706034,Catheter System Cto," $3,501.75 "
2706035,Nonchargeable Supply Item (Stat), $-   
2708061,Cath Perm 14Fr Ash 28Cm," $6,636.25 "
2708063,Cath Perm 14Fr Ash 36Cm," $6,126.50 "
2720273,Cath Foley Coude 16/5Cc, $268.00 
2720280,Cath Foley Coude 20/5Cc, $265.75 
2720291,Cath Coude Urin Drain, $287.50 
2720310,Cath Silicone 08Fr 3Cc Ar, $196.75 
2720430,Cath Coude 12Fr, $105.00 
2720431,Cath Coude 14Fr, $8.50 
2720449,Drain T Tube, $424.00 
2720493,Cath Self Cath Female 14F, $8.00 
2720977,Set - Cath Multi Lumen, $781.00 
2721251,Drain Shirley Wound, $230.75 
2722081,Cath Foley Coude 18/5Cc, $270.75 
2722251,Permcath," $2,228.25 "
2722704,Drain Saratoga Sump, $265.25 
2722707,J-Guidewire (.038 Od), $257.50 
2723117,Guidewire, $492.50 
2723314,Cath Suprapubic W/Balloon," $1,706.25 "
2723881,Wire Guide Duoflex .025, $219.75 
2724641,Device Burr," $4,880.25 "
2724643,Device Advancer," $1,363.00 "
2724841,Kit Pleurx Cath," $2,418.00 "
2727074,Visipaque 320 150Ml," $2,022.30 "
2727079,Visipaque 320 50Ml, $809.19 
2727080,Catheter Ivus/Pci," $3,489.75 "
2727084,Catheter Balloon Venogra, $749.75 
2727087,Pacer/Guide Wire, $450.00 
2727088,Pacer/Introducer, $450.00 
2727089,Pacer/Guide Catheter, $450.00 
2727107,Device Distl Protect," $6,441.50 "
2727117,Cath Embolectomy, $303.00 
2727122,Cath Ureteral, $116.75 
2727165,Cath Hickman Single Lumen," $1,213.00 "
2727175,Cath Balloon Dilitation," $1,594.25 "
2727178,Glide Wire, $290.75 
2727179,Guide Wire, $135.50 
2727183,Cath Ureteral Dual Lumen, $429.25 
2727206,Fixator External Ankle," $14,806.00 "
2727207,Oil Retinal," $2,147.25 "
2727242,Kit Carticel Essentials, $783.75 
2727253,Cath Mammosite," $9,815.00 "
2727263,Drain Triple Lumen, $420.50 
2727277,Cath High Vol Picc," $1,117.75 "
2727278,Pvi-Centrl Vein Cath Othe," $1,003.25 "
2727279,Pvi-Cath Short Term Hemo, $658.25 
2727280,Pvi - Arthrectomy Device," $10,518.00 "
2727281,Pvi/Angioplasty Balloon," $1,881.75 "
2727282,Pvi/Cutting Balloons," $4,490.50 "
2727283,Pvi/Cryo Balloons," $4,013.75 "
2727284,Ir/Drainage Cath Standard, $628.50 
2727285,Ir/Drainage Cath Special," $1,511.75 "
2727286,Pvi/Angiojet Catheters," $4,120.75 "
2727287,Ir/Ureteral Stent," $1,034.50 "
2727288,Pa/Vascular Sealant Devic," $1,662.00 "
2727289,Pa/ Guidewires (Standard), $225.50 
2727290,Pa/ Guidewires (Specialty, $783.75 
2727291,Pvi/Infusion Wires," $1,129.25 "
2727292,Pvi/Snare/Retrieval Set," $1,724.75 "
2727293,Pvi - Infusion Catheter, $871.75 
2727294,Pa/Catheters(Specialty), $677.25 
2727295,Pvi/Micro Catheter," $2,132.50 "
2727296,Pa/Sheaths (Standard), $188.25 
2727297,Pa/Sheaths (Specialty), $677.25 
2727298,Pvi/Occlusion Balloon," $1,505.25 "
2727301,Pa/Micropuncture Kits, $252.00 
2727308,Morcellator," $2,633.50 "
2727312,Pvi/Lysis Infus Cath," $6,470.50 "
2727320,Wire Control Cath," $3,247.50 "
2727322,Pvi/Infusion Balloon," $2,353.25 "
2727323,Pvi/Peri Arthrect Cath," $10,270.00 "
2727326,Flowable Matrix Per Syrng," $6,913.25 "
2727332,Cath Guide Liner," $2,019.00 "
2727338,Thrombect/Embolectmy Cath," $2,075.00 "
2727339,Introducer/Gastro Tube," $3,197.25 "
2727340,Pvi-Crosser Cath Arthrect," $5,328.75 "
2727341,Drug Coated Balloon," $3,024.75 "
2727342,"Catheter, Ablation"," $2,283.75 "
2728006,Pta/Aaa Stent Sheath, $752.50 
2740854,Immoblizer - Knee Medium, $536.50 
2740855,Immoblizer - Knee Large, $557.25 
2742207,Immobilizer - Shoulder La, $478.25 
2743796,Valve Aortic Conduit Grft," $11,165.00 "
2747119,So Pf Fig 8 Restr, $107.25 
2747124,So Cap Design Wo Jnts Cf," $1,186.25 "
2747131,Eo Wo Joints Cf, $380.25 
2747132,Eo Pf Elas W Metal Jnts, $187.75 
2747133,Eo Cf Free Mtn Dbl Upr," $1,183.00 "
2747134,Eo Cf Dbl Upr Flex Asst," $1,629.75 "
2747135,Eo Cf Dbl Upr Adj Pos Lk," $1,932.25 "
2747136,Eo Pf W Adj Pos Lk Jnts, $658.25 
2747137,Eo Pf Rigid Wo Jnts, $141.50 
2747138,Ewho Rigid W/O Jnts Cf," $1,688.25 "
2747139,Ewho W/Jnts Cf," $1,787.50 "
2747140,Ewhfo Rigid Wo Jnts Cf," $1,688.25 "
2747141,Ewhfo W/Joint(S) Cf," $1,787.50 "
2747142,Whfo Cf Short Opps, $361.75 
2747143,Whfo Cf Long Opps, $565.50 
2747144,Whfo W/Joint(S) Cf, $598.25 
2747145,Pf Whfo Wo Jnts, $329.75 
2747146,Whfo Rigid W/O Jnts Cf, $371.75 
2747159,Whfo Flex Hinge Cbl Cf," $2,644.50 "
2747160,Whfo Ext Power Elec Cf," $5,295.00 "
2747161,Who W Nontor Jnts Cf," $1,305.50 "
2747162,Who W/O Joints Cf, $714.50 
2747163,Whfo Wr Gaun W Th Sp Cf, $918.25 
2747164,Whfo Pf Wr Cup Non Mld, $108.25 
2747166,Whfo Pf Swanson, $660.50 
2747168,Whfo Pf Flx Gl W Elas Ctr, $171.50 
2747169,Hfo W/O Joints Cf, $356.75 
2747170,Who W Nontor Jnts Pf, $699.50 
2747171,Whfo Wr Exts W Or, $212.25 
2747172,Pf Metacarpl Fx Orth, $139.00 
2747173,Whfo Knuckle Bend Pf, $141.50 
2747174,Ho W/O Joints Cf, $356.75 
2747175,Whfo Knuc Bend W Or Pf, $177.00 
2747176,Hfo W Jnts Cf, $423.00 
2747177,Whfo Knuck Bend 2 Seg Pf, $176.75 
2747178,Hfo W/O Joints Pf, $51.50 
2747179,Whfo Oppenheimer Pf, $179.50 
2747180,Whfo Thomas Susp Pf, $146.00 
2747181,Whfo F Ext W Cl Spr Pf, $104.75 
2747182,Whfo F Ext W Wr Sup Pf, $98.50 
2747183,Whfo Safe Pin Spr Wire Pf, $72.50 
2747184,Fo W/O Joints Cf, $281.00 
2747185,Whfo Safe Pin Modpf, $87.25 
2747186,Fo Nontor Joint Cf, $290.75 
2747187,Whfo Palmer Pf, $144.75 
2747188,Whfo Dorsal Wrist Pf, $160.25 
2747189,Whfo Dor Wr W Or At Pf, $158.75 
2747190,Whfo Rev Knuckle Bend Pf, $134.50 
2747191,Whfo Rev Kn Bend W Or Pf, $177.50 
2747192,Whfo Comp Elastic Pf, $156.75 
2747193,Fo Pip/Dip W/Jt/Spring Pf, $85.00 
2747194,Whfo Oppen W Kn Bend Pf, $271.00 
2747195,Whfo Oppen W Rev Kn 2 Pf, $268.75 
2747196,Whfo Spreading Hand Pf, $150.00 
2747198,Sewho Airplane Des Pf," $1,329.50 "
2747199,Sewho Cap Dsign Wo Jnts C," $2,211.75 "
2747200,Sewho Abd Erbs Pf," $1,297.25 "
2747204,Sewho Plane Wo Jnts Cf," $2,611.50 "
2747208,Sewho Cap Des W/Jnts Cf," $2,479.00 "
2747210,Sewho Aplane W/Jnts Cf," $2,611.50 "
2747212,Ewhfo Cap Des W/O Jnt Cf," $2,212.00 "
2747213,Sewhfo Aplan Wo Jnts Cf," $2,212.00 "
2747214,Sewhfo Cap Des W Jnts Cf," $2,479.00 "
2747215,Sewhfo Airplan W Jnts Cf," $2,611.50 "
2747216,Fo W/O Joints Mult Digits, $281.00 
2747217,Fo Pip/Dip W/Jt/Spg Pf Ad, $85.00 
2754710,Pacer/Loop Recorder," $11,117.75 "
2754722,Pacer/Generator Dr," $22,478.00 "
2754723,Pacer/Generator Sr," $20,378.50 "
2754724,Pacer/Pacing Lead," $5,398.00 "
2754725,Pacer/Generator Bivent," $26,691.50 "
2754726,Pacer/Lead Bivent," $8,997.25 "
2754727,Pacer/Defib/Gen Dr," $51,256.25 "
2754728,Pacer/Defib/Lead," $18,435.75 "
2754729,Pacer/Defib/Gen Sr," $43,985.75 "
2754730,Pacer/Defib/Gen Bi Vnt," $51,256.25 "
2754731,Lead Aicd Non Sing/Dual," $18,435.75 "
2760041,Lens Implant," $1,045.50 "
2780014,Screw Ti 12Mm 404.812 Sy, $98.00 
2780015,Screw Ti 14Mm 404.814 Sy, $98.00 
2780016,Screw Ti 16Mm 404.816 Sy, $98.00 
2780017,Screw Ti 18Mm 404.818 Sy, $98.00 
2780018,Screw Ti 20Mm 404.820 Sy, $98.00 
2780019,Screw Ti 22Mm 404.822 Sy, $98.00 
2780020,Screw Ti 24Mm 404.824 Sy, $98.00 
2780021,Screw Ti 26Mm 404.826 Sy, $98.00 
2780022,Screw Ti 28Mm 404.828 Sy, $98.00 
2780023,Screw Ti 30Mm 404.830 Sy, $98.00 
2780024,Screw Ti 32Mm 404.832 Sy, $98.00 
2780026,Screw Ti 36Mm 404.836 Sy, $98.00 
2780028,Screw Ti 40Mm 404.840 Sy, $98.00 
2780030,Screw Ti 50Mm 404.850 Sy, $98.00 
2780048,Plate Ti 3.5Mm 423.56 6Ho, $593.00 
2780049,Plate Ti 3.5Mm 423.57 7 H, $622.00 
2780055,Plate Ti 441.34 1/3 Tub W, $285.00 
2780056,Plate Ti 441.35 1/3 Tub W, $285.00 
2780057,Plate Ti 441.37 1/3 Tub W, $301.25 
2780112,Screw 4.0 Ti 406.024 Synt, $71.25 
2780114,Screw 4.0 40Mm 406.040 Ti, $71.25 
2780115,Screw 4.0 40Mm 407.040 Ti, $71.25 
2782495,Cement/Bone Copo/Osteobon," $1,292.00 "
2784130,Pigtail Stent 7X7 Cm," $7,374.50 "
2784140,Wall Stent 10Mm - 68Mm," $7,530.50 "
2784558,Pci/Stnt No Coat W/Sys," $5,520.75 "
2784901,Crew Ti 10Mm 404.810 Sy, $98.00 
2784910,Generator Nerve Stimulato," $31,751.50 "
2784912,Valve Mitral," $8,627.50 "
2784917,Graft Infuse Synthetic Bo," $11,305.00 "
2784920,Sphincter Ams Pump," $8,997.25 "
2784925,Pump Penile," $8,547.50 "
2784926,Reservoir," $4,716.50 "
2784928,Screw Can Interf, $783.75 
2784929,Screw Fixed Angle," $3,189.75 "
2784930,Screw Variable Angle," $3,087.75 "
2784933,Screw Cancellous (A)," $1,536.75 "
2784934,Plate Anterior Cervical," $4,342.25 "
2784935,Screw Acutrak," $1,867.00 "
2784936,Prosthesis Testicular," $4,089.50 "
2784937,Screw Self-Tap Cort, $86.75 
2784938,Nail Femoral (A), $882.75 
2784939,Nail Humeral," $4,138.00 "
2784940,Cup Multipolar Bipolar," $2,195.00 "
2784941,Nail Tibial Expand," $3,277.25 "
2784942,Plate Tibial," $3,387.00 "
2784943,Plate Femoral Condylar," $3,353.50 "
2784944,Nail Femoral Expand," $3,244.50 "
2784946,Head Endo Versys Adapter," $2,284.75 "
2784947,Stem Femoral," $4,308.00 "
2784949,Centralizer Distl W/Cemnt," $1,317.25 "
2784951,Sphincter Pres Balloon," $5,725.00 "
2784952,Agent Injectable Bulking," $6,654.75 "
2784953,Plate Facial, $667.25 
2784954,Screw Facial, $173.25 
2784955,Cup Accetabular," $4,983.00 "
2784957,Nail Femoral Im," $7,046.50 "
2784958,Cable Surgical Support," $1,527.00 "
2784959,Cap Nail, $953.50 
2784960,Rod Rush, $350.00 
2784961,Screw Cannulated, $809.75 
2784962,Screw Lag," $1,179.25 "
2784963,Component Femor," $7,909.50 "
2784964,Screw Recon, $883.25 
2784965,Plate/Tube," $1,762.00 "
2784966,Screw Cortical, $743.00 
2784967,Screw Periarticular, $165.00 
2784968,Screw Herb Can," $1,997.25 "
2784969,Screw Compression," $1,901.50 "
2784970,Screw Acetabular Compnt, $458.00 
2784972,Alln Medulary Bone Plg Ki, $702.00 
2784973,Screw Bone (A), $351.75 
2784975,Valve Aortic Mosaic," $8,120.00 "
2784976,Cath Vascular Access," $2,249.25 "
2784979,Stent Ureteral, $648.00 
2784980,Port-A-Cath," $2,930.75 "
2784981,Gas Perfluoropropane, $169.25 
2784982,Tape Tension Free Vaginal," $4,226.00 "
2784983,Pci/Stnt Coat/Cover W/Sys," $12,677.75 "
2784984,Pacer/Bivent Adaptor," $2,998.75 "
2784985,Stent Uncoated/Pta," $7,103.00 "
2784987,Sphincter Occlusive Cuff," $5,315.75 "
2784991,Rod Polarus Porximal," $4,115.00 "
2784992,Graft Tissue Urology," $3,373.75 "
2784994,Screws Infast," $1,772.00 "
2784997,Penile Prosthesis," $13,333.50 "
2784998,Graft Dbm Putty," $3,789.50 "
2784999,Pin Fixation, $531.25 
2785001,Screw Bio-Interf," $1,314.50 "
2785005,Mesh Marlex Perfix Plug," $1,383.50 "
2785006,Conformer Univ W/Holes, $163.75 
2785008,Graft Dura Patch," $2,113.00 "
2785009,Stent Urinary Diversion," $1,363.00 "
2785011,Patch Carotid, $809.75 
2785021,Mesh Prolene Plug," $1,967.75 "
2785022,Mesh Prolene, $734.50 
2785024,Graft Vascular (A)," $3,475.75 "
2785025,Kit Disp. Fallop Ring Cab, $787.25 
2785030,Graft Femoral Head Frozen," $4,182.50 "
2785031,Graft Patellar Tendon," $5,180.00 "
2785032,Grft Achillies Tendon Fro," $3,544.00 "
2785033,Graft Bone Cancellous," $1,363.00 "
2785034,Graft Bone Cortical Strut," $1,059.25 "
2785038,Plate Writst Fixation," $1,288.25 "
2785039,Glue Fibrin," $2,215.25 "
2785040,Graft Vein Frzn Heart Pac," $17,585.00 "
2785042,Shunt Pleural Effusion De," $3,393.25 "
2785043,Component Great Toe," $6,687.00 "
2785044,Finger Joint Swanson," $1,883.75 "
2785045,Tendon Spacer," $1,091.75 "
2785046,Component Toe," $4,471.25 "
2785050,Radial Head," $4,065.00 "
2785055,Graft Hydroxyapetite Inte, $672.50 
2785058,Screw Cancellous (B), $681.25 
2785059,Prosthesis Mammary," $4,362.25 "
2785061,Rod Spine," $5,287.25 "
2785062,Screw Locking, $706.25 
2785063,Crosslink Spine," $4,907.25 "
2785064,Screw Spine (A)," $2,080.50 "
2785065,Plate Spine (B)," $13,590.50 "
2785069,Cable Closure," $1,356.00 "
2785070,Hook Spine," $4,569.25 "
2785071,Screw Pedical," $2,344.75 "
2785072,Connector Spine (A), $603.00 
2785073,Nut Bolt," $3,835.75 "
2785074,Cup Acetabular," $4,567.50 "
2785075,Screw Spine, $804.50 
2785076,Plate Spine (A)," $3,006.00 "
2785077,Cage Spine (A)," $5,093.50 "
2785079,Graft Cornea," $9,939.00 "
2785080,Anchor Bone (A)," $1,649.00 "
2785081,Tube Neurotube," $3,314.50 "
2785082,Graft Bio Oss Osteohealt, $478.00 
2785083,Peristrip, $953.50 
2785084,Ball Hip," $3,272.00 "
2785085,Valve Shunt," $7,279.75 "
2785093,Screw Pk/4 Closure, $187.00 
2785094,Screw Dental," $1,323.25 "
2785095,Plate Bone (A)," $2,859.00 "
2785096,Screw Bone (B)," $1,523.50 "
2785097,Plate Bone, $592.75 
2785100,Ossicular Implant, $561.75 
2785105,Glenoid Component Pegged," $4,232.75 "
2785106,Graft Apligraf Per Sq, $100.00 
2785107,Graft Fascialata Tutoplas," $3,272.00 "
2785108,Head Humeral Modular (A)," $4,617.25 "
2785109,Mesh Hernia (A)," $1,298.25 "
2785110,Stem Humeral Modular," $9,239.00 "
2785113,Surface Articular," $3,387.00 "
2785114,Component Articular," $3,555.25 "
2785115,Prosthesis Moore Hip," $3,387.00 "
2785116,Stem Femoral Calcar Rev C," $9,650.50 "
2785117,Liner Total Hip," $4,929.25 "
2785118,Head Endo Femoral," $1,513.25 "
2785119,Component Femoral Stem," $9,999.00 "
2785120,Component Fem Stem Taper," $9,115.75 "
2785121,Component Block Build Up," $1,901.50 "
2785122,Femoral Component (A1)," $10,880.75 "
2785123,Component Tibial Base (A)," $4,150.75 "
2785124,Component Articular Surfa," $2,998.75 "
2785125,Component Patellar," $2,767.25 "
2785126,Comp Femoral Augment," $4,567.50 "
2785127,Femoral Component (A2)," $7,050.75 "
2785128,Stem Extension," $3,440.50 "
2785129,Component Femoral Head," $2,358.00 "
2785130,Screw Bone Cannulated, $886.25 
2785131,Valve Mitral Band/Ring," $4,060.00 "
2785132,Femoral Stem," $2,998.75 "
2785133,Pouch Surgical Tissue, $398.50 
2785134,Shell Hip Accetabular," $9,411.50 "
2785137,Lead Pacer Open Heart," $5,725.00 "
