,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
ACTH PLASMA 3,ACTH PLASMA 3, 75.00 ,,,,,,,,,
ACTIVATED CHARCOAL IN SORBITO 25GM/120ML,ACTIVATED CHA, 48.05 ,,,,,,,,,
ACTIVATED CHARCOAL IN WATER 25GM/120ML,ACTIVATED CHA, 55.96 ,,,,,,,,,
ACYCLOVIR (ZOVIRAX) : 500MG VIAL,ZOVIRAX 500MG, 64.69 ,,,,,,,,,
ACYCLOVIR (ZOVIRAX) 200MG CAP,ACYCLOVIR, 5.00 ,,,,,,,,,
ACYCLOVIR (ZOVIRAX) 5% OINT 5GM TUBE,ACYCLOVIR (ZO, 812.35 ,,,,,,,,,
ACYLCARNITINE,ACYLCARNITINE, 65.00 ,,,,,,,,,
ADENOSINE (ADENOCARD) 3MG/ML 2ML INJ,ADENOSINE, 20.00 ,,,,,,,,,
ADENOV,ADENOV, 271.00 ,,,,,,,,,
ADH,ADH, 82.00 ,,,,,,,,,
ADMIN INFLUENZA VACCINE,ADMIN INFLUEN, 50.00 ,,,,,,,,,
ADMIN INFLUENZA VACCINE,ADMIN INFLUEN, 50.00 ,,,,,,,,,
ADMIN INFLUENZA VACCINE,ADMIN INFLUEN, 50.00 ,,,,,,,,,
ADMIN INFLUENZA VACCINE,ADMIN INFLUEN, 50.00 ,,,,,,,,,
ADMIN PNEUMOVAX VACCINE,ADMIN PNEUMOV, 50.00 ,,,,,,,,,
ADMIN PNEUMOVAX VACCINE,ADMIN PNEUMOV, 50.00 ,,,,,,,,,
ADMIN PNEUMOVAX VACCINE,ADMIN PNEUMOV, 50.00 ,,,,,,,,,
ADMIN PNEUMOVAX VACCINE,ADMIN PNEUMOV, 50.00 ,,,,,,,,,
AEROBIC ID,AEROBIC ID, 66.48 ,,,,,,,,,
AEROSOL CIRCUIT,AEROSOL CIRCU, 34.00 ,,,,,,,,,
AEROSOL CONT. PER DAY,AEROSOL CONT., 352.00 ,,,,,,,,,
AEROSOL RX INITIAL,AEROSOL RX  I, 387.00 ,,,,,,,,,
AEROSOL RX SUBSEQUENT,AEROSOL RX SU, 387.00 ,,,,,,,,,
AFB PROBE,AFB PROBE, 175.00 ,,,,,,,,,
AFB STAIN,AFB STAIN, 44.34 ,,,,,,,,,
AFB SYSCEP,AFB SYSCEP, 46.50 ,,,,,,,,,
AFP,AFP, 138.06 ,,,,,,,,,
AFP TUMOR MARK,AFP TUMOR MAR, 138.06 ,,,,,,,,,
AFP VALUE,AFP VALUE, 138.06 ,,,,,,,,,
ALBUMIN,ALBUMIN, 23.70 ,,,,,,,,,
ALBUMIN FLUID,ALBUMIN FLUID, 23.70 ,,,,,,,,,
ALBUMIN URINE,ALBUMIN URINE, 146.76 ,,,,,,,,,
"ALBUMIN, HUMAN 25% 25GM/100ML PREMIX","ALBUMIN, HUMA", 570.36 ,,,,,,,,,
ALBUTEROL 0.083% 0.83MG/ML 3ML NEB,VENTOLIN 0.08, 6.50 ,,,,,,,,,
ALBUTEROL 90MCG/PUFF INHALER,ALBUTEROL 90M, 68.01 ,,,,,,,,,
ALBUTEROL/IPRATROPIUM 14.7GM INHALER,ALBUTEROL/IPR, 336.15 ,,,,,,,,,
ALCOHOL CHAIN OF CUSTODY,"ALCOHOL, CH O", 35.00 ,,,,,,,,,
ALCOHOL ETHYL,ALCOHOL ETHYL, 705.90 ,,,,,,,,,
ALCOHOL SALIVA,ALCOHOL SALIV, 28.00 ,,,,,,,,,
"ALCOHOL, ISOPROPYL","ALCOHOL, ISOP", 132.36 ,,,,,,,,,
"ALCOHOL, ISOPROPYL 70% 480ML BTL","ALCOHOL, ISOP", 10.10 ,,,,,,,,,
"ALCOHOL, METHYL","ALCOHOL, METH", 132.36 ,,,,,,,,,
"ALCOHOL, PT REQUEST",ETOH PT REQ, 75.00 ,,,,,,,,,
