,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
MANDIBLE COMPLETE/4 VIEWS,MANDIBLE COMP, 321.00 ,,,,,,,,,
MANDIBLE PARTIAL/LESS THAN 4,MANDIBLE PART, 171.00 ,,,,,,,,,
MANGANESP,MANGANESP, 90.00 ,,,,,,,,,
MANNITOL (OSMATROL) 20% 500ML BAG,MANNITOL, 409.09 ,,,,,,,,,
MANNITOL 25% 12.5GM/50ML VIAL,MANNITOL 25%, 30.01 ,,,,,,,,,
MASS INNER THIGH,MASS INNER TH, 77.00 ,,,,,,,,,
MASTISOL LIQUID ADHESIVE UD PK,MASTISOL TOPI, 10.25 ,,,,,,,,,
MASTOIDS,MASTOIDS, 220.00 ,,,,,,,,,
MATTRESS APM,MATTRESS APM, 300.00 ,,,,,,,,,
MAXILLA,MAXILLA, 167.00 ,,,,,,,,,
MDMA BLOOD,MDMA BLOOD, 246.00 ,,,,,,,,,
MDMA CONFIRMATION,MDMA CONFIRMA, 104.00 ,,,,,,,,,
MEASLES/MUMPS/RUBELLA VACCINE,MMR, 196.17 ,,,,,,,,,
MECLIZINE (ANTIVERT) 25MG TAB,ANTIVERT 25MG, 5.00 ,,,,,,,,,
MEDICAL NUTRI THERAPY GROUP EA 30 MIN,MED NUTRI GRO, 41.00 ,,,,,,,,,
MEDICAL NUTRII THER REASSESSMENT EA 15 M,MD NUTRI REAS, 75.00 ,,,,,,,,,
MEDICAL NUTRITION THERAPY EA 15 MINUTES,MEDICAL NUTRI, 83.00 ,,,,,,,,,
medroxyPROGESTERone 10MG TAB,MEDROXYPROGES, 5.00 ,,,,,,,,,
medroxyPROGESTERone 2.5MG TAB,PROVERA 2.5MG, 5.00 ,,,,,,,,,
MEGESTROL (MEGACE) 20MG TAB,MEGACE 20MG T, 5.00 ,,,,,,,,,
MEGESTROL 400MG/10ML ORAL LIQUID UDC,MEGACE LIQ, 18.23 ,,,,,,,,,
MELATONIN 3MG TAB,MELATONIN 3MG, 5.00 ,,,,,,,,,
MELOXICAM (MOBIC) 7.5MG TAB,MOBIC 7.5MG T, 15.28 ,,,,,,,,,
MEMANTINE (NAMENDA) 10MG TAB,NAMENDA 10MG, 13.04 ,,,,,,,,,
MEPERIDINE (DEMEROL) 100MG SYRG,MEPERIDINE (D, 25.00 ,,,,,,,,,
MEPERIDINE (DEMEROL) 25MG SYRG,MEPERIDINE (D, 25.00 ,,,,,,,,,
MEPERIDINE (DEMEROL) 50MG SYRG,MEPERIDINE (D, 25.00 ,,,,,,,,,
MEPERIDINE (DEMEROL) 50MG TAB,MEPERIDINE, 12.00 ,,,,,,,,,
MEPERIDINE PCA 300MG/30ML,PCA DEMEROL, 49.76 ,,,,,,,,,
MEPIVACAINE HCL 1.5% 30ML VIAL,CARBOCAINE 1., 56.16 ,,,,,,,,,
MERCURY,MERCURY, 133.80 ,,,,,,,,,
MEROPENEM 1GM VIAL,MEROPENEM 1GM, 339.19 ,,,,,,,,,
MEROPENEM 500MG VIAL,MEROPENEM 500, 339.19 ,,,,,,,,,
MESH ALLOMAX SURG GRAFT 2.4 X6.3,MESH ALLOM," 9,174.00 ",,,,,,,,,
MESH ALLOMAX SURG GRAFT 3.1  x 6.3,MESH ALLOMAX," 9,984.00 ",,,,,,,,,
MESH ARTISYN Y-SHAPED,MESH ARTISYN," 3,300.00 ",,,,,,,,,
MESH HERNIA 10 X14  GROIN,MESH HERNIA," 1,350.00 ",,,,,,,,,
MESH HERNIA 2X4  GROIN,MESH HERNIA, 215.00 ,,,,,,,,,
MESH HERNIA 3X6 GROIN,MESH HERNIA, 587.00 ,,,,,,,,,
MESH HERNIA CIRC 2.8IN STRP,MESH HERNIA," 3,400.00 ",,,,,,,,,
MESH HERNIA LARGE PLUG & PATCH,PATCH PHASIX," 2,150.00 ",,,,,,,,,
MESH HERNIA LG CIRC 3.2IN STRP,MESH HERNIA M," 2,400.00 ",,,,,,,,,
MESH HERNIA MD PLUG & PATCH,IMPLANT PATCH," 2,120.00 ",,,,,,,,,
MESH HERNIA MED CIRC 6.4CM,MESH SURG MD," 1,918.00 ",,,,,,,,,
MESH HERNIA SM CIRC 1.7IN STRP,MESH SURG," 1,560.00 ",,,,,,,,,
MESH HERNIA XL PLUG & PATCH,MESH PHASIX P," 2,190.00 ",,,,,,,,,
MESH MERSILENE 2.5X4.5,MERSILENE, 389.00 ,,,,,,,,,
MESH SURG 11.4CM  ROUND VENTRALIGHT,MESH SURG 9X7," 1,720.00 ",,,,,,,,,
MESH SURG 4.5X2 VENTRALIGHT,MESH SURG 4.5," 1,720.00 ",,,,,,,,,
MESH SURG 6  VENTRALIGHT CIRCLE,MESH SURG 6," 2,300.00 ",,,,,,,,,
MESH SURG 6X4  VENTRALIGHT,MESH SURG 6," 1,526.00 ",,,,,,,,,
MESH SURG 9X7  VENTRALIGHT,MESH SURG 9X7," 4,278.00 ",,,,,,,,,
MESH SURGICAL OVAL 12CMX8CM LEFT,MESH SURGICAL," 1,329.00 ",,,,,,,,,
MESH SURGICAL OVAL 12CMX8CM RIGHT,MESH SURGICAL," 1,329.00 ",,,,,,,,,
MESH SURGICAL OVAL 17.8CMX22.9CM,HERNIA REPAIR," 5,523.00 ",,,,,,,,,
MESH SURGICAL OVAL 27.4CMX34.9CM XL,HERNIA REPAIR," 6,461.00 ",,,,,,,,,
MESH TVT OBTURATOR LASER CUT,MESH TVT OBT," 2,786.00 ",,,,,,,,,
MESH XENMATRIX 15X20CM SURG GRAFT,MESH XENMATR," 18,563.00 ",,,,,,,,,
MESH XENMATRIX AB 3.9X5.9 GRAFT,MESH XENMATRI," 11,145.00 ",,,,,,,,,
MESH XENMATRIX AB 7.5X11 GRAFT,MESH XENMATR," 29,938.00 ",,,,,,,,,
"META PROF,BASIC",BMP, 69.60 ,,,,,,,,,
"META PROF,COMP",CMP, 86.94 ,,,,,,,,,
METANEPHRINE,METANEPHRINE, 139.44 ,,,,,,,,,
METANEPHRINES,METANEPHRINES, 139.44 ,,,,,,,,,
"Metanephrines, Frac., Pl. Free",Metanephrines, 139.44 ,,,,,,,,,
"METANEPHRINES,24HR","METANEPH,24HR", 139.44 ,,,,,,,,,
METAXALONE (SKELAXIN) 800MG TAB,METAXALONE, 17.22 ,,,,,,,,,
metFORMIN (GLUCOPHAGE) 500MG TAB,GLUCOPHAGE, 5.00 ,,,,,,,,,
METHADONE (DOLOPHINE) 10MG TAB,METHADONE, 12.00 ,,,,,,,,,
METHADONE-URINE,METHADONE-URI, 54.00 ,,,,,,,,,
METHIMAZOLE (TAPAZOLE) 5MG TAB,METHIMAZOLE, 5.00 ,,,,,,,,,
METHOCARBAMOL (ROBAXIN) 500MG TAB,ROBAXIN 500MG, 5.00 ,,,,,,,,,
METHOTREXATE 2.5MG TAB,METHOTREXATE, 20.36 ,,,,,,,,,
METHYLDOPA (ALDOMET) 250MG TAB,ALDOMET 250MG, 5.00 ,,,,,,,,,
METHYLENE BLUE 1% 10ML INJ,METHYLENE BLU, 65.92 ,,,,,,,,,
METHYLERGONOVINE 0.2MG/ML INJ,METHYLERGONOV, 22.89 ,,,,,,,,,
METHYLMALONIC ACID,METHYLMALONIC, 135.42 ,,,,,,,,,
methylPREDNISolone ACETATE 40MG/1ML VIAL,METHYLPREDNIS, 38.48 ,,,,,,,,,
methylPREDNISolone SOD SUCC 1000MG INJ,METHYLPREDNIS, 85.55 ,,,,,,,,,
methylPREDNISolone SS 125MG VIAL,Solu-MEDROL 1, 25.00 ,,,,,,,,,
methylPREDNISolone SS 40MG VIAL,Solu-MEDROL 4, 20.00 ,,,,,,,,,
methylPREDNISolone SS 500MG VIAL,methylPREDNIS, 68.27 ,,,,,,,,,
METHYLPREDNISONE 4MG DOSPAK,MEDROL 4MG DO, 59.74 ,,,,,,,,,
METOCLOPRAMIDE (REGLAN) 10MG TAB,REGLAN 10MG T, 5.00 ,,,,,,,,,
METOCLOPRAMIDE 5MG/ML 2ML VIAL,REGLAN 5MG/ML, 20.00 ,,,,,,,,,
METOLAZONE (ZAROXOLYN) 2.5MG TAB,METOLAZONE, 7.00 ,,,,,,,,,
METOPROLOL (LOPRESSOR) 1MG/1ML 5ML INJ,METOPROLOL, 48.04 ,,,,,,,,,
METOPROLOL SUCC (TOPROL XL) ER 25MG TAB,METOPROLOL SU, 5.00 ,,,,,,,,,
METOPROLOL TAR (LOPRESSOR) 25MG TAB,METOPROLOL, 5.00 ,,,,,,,,,
metroNIDAZOLE (FLAGYL) 250MG TAB,FLAGYL 250MG, 5.00 ,,,,,,,,,
metroNIDAZOLE 500MG/100ML PREMIX,FLAGYL 500MG/, 30.00 ,,,,,,,,,
"MG BREAST LOCAL.,NEEDLE MAMMO GUIDED","BREAT,LOC.MAM", 289.00 ,,,,,,,,,
"MG BREAST LOCAL.,NEEDLE MAMMO GUIDED",MG BREAST LOC, 289.00 ,,,,,,,,,
MG BREAST SURGICAL SPECIMEN,BREAST SURGIC," 1,201.65 ",,,,,,,,,
MG DIGITAL BILATERAL DIAGNOSTIC,MG DIGITAL BI, 331.26 ,,,,,,,,,
MG DIGITAL SCREENING MAMMOGRAM,DIGITAL SCREE, 273.99 ,,,,,,,,,
MG DIGITAL UNILATERAL LT MAMMOGRAM,MG DIGITAL UN, 259.41 ,,,,,,,,,
MG DIGITAL UNILATERAL RT MAMMOGRAM,MG DIGITAL UN, 259.41 ,,,,,,,,,
MG GALACTOGRAM MULTIPLE DUCTS,GALACTOGRAM M, 500.00 ,,,,,,,,,
MG GALACTOGRAM SINGLE DUCT,GALACTOGRAM S, 400.00 ,,,,,,,,,
MG ICAD DIAGNOSTIC SECOND LOOK,ICAD DIAGNOST, 60.00 ,,,,,,,,,
MG ICAD SCREENING SECOND LOOK,ICAD SCREENIN, 60.00 ,,,,,,,,,
MG PREOP ADDITIONAL NEEDLE GUIDANCE,MG PREOP ADDI, 364.00 ,,,,,,,,,
MICONAZOLE 2% VAG CREAM 45MG TUBE,MONISTAT 2% V, 44.88 ,,,,,,,,,
MICONAZOLE NITR 2% CREAM 15GM TUBE,MONISTAT 2% C, 17.95 ,,,,,,,,,
MICRO/ALB-24 HR,MICRO/AL-24 H, 41.40 ,,,,,,,,,
"MICROALB/CREA RATIO,RANDOM","MICR/CRE,RAND", 37.68 ,,,,,,,,,
"MICROALBUMIN, RANDOM",MICROALBUMIN, 42.84 ,,,,,,,,,
"MICROALBUMIN,24 HR","MICROALB,24 H", 47.58 ,,,,,,,,,
MICROARRAY ANALYSIS,MICROARRAY AN," 2,760.00 ",,,,,,,,,
MICROPOLYSPORA FAENI IGG,MICROPOLYSPOR, 106.02 ,,,,,,,,,
MIDAZOLAM (VERSED) 1MG/1ML 2ML VIAL,MIDAZOLAM, 25.00 ,,,,,,,,,
MIDAZOLAM (VERSED) 50MG/10ML VIAL,MIDAZOLAM (VE, 25.00 ,,,,,,,,,
MIDAZOLAM (VERSED) 5MG/1ML VIAL,MIDAZOLAM, 25.00 ,,,,,,,,,
MIDLINE CATHETER PLACEMENT,MIDLINE CATHE," 1,965.00 ",,,,,,,,,
MIDODRINE (PROAMITINE) 5MG TAB,MIDODRINE, 5.00 ,,,,,,,,,
MILEAGE FEE-CMS GUIDELINES PER MILE,MILEAGE FEE, 5.94 ,,,,,,,,,
MINERAL OIL ENEMA 133 ML,FLEET MINERAL, 6.90 ,,,,,,,,,
MINERAL OIL/WHITE PETROLATUM OPHTH OINT,MINERAL OIL/W, 10.00 ,,,,,,,,,
MINI DOPPLER ABI BILATERAL,MINI DOPPLER, 315.00 ,,,,,,,,,
MINIRAIL CLAMP COVER NON-SWIVEL,MINIRAIL CLAM, 462.00 ,,,,,,,,,
MINIRAIL SHORT LENGTHENER,MINIRAIL SHOR," 5,082.00 ",,,,,,,,,
MIRROR LARYNGEAL ONE PC,MIRROR LARYNG, 100.00 ,,,,,,,,,
MIRTAZAPINE (REMERON) 15MG TAB,REMERON 15MG, 14.87 ,,,,,,,,,
MITOCHONDRIAL AB,MITOCHOND AB, 87.90 ,,,,,,,,,
MIXER CEMENT HIP SYSTEM,CEMENT MIXER, 595.00 ,,,,,,,,,
MIXING STUDIES,MIXING STUDIE, 53.22 ,,,,,,,,,
MMR TITER,MMR TITER, 95.82 ,,,,,,,,,
MOD SED OTH PHYS/QHP EA ADD 15 MIN 99157,MOD SED OTH P, 60.00 ,,,,,,,,,
MOD SED SAME PHYS/QHP EA  ADD 15 99153,MOD SED SAME, 60.00 ,,,,,,,,,
MODIFIED BA SWALLOW,MODIFIED BA S, 321.00 ,,,,,,,,,
MODSED OTH PHYS/QHP 5/> INTL 15MIN 99156,MOD SED SAME, 295.00 ,,,,,,,,,
MODSED SAMEPHYS/QHP 5/>YRS INT15MIN99152,MOD SED SAME, 295.00 ,,,,,,,,,
"MOL.DIAG,AMPLIFICATION","MOL.DIAG,AMPL", 400.00 ,,,,,,,,,
"MOL.DIAG,EXTRACT","MOL.DIAG,EXTR", 400.00 ,,,,,,,,,
"MOL.DIAG,INTERP.","MOL.DIAG,INTE", 400.00 ,,,,,,,,,
"MOL.DIAG,SEPARATION","MOL.DIAG,SEPA", 400.00 ,,,,,,,,,
MOL.DIAG.INTEAP,MOL.DIAG.INTE, 400.00 ,,,,,,,,,
MOMO-LAB,MOMO-LAB, 12.00 ,,,,,,,,,
MONO TEST,MONO TEST, 42.60 ,,,,,,,,,
MONTELUKAST (SINGULAIR) 10MG TAB,MONTELUKAST (, 14.82 ,,,,,,,,,
MONTELUKAST (SINGULAIR) 4MG TAB CHEW,MONTELUKAST, 17.56 ,,,,,,,,,
MORPHINE (MS CONTIN) ER 15MG TAB,MORPHINE, 12.00 ,,,,,,,,,
MORPHINE (ROXANOL) ORAL CONC 20MG/1ML,MORPHINE, 12.00 ,,,,,,,,,
MORPHINE PF 0.5MG/ML 10ML INJ VIAL,MORPHINE PF, 31.65 ,,,,,,,,,
MORPHINE SULFATE 10MG/ML SYRINGE,MORPHINE 10MG, 25.00 ,,,,,,,,,
MORPHINE SULFATE 2MG/ML SYRINGE,MORPHINE 2MG/, 25.00 ,,,,,,,,,
MORPHINE SULFATE 4MG/ML SYRINGE,MORPHINE 4MG, 25.00 ,,,,,,,,,
MORPHINE SULFATE 5MG/ML INJ VIAL,MORPHINE SULF, 25.00 ,,,,,,,,,
MORRPHINE SULFATE PCA 30MG/30ML,PCA MORPHINE, 96.88 ,,,,,,,,,
MRA ABDOMEN WITH OR WITHOUT,MRA ABDOMEN W," 1,857.00 ",,,,,,,,,
MRA C SPINE W/WO,MRA C SPINE W," 1,972.00 ",,,,,,,,,
MRA CHEST W/WO,MRA CHEST W/W," 2,233.92 ",,,,,,,,,
MRA HEAD W/CONTRAST,MRA HEAD W/C," 1,972.00 ",,,,,,,,,
MRA HEAD W/O,MRA HEAD W/O," 1,715.00 ",,,,,,,,,
MRA HEAD W/WO CONTRAST,MRA HEAD W/WO," 2,842.00 ",,,,,,,,,
MRA L SPINE W/WO,MRA L SPINE W," 1,972.00 ",,,,,,,,,
MRA LOWER EXT W/WO,MRA LOWER EXT," 1,857.00 ",,,,,,,,,
MRA NECK W/O,MRA NECK W/O," 1,715.00 ",,,,,,,,,
MRA NECK W/WO,MRA NECK W/WO," 2,842.00 ",,,,,,,,,
MRA PELVIS W/WO,MRA PELVIS W/," 1,840.00 ",,,,,,,,,
MRA T SPINE W/WO,MRA T SPINE W," 1,972.00 ",,,,,,,,,
MRA UPPER EXT W/WO,MRA UPPER EXT," 1,842.00 ",,,,,,,,,
MRI ABDOMEN W/O,MRI ABDOMEN W," 1,290.00 ",,,,,,,,,
MRI ABDOMEN W/WO CONTRAST,MRI ABDOMEN W," 2,442.00 ",,,,,,,,,
MRI ABDOMEN WITH CONTRAST,MRI ABDOMEN W," 2,119.00 ",,,,,,,,,
MRI ANKLE W/WO CONTRAST,MRI ANKLE W/O," 3,644.00 ",,,,,,,,,
MRI ANKLE WITH CONTRAST,MRI ANKLE WIT," 2,104.00 ",,,,,,,,,
MRI ANKLE WITHOUT CONTRAST,MRI ANKLE W/O," 1,290.00 ",,,,,,,,,
MRI BRAIN W/O,MRI BRAIN W/O," 1,290.00 ",,,,,,,,,
MRI BRAIN W/WO,MRI BRAIN W/W," 2,442.00 ",,,,,,,,,
MRI BRAIN WITH CONTRAST,MRI BRAIN W," 2,104.00 ",,,,,,,,,
MRI C SPINE W/C,MRI C SPINE W," 2,171.00 ",,,,,,,,,
MRI C SPINE W/O,MRI C SPINE W," 1,290.00 ",,,,,,,,,
MRI C SPINE W/WO,MRI C SPINE W," 2,442.00 ",,,,,,,,,
MRI CHEST W/C,MRI CHEST W/C," 2,104.00 ",,,,,,,,,
MRI CHEST W/O,MRI CHEST W/O, 860.00 ,,,,,,,,,
MRI CHEST W/WO,MRI CHEST W/W," 3,281.00 ",,,,,,,,,
MRI ELBOW W/CONTRAST,MRI ELBOW W/C," 3,644.00 ",,,,,,,,,
MRI ELBOW W/WO CONTRAST,MRI ELBOW W/W," 3,644.00 ",,,,,,,,,
MRI ELBOW WO/CONTRAST,MRI ELBOW W/O," 1,723.00 ",,,,,,,,,
MRI FACE/ORBITS W/WO CONTRAST,MRI FACE/ORBI," 2,842.00 ",,,,,,,,,
MRI FOOT W/CONTRAST,MRI FOOT W/C," 2,104.00 ",,,,,,,,,
MRI FOOT W/WO CONTRAST,MRI FOOT W/WO," 2,442.00 ",,,,,,,,,
MRI FOOT WO/CONTRAST,MRI FOOT W/O," 1,290.00 ",,,,,,,,,
MRI HIP W/CONTRAST,MRI HIP W/C," 2,104.00 ",,,,,,,,,
MRI HIP W/WO CONTRAST,MRI HIP W/WO," 3,644.00 ",,,,,,,,,
MRI HIP WO/CONTRAST,MRI HIP W/O," 1,290.00 ",,,,,,,,,
MRI KNEE W/O CONTRAST,MRI KNEE WITH," 1,290.00 ",,,,,,,,,
MRI KNEE W/WO CONTRAST,MRI KNEE W/WO," 3,644.00 ",,,,,,,,,
MRI KNEE WITH CONTRAST,MRI KNEE WITH," 2,104.00 ",,,,,,,,,
MRI L SPINE W/CONTRAST,MRI L SPINE W," 2,234.00 ",,,,,,,,,
MRI L SPINE W/WO CONTRAST,MRI L SPINE W," 2,442.00 ",,,,,,,,,
MRI LOWER EXT  W/CONTRAST,MRI LOWER EXT," 2,104.00 ",,,,,,,,,
MRI LOWER EXT NON JOINT W/WO CONTRAST,MRI OP EXT W/," 2,104.00 ",,,,,,,,,
MRI LOWER EXT W/WO CONTRAST,MRI LOWER EXT," 3,644.00 ",,,,,,,,,
MRI LOWER EXT WO/CONTRAST,MRI LOWER EXT," 1,723.00 ",,,,,,,,,
MRI LOWER EXT. NON JOINT WITH CONTRAST,MRI LOWER EXT," 2,104.00 ",,,,,,,,,
MRI LOWER EXT. NON JOINT WITH OUT,MRI  LOWER EX," 1,723.00 ",,,,,,,,,
MRI LOWER EXT. NON JOINT WITHOUT,MRI LOWER EXT," 3,644.00 ",,,,,,,,,
MRI L-SPINE WO/CONTRAST,MRI L-SPINE W," 1,290.00 ",,,,,,,,,
MRI NECK W/CONTRAST,MRI NECK W/C," 1,972.00 ",,,,,,,,,
MRI NECK WITH/WITHOUT CONTRAST,MRI NECK W/WO," 2,442.00 ",,,,,,,,,
MRI ORBIT FACE AND OR NECK W/WO,MRI ORBIT W/W," 1,398.00 ",,,,,,,,,
MRI ORBIT/FACE WO/CONTRAST,MRI ORBIT/FAC," 1,715.00 ",,,,,,,,,
MRI PELVIS W/CONTRAST,MRI PELVIS W/," 2,104.00 ",,,,,,,,,
MRI PELVIS W/WO CONTRAST,MRI PELVIS W/," 2,442.00 ",,,,,,,,,
MRI PELVIS WO/CONTRAST,MRI PELVIS W/," 1,290.00 ",,,,,,,,,
MRI SHOULDER W/CONTRAST,MRI SHOULDER," 2,102.00 ",,,,,,,,,
MRI SHOULDER W/WO CONTRAST,MRI SHOULDER," 3,644.00 ",,,,,,,,,
MRI SHOULDER WO/CONTRAST,MRI SHOULDER," 1,290.00 ",,,,,,,,,
MRI T SPINE W/CONTRAST,MRI T SPINE W," 2,234.00 ",,,,,,,,,
MRI T SPINE W/WO CONTRAST,MRI T SPINE W," 3,293.00 ",,,,,,,,,
MRI T SPINE WO/CONTRAST,MRI T SPINE W," 1,290.00 ",,,,,,,,,
MRI TEMPOROMANDIBULAR JOINT,MRI TMJ, 768.00 ,,,,,,,,,
MRI UPPER EXT  W/WO CONTRAST,MRI UPPER EXT," 2,442.00 ",,,,,,,,,
MRI UPPER EXT NON JOINT WITH AND WITHOUT,MRI UPPER EXT," 3,644.00 ",,,,,,,,,
MRI UPPER EXT W/CONTRAST,MRI UPPER EXT," 2,102.00 ",,,,,,,,,
MRI UPPER EXT WO/CONTRAST,MRI UPPER EXT," 1,290.00 ",,,,,,,,,
MRI UPPER EXTRMITY NON JOINT WITHOUT,MRI UP EXT W/," 1,723.00 ",,,,,,,,,
MRI WRIST W/CONTRAST,MRI WRIST W/C," 2,102.00 ",,,,,,,,,
MRI WRIST W/WO CONTRAST,MRI WRIST W/W," 3,644.00 ",,,,,,,,,
MRI WRIST WO/CONTRAST,MRI WRIST W/O," 1,723.00 ",,,,,,,,,
M-SPIKE %,M-SPIKE %, 146.76 ,,,,,,,,,
MUG TWO HANDLE WEIGHTED,MUG TWO HANDL, 100.00 ,,,,,,,,,
MULTIVITAMIN ADULT 10ML VIAL,INFUVITE ADUL, 96.57 ,,,,,,,,,
MULTIVITAMIN ADULT FOR EYES TAB,OCUVITE TAB, 5.00 ,,,,,,,,,
MULTIVITAMIN TAB,MULTIVITAMIN, 5.00 ,,,,,,,,,
MULTIVITAMIN W/MINERALS TAB,MULTIVITAMIN, 5.00 ,,,,,,,,,
"MUMPS AB,IGG","MUMPS AB,IGG", 107.40 ,,,,,,,,,
"MUMPS AB,IGM",MUMPS IGM, 107.40 ,,,,,,,,,
MUPIROCIN (BACTROBAN) 2% CREAM 30GM TUBE,MUPIROCIN (BA, 277.70 ,,,,,,,,,
MUPIROCIN (BACTROBAN) 2% OINT 22GM TUBE,MUPIROCIN (BA, 34.71 ,,,,,,,,,
MUSK ANTIBODY,MUSK ANTIBODY, 87.90 ,,,,,,,,,
MYCOPHENOLIC,MYCOPHENOLIC, 190.00 ,,,,,,,,,
MYCOPLASMA IGG,MYCOPLASMA IG, 108.96 ,,,,,,,,,
MYCOPLASMA PNEUMONIAE IGM,MYCOPLASMA PN, 108.96 ,,,,,,,,,
MYCOPLASMA PNEUN I6M,MYCOPLASMA PN, 93.00 ,,,,,,,,,
MYELOGRAM  LUMBAR,MYELOGRAM LU," 1,287.00 ",,,,,,,,,
MYELOGRAM INJECTION PROEDURE,MYELOGRAM INJ, 780.00 ,,,,,,,,,
MYELOGRAM THORACIC,MYELOGRAM THO," 1,444.00 ",,,,,,,,,
MYOGLOBIN/SERUM,MYOGLOBIN/SER, 106.32 ,,,,,,,,,
MYOGLOBIN/URINE,MYOGLOBIN/URI, 106.32 ,,,,,,,,,
MYTHER,MYTHER, 141.00 ,,,,,,,,,
N/P VISIT LEVEL 1,N/P LEVEL 1, 137.00 ,,,,,,,,,
N/P VISIT LEVEL 2,N/P LEVEL 2, 197.00 ,,,,,,,,,
N/P VISIT LEVEL 4,N/P LEVEL 4, 391.68 ,,,,,,,,,
N/P VISIT LEVEL 5,N/P LEVEL 5, 530.10 ,,,,,,,,,
"NA,FECAL","NA,FECAL", 70.00 ,,,,,,,,,
NABUMETONE (RELAFEN) 500MG TAB,RELAFEN 500MG, 7.63 ,,,,,,,,,
NADOLOL (CORGARD) 20MG TAB,CORGARD 20MG, 7.24 ,,,,,,,,,
NAIL 11MM/130 DEG TI CANN TFNA 170MM STR,NAIL 11MM/130," 7,439.00 ",,,,,,,,,
NAIL 8MM 28.5CM TIB NLEX IM CA,NAIL 8MM 28.5," 4,927.00 ",,,,,,,,,
NAIL CNULA TITANIUM OD 10MM,NAIL CNULA," 5,423.00 ",,,,,,,,,
NAIL FEMORAL 13MM CANN DIST,NAIL FEMORAL," 6,643.00 ",,,,,,,,,
NAIL FEMORAL TITANIUM 12MM,NAIL FEMORAL," 5,625.00 ",,,,,,,,,
NAIL FIXATION CANN TI 10MM/135DEG,NAIL FIXATION," 7,432.00 ",,,,,,,,,
NAIL FIXATION CANN TI 11MM/125DEG,NAIL FIXATION," 5,048.00 ",,,,,,,,,
NAIL FIXATION CANN TI 11MM/125DEG,NAIL FIXATION," 5,842.00 ",,,,,,,,,
NAIL FIXATION CANN TI 11MM/130DEG,NAIL FIXATION," 5,842.00 ",,,,,,,,,
NAIL FIXATION CANN TI 11MM/130DEG,NAIL FIXATION," 6,017.00 ",,,,,,,,,
NAIL FIXATION CANN TI 12MM/125DEG,NAIL FIXATION," 6,017.00 ",,,,,,,,,
NAIL FIXATION CANN TI 12MM/130DEG,NAIL FIXATION," 6,017.00 ",,,,,,,,,
NAIL FIXATION CANN TI 12MM/130DEG,NAIL FIXATION," 6,017.00 ",,,,,,,,,
NAIL GT FEMORAL RT 11MM X 40CM,NAIL GT FEMOR," 7,241.00 ",,,,,,,,,
NAIL INTERTAN 10MM X 24CM,NAIL INTERTAN," 8,160.00 ",,,,,,,,,
NAIL TIBIAL 12X360MM CANN STRL,NAIL TIBIAL," 6,672.00 ",,,,,,,,,
NAIL TIBIAL FORTITANIUM 356.543,NAIL TIBIAL F," 1,131.00 ",,,,,,,,,
NAIL TIBIAL PHOENIX 12.0MM X 300MM,NAIL  TIBIAL," 7,210.00 ",,,,,,,,,
NAIL TIBIAL VERSANAIL 11MM X 34.5CM,NAIL TIBIAL P," 7,620.00 ",,,,,,,,,
NALBUPHINE (NUBAIN) 10MG/ML INJ,NALBUPHINE, 25.00 ,,,,,,,,,
NALOXONE (NARCAN) 0.4MG/ML VIAL,NARCAN 0.4MG/, 81.57 ,,,,,,,,,
NALOXONE 1MG/1ML 2ML SYRINGE,NARCAN 2MG SY, 24.82 ,,,,,,,,,
NALTREXONE 50MG TABLET,NALTREXONE 50, 5.00 ,,,,,,,,,
NAPROXEN (NAPROSYN) 250MG TAB,NAPROSYN 250M, 5.00 ,,,,,,,,,
NASAL BONES COMPLETE MIN 3 VIEWS,NASAL BONES, 171.00 ,,,,,,,,,
NEBIVOLOL (BYSTOLIC) 10MG TAB,BYSTOLIC 10MG, 8.81 ,,,,,,,,,
NEBULIZER,NEBULIZER, 46.00 ,,,,,,,,,
NECK FEMORAL MODULAR 12DEG/38mm,NECK FEMORAL," 4,146.00 ",,,,,,,,,
NECK SOFT TISSUE,NECK SOFT TIS, 171.00 ,,,,,,,,,
NEEDLE ASPIRATION FLUORO GUIDANCE,NEEDLE ASP FL, 411.00 ,,,,,,,,,
NEEDLE BIOPSY 12GX13CM,NEEDLE BIOPSY, 360.00 ,,,,,,,,,
NEEDLE BIOPSY MONOPTY 18GX20,NEEDLE BIOPS, 174.00 ,,,,,,,,,
NEEDLE BONE MARROW ASP ILLIN,NEEDLE BONE, 64.00 ,,,,,,,,,
NEEDLE CHIBA BIOPSY 18GX15CM,NEEDLE CHIBA, 44.00 ,,,,,,,,,
NEEDLE CHIBA BIOPSY 20GX15CM,NEEDLE CHIBA, 44.00 ,,,,,,,,,
NEEDLE CHIBA BIOPSY 22GX15CM,NEEDLE CHIBA, 36.00 ,,,,,,,,,
NEEDLE DELIVERY 8GX10CM BIOMATERIAL,NEEDLE DELIVE, 246.00 ,,,,,,,,,
NEEDLE ELECTRODE COATED 6,NEEDLE ELECTR, 30.00 ,,,,,,,,,
NEEDLE ENDO INJECTOR 25G 2.8MM,NEEDLE ENDO, 128.00 ,,,,,,,,,
