"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
2720003200,DRILL SURG STD CANN QCK CPL PERIART 2.7MM NONSTRL LCK PLAT,319.39
2720003200,DRILL SURG STP 2.5MM FRAG SCREW,199.50
2720003800,DRILL SURG STP DISP 2.4MM SUT TK,152.00
2720003200,DRILL SURG SYS LISFRANC CHRLT 3.2MM,507.30
2720003200,DRILL SURG SYS LISFRANC CHRLT 4.5MM,507.30
2720003200,DRILL SURG T2 6.5MM STPSLD LAG STSCR SLV STRL RECON NAIL SYS,528.60
2720003200,DRILL SURG TWST CROWE PNT END 4MM STRL,608.00
2720003200,DRILL SURG XS CANN PHALINX 2.25MM,366.70
2720003200,DRILL TIP GUIDE PIN 3.2X343MM,389.12
2720003200,DRILL TWIST 1.2 X 48MM UN3 4MM STOP,382.64
2720003200,DRILL TWIST 1.2 X 50MM UN3 6MM STOP,382.64
2720003200,DRILL TWIST 2.2MM 105MM W/ NOTCH,245.73
2720003200,DRILL TWIST 2.2MM 70MM W/NOTCH,245.73
2720003200,DRILL TWIST 2MM 100MM X 40MM HAND MOD SHAFT END SM FRAG,247.23
2720003200,DRILL TWST 1.1MM SS DENT,33.63
2720003200,DRILL TWST 100MM 2.3MM PRFL STRYK SHFT END 40MM NONSTRL,247.23
2720003200,DRILL TWST 115MM 2.2MM STRL,245.73
2720003200,DRILL TWST 125MM 5/64IN TWST STRL,15.41
2720003200,DRILL TWST 127MM 3.5MM LNG SS TWST STRL,167.20
2720003200,DRILL TWST 2.3MM VARIAX DIST AO SHFT END RADS STRL,247.23
2720003200,DRILL TWST 22MM 1MM DENT END,247.23
2720003200,DRILL TWST 3.8MM SLD,528.20
2720003800,DRILL TWST 40MM 1.5MM SS HEX ATTACH STOP 7MM 2MM SCREW DISP,245.73
2720003200,DRILL TWST 50MM 1.1MM NO STOP NOTCH DISP,245.73
2720003200,DRILL TWST 50MM 1.5MM SS NOTCH STOP 7MM STRL DISP,245.73
2720003200,DRILL TWST 70MM 1.9MM SS STOP 40MM 2.3MM SYS DISP,245.73
2720003200,DRILL TWST 77MM 1.9MM DENT SHFT END FIX 27MM STRL,247.23
2720003200,DRILL VOLAR TWIST 1.75MM LNG,216.60
2780002500,DRILL WIDE  BAHA 3MM STRL AUD IMPLNT BNE ANCH HRNG DEVCE,427.50
2720003200,DRILLBT CNTRSNK 2.7/3 MM SCREW,509.20
2780007100,DRIVELINE EXTN CABLE,"4,940.00"
2720003800,DRIVER 2MM HEX SET TRL CNSTRN SCREW 4.5MM SURG FEM,134.90
2720003800,DRIVER 3MM SHFT SCREW SURG DRILL,200.98
2720003800,DRIVER LNG UNIV T15 SURG GLEN,"1,396.50"
2720003800,DRIVER NDL 8MM 0-30D LG 54.4CM HLDR JAW DAVNC ENDOWST,"4,180.00"
2720003800,DRIVER NDL CRV DAVNC,"1,178.00"
2720003800,DRIVER SCREW BN QUICK CHUCK,321.10
2720003800,DRIVER SCRW OSTEO 2 BATT POWRD DISP,361.00
2720003800,DRIVER SURG 1.6MM STEM POWR OSTEODRIVER 2 SS LNG HEX,406.60
2720003800,DRIVER SURG 2.4MM MINI VAR RING,159.60
2720006600,DRSG .5IN 12X8IN ADHES PAD SIL GEL NONSTRL TOPIFOAM FOAM,61.75
6360015800,DRSG 10X8IN BL MX MSH BIODGR WND BOVN COLGN GAG POLYSIL,5.65
6360015800,DRSG 5X4CM MTRX MSH BILAYER WND,580.93
6360016400,DRSG 5X4CM MTRX WND ACLR COLGN MTRX,305.24
2720006600,DRSG 5X5IN ADH HYDRCL WTRPRF PERF POLYURE STRL LATEXFR ALVN,18.19
2720006600,DRSG 8CM SIN NASAL BIORESBL SOL FIRM NASOPORE FOAM,378.97
2720006600,DRSG ABSORB HEMOST WND 3GM,313.50
6360016400,DRSG BOV COLGN 10X8IN ADH BL MX FLEX GAG POLYSIL LATEXFR,47.02
2720006600,DRSG BRN 1PC ABSORB FLLY 6X9IN NONADH ANTISHEAR LYR LATEXFR,14.01
2720006600,DRSG BRN 4INX6IN 1 PC FLLY ABSORB NONADH ANTISHEAR LYR,29.93
2720006600,DRSG BRN PREVENA 20CM INCSN PTCH STRIP,560.50
2720003600,DRSG CLU OXID ABSORB HEMOST BIONERT ARISTA MCPRS PLSCH,494.00
2720006500,DRSG DEBRISOFT 10X10IN ANG TIP SFT WND POLY POLYACRYLIC,27.88
2720006500,DRSG DEBRISOFT 10X10IN ANG TIP SFT WND POLY POLYACRYLIC,27.56
2720006600,DRSG HEMOBAND WHT NONSTRL 14IN PRESS ADJ MLD THERMPLS,12.92
2720006600,DRSG HEMOST MRDH 2X2IN,484.50
2720006600,DRSG HEMOST MRDH 4INX4IN STRL,"1,936.48"
6360015800,DRSG MTRX 2X2CM MSH BILAYER WND,903.77
6360016300,DRSG MTRX 2X2IN ADH BL FLEX BOVN COLGN GAG POLYSIL LATEXFR,447.34
6360016300,DRSG MTRX 5X4IN ADH BL FLEX BOVN COLGN GAG POLYSIL LATEXFR,263.54
6360016300,DRSG MTRX 5X4IN ADH THIN BOVN COLGN GAG POLYSIL LATEXFR,138.74
6360015800,DRSG MTRX WND 4X10 BILAYER,571.19
2720006600,DRSG NASAL DISSOLVABLE RP RHN STAMMBERGER SINU-FOAM,148.20
2720006600,DRSG SENSATRAC PAD LG DRPE HYDRPHB FLX OPEN,99.50
2720006600,DRSG SENSATRAC PAD SM DRPE HYDRPHB FLX OPEN,65.38
2720003800,DRSG SFGRD 24CM PRESS HEMOS MGMT PT CMFT EZ TO USE SMPL TO,115.46
2720006600,DRSG TEFLA 3X.75IN WND,21.00
2720006600,DRSG THK1.5CM XL 60X30CM SENSATRAC PAD DRAPE HYDRPHB FL,205.65
2720006600,DRSG THK1.6CM THN 26X15CM 10 PACK,82.44
2720006600,DRSG THK1CM LG 15X10CM SENSATRAC PAD DRPE HYDRPHB FLX,105.18
2720006600,DRSG THK1CM SM 10X7.5CM SENSATRAC PAD DRPE HYDRPHB FLX,90.97
2720006600,DRSG THK3.3CM LG 26X15CM DRAPE SENSATRAC PAD POLYURE VAC GFM,105.46
2720006600,DRSG THK3.3CM LG 26X15CM SENSATRAC PAD DRAPE FLEX CONTR,139.04
2720006600,DRSG THK3.3CM LG 26X15CM SENSATRAC PAD DRP HYDRPHB CNST,109.73
2720006600,DRSG THK3.3CM MED 18X12.5CM SENSATRAC PAD DRAPE FLEX CONTR,114.90
2720006600,DRSG THK3.3CM MED 18X12.5CM SENSATRAC PAD DRAPE FLEX CONTR,129.59
2720006600,DRSG THK3.3CM MED 18X12.5CM SENSATRAC PAD DRP HYDR LATEXFR,90.97
2720006600,DRSG THK3.3CM SM 10X7.5CM OPEN PORE HYDRPHB NEG PRESS,73.44
2720006600,DRSG THK3.3CM SM 10X7.5CM SENSATRAC PAD DRPE HYDRPHB FLX,72.22
2720006600,DRSG TRNS 10X8CM FOAM POSTOP VSB BACT PRF ABSORB PAD ADH,5.13
2720006600,DRSG TRNS 10X8CM FOAM POSTOP VSB BACT PRF ABSORB PAD ADH,62.22
2720006600,DRSG TRNS 15X10CM ABSORB ADH HI CONFRM WTR PRF BACT PRF OPS,6.93
2720006600,DRSG TRNS 15X10CM ABSORB ADH HI CONFRM WTR PRF BACT PRF OPS,7.01
2720006600,DRSG TRNS 20X10CM FOAM POSTOP WTR AND BACT PRF ABSORB PAD,8.57
2720006600,DRSG TRNS 20X10CM FOAM POSTOP WTR AND BACT PRF ABSORB PAD,8.67
2720006600,DRSG TRNS 8.5X6IN FIX MEFIX STRL,12.99
2720006600,DRSG VAC GRANUFOAM AB NONADHERENT LAYER SYS,624.66
2720006600,DRSG WND 1.5X8IN JUMP START ANTIMICROBIAL,36.10
2720006600,DRSG WND 2X5IN JUMP START ANTIMICROBIAL,30.40
2720006600,DRSG WND ABTHERA SENSAT RAC GRNFM VAC ABD VSCR PCTV LYR,685.22
2720006200,DRUG HEMOST FLEX TP EVICEL 45CM,68.46
2720003800,DRVR GRAVITY NDL,598.50
2720003800,DSCT 19CM 4.2CM HIP LGTH SURG STRL,125.40
2720003200,DSCT 19CM 4.2MM CRV HIP LGTH SURG STRL DISP,125.40
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,1.79
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,21.70
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,24.39
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,31.31
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,1.81
2720006200,DSCT LAPSCP BLNT TIP ROT INSL SHFT 40CM 5MM ENDPTH STRL DISP,32.23
2720006200,DSCT LAPSCP DUAL ACT JAW IMPRV TIP DSGN 33CM 5MM PKS OM,"1,073.50"
2720003800,DSCT LAPSCP US HANDPC 26CM SONICISION DISP,670.23
2720003800,DSCT LAPSCP US HANDPC 26CM SONICISION DISP,190.63
2720003800,DSCT THORSCP ARTIC TIP TRNIL 27CMX8MM WOLF LUMITIP,"3,625.20"
2720006400,ELCTRD 1MM 7CM MONOPOLAR FLEX COAGULATING,428.26
2720006400,ELCTRD 30D 24FR CUT LOOP TURP RESSCOPE CYSSCOPE ESURG STRL,268.04
2720006200,ELCTRD 90D 3.75MM WND CABLE SUCT ARTH ESURG AWND SUP TRBVC,156.20
2720006200,ELCTRD 90D 3.75MM WND CABLE SUCT ARTH ESURG AWND SUP TRBVC,381.62
2720006200,ELCTRD ABLAT NVSR ENDO-MTRL KIT RF,"2,191.33"
2720005100,ELCTRD BALL 317.5MM 11.13MM FLT TRANSCOLLATION TECH ENDOFB,"1,931.16"
2720006400,ELCTRD BIPLR 24FR LOOP CUT STRL LATEXFR DISP,360.95
2720006200,ELCTRD BIPLR 5FR VRSPNT 0D VAPORIZE TIP,658.92
2720006200,ELCTRD BIPLR 5FR VRSPNT IU ANG LOOP RESSCOPE STRL DISP,856.98
2720006400,ELCTRD BIPLR YEL 24-26FR BALL COAG 27005BA FA HPKN2 TLSCOPE,791.08
2750000700,ELCTRD DEFIB EMBLEM S-ICD SQ1 CONN COIL INS STRL DISP,"7,980.00"
2720005100,ELCTRD EEG 4 CNTCT SS SBDRL,689.70
2750000700,ELCTRD EMBLEM MRI S ICD,"7,980.00"
2720005100,ELCTRD EMG 13MM SGL 2.5MR 27GA,0.83
2720005100,ELCTRD EMG 2 2.7CM SGL 2.5MR,0.28
2720005100,ELCTRD EMG I-PAS III BEVL STRL,"1,132.40"
2720005100,ELCTRD EMG I-PAS III DMND DISP NONSTRL LATEXFR,285.00
2720005100,ELCTRD EMG NDL REC NIM SBDRM,790.02
2720005100,ELCTRD EMG NM RSPN 18MM NDL PRCT LEAD DISP STRL,130.34
2720005100,ELCTRD EMG NM RSPN 2 CHNL PR SBDRM DISP STRL LATEXFR,111.15
2720005100,ELCTRD EMG NRVSN M5 15MM NDL MOD PROBE,807.50
2720005100,ELCTRD EMG SUNSPOTS 13MM SBDRM 27GA AST,0.83
2720006400,ELCTRD ENDOSCP 24/26FR BIPLR CUT LOOP,831.19
2720006200,ELCTRD ESURG 105CM 2MM COAG ACT CORD BALL END MAIN BD,373.27
2720003800,ELCTRD ESURG 10FT PEN ROCKER SW HANDSWH DISP STRL,9.60
2720003800,ELCTRD ESURG 11IN 5MM ABC PROBE HANDSWH CABL LAPSCP 10FT,189.59
2720003800,ELCTRD ESURG 11IN 5MM ABC PROBE HANDSWH CABL LAPSCP 10FT,594.85
2720006400,ELCTRD ESURG 12CM 24-28FR HFRQ ROLLR BALL,241.11
2720003800,ELCTRD ESURG 12CM 6.4FR STRB XLI SHRT ENH 4-7CM STRL DISP,"3,391.50"
2720003800,ELCTRD ESURG 15CM 6.4FR STRB XL 9 ARY TROC TIP NDL PROBE,"3,193.90"
2720003800,ELCTRD ESURG 15CM 6.4FR STRB XL CABLE,"3,391.50"
2720003800,ELCTRD ESURG 15CM ISLTR SYNGRY LNG PEN DRW,"3,676.50"
2720003800,ELCTRD ESURG 15X8MM PROCPAK TUNG RADS LOOP HEX LOCK,21.64
2720003800,ELCTRD ESURG 2.5CM LG MX HANDSWH 23CMX3-5MM LS3090 STRL,553.93
2720006200,ELCTRD ESURG 2.5MM SERFAS ENRG PROBE AARDVARK,343.20
2720006200,ELCTRD ESURG 2.5MM SERFAS ENRG S JNT MICRO BRUSH PROBE,343.20
2720003800,ELCTRD ESURG 22FR LOOP WIRE STRL DISP,125.97
2720003800,ELCTRD ESURG 22FR LOOP WIRE STRL DISP,134.33
2720005100,ELCTRD ESURG 22MM NIM NDL TWST PR STRL DISP,829.92
2720006400,ELCTRD ESURG 24-28FR 12D 90D LOOP RESSCOPE NDL STRL DISP,241.11
2720003800,ELCTRD ESURG 24-28FR 45D HFRQ GYN/URO STRL DISP,241.11
2720003800,ELCTRD ESURG 24-28FR MULTRID BRL,273.87
2720003800,ELCTRD ESURG 24-28FR MULTRID BRL,301.34
2720006400,ELCTRD ESURG 24FR 12D MED LOOP HFRQ RESSCOPE ARTH,"1,077.30"
2720006400,ELCTRD ESURG 24FR LOOP,897.75
2720006400,ELCTRD ESURG 24FR MED CUT LOOP HFRQ STRL DISP,964.25
2720003800,ELCTRD ESURG 25.5-27FR LG ROLLR BALL RESSCOPE STRL DISP,234.46
2720003800,ELCTRD ESURG 25.5-27FR LG ROLLR BALL RESSCOPE STRL DISP,193.34
2720003800,ELCTRD ESURG 25.5-27FR LG ROLLR BALL RESSCOPE STRL DISP,241.68
2720006400,ELCTRD ESURG 26FR 30D LOOP RESSCOPE,268.04
2720006200,ELCTRD ESURG 28CM CORD SNAP IN RDG GR SRFC DISP LIGXTD STRL,"5,827.11"
2720006200,ELCTRD ESURG 29CM 5MM ENDPTH PROBE +2 CRV SPAT HLW TIP,39.72
2720006200,ELCTRD ESURG 29CM 5MM ENDPTH PROBE +2 CRV SPAT HLW TIP,52.79
2720006200,ELCTRD ESURG 3.5MM 50D SERFAS ENRG PROBE SUCT ART,297.73
2720006400,ELCTRD ESURG 30D BUTN HFRQ,"1,008.33"
2720003800,ELCTRD ESURG 32CM 5MM SPAT STEALTH SUCT IRR STRL DISP,49.14
2720003800,ELCTRD ESURG 32CM 5MM SPAT STEALTH SUCT IRR STRL DISP,46.89
2720006200,ELCTRD ESURG 32CM 5MM STRKPRB L PROBE SPAT,254.89
2720003800,ELCTRD ESURG 32CM 5MM UNIV + LHK STELTH COAT SUCT IRR LUM,49.13
2720003800,ELCTRD ESURG 32CM 5MM UNIV + LHK STELTH COAT SUCT IRR LUM,46.89
2720003800,ELCTRD ESURG 33CM 5MM PKS PLASMA J-HOOK PROBE RF LAPSCP,"2,850.00"
2720006200,ELCTRD ESURG 34CM 5MM ENDPTH PROBE +2 5MM HANDCNTL PSTL GRP,75.97
2720006200,ELCTRD ESURG 34CM 5MM ENDPTH PROBE +2 5MM HANDCNTL PSTL GRP,100.96
2720006200,ELCTRD ESURG 34CM 5MM ENDPTH PROBE +2 5MM HANDCNTL PSTL GRP,106.00
2720006200,ELCTRD ESURG 34CM HLW TIP WIRE PROBE DISP ENDPTH LATEXFR,39.72
2720006200,ELCTRD ESURG 34CM HLW TIP WIRE PROBE DISP ENDPTH LATEXFR,52.79
2720006200,ELCTRD ESURG 34CM HLW TIP WIRE PROBE DISP ENDPTH LATEXFR,55.44
2720006200,ELCTRD ESURG 45D BALL COOLCUT STRL S JNT ABLAT RF WND,218.50
2720003800,ELCTRD ESURG 45D NDL CABLE 12D 30D TLSCOPE SP GEN STRL,968.66
2720006200,ELCTRD ESURG 4MM VAPR 90D PROBE INTGR CABLE STRL DISP,503.50
2720003800,ELCTRD ESURG 6.1CM 6MM ISLTR SYNGRY EXTRA CRV V2,"6,243.40"
2720003300,ELCTRD ESURG 6.1CM 6MM V2 EXTRA CRV REPR,"2,147.95"
2780007100,ELCTRD ESURG 6IN NDL MOD EXTND STRL DISP,9.62
2720006200,ELCTRD ESURG 90D 40MM VAPR STRL DISP SUCT REPR,114.27
2720006200,ELCTRD ESURG 90MM 3.5MM SERFAS ENRG 90D PROBE SUCT ART,270.86
2720003800,ELCTRD ESURG BLK 105CM 3FR BUGBEE LTP STRL DISP,207.10
2720003800,ELCTRD ESURG BLK 11CM 3MM UTAHBALL SHFT STRL DISP,28.50
2720006200,ELCTRD ESURG BLK 3MM SCULPTOR 90D KNEE SHLDR ABLAT SUCT ARTH,57.19
2720006200,ELCTRD ESURG BLUE TCS KNEE SHLDR ANG PROBE STRL DISP,668.33
2720006400,ELCTRD ESURG BRN 1.2MM 27/28FR VAPORCUT 1.2MM BAND,170.68
2720006400,ELCTRD ESURG BRN 3MM 27/28FR 3MM COAG BALL STRL,120.02
2720006400,ELCTRD ESURG BRN 5MM BALL SHP COAG STRL DISP,335.03
2720006400,ELCTRD ESURG BRN COAG KNF PNT DISP CLN STRL URO 27FR,107.57
2720006400,ELCTRD ESURG BRN COAG KNF PNT DISP CLN STRL URO 27FR,120.02
2720006200,ELCTRD ESURG CBLTR PROCISE XP TNSL ADND STRL,505.40
2720006200,ELCTRD ESURG CBLTR RFLX UL 45 WND SUCT,463.60
2720003300,ELCTRD ESURG CRDBLT BP2 CV BIPLR STRL DISP,"5,880.50"
2720006400,ELCTRD ESURG CUT MED LOOP HFRQ 24F,"4,843.29"
2720003800,ELCTRD ESURG GRN 11CM SFTGG RND LOP SHFT 12X15MM STRL DISP,28.50
2720006200,ELCTRD ESURG GRN LG CHSL SHLDR KNEE HIP S JNT PROBE CRV,297.26
2720003800,ELCTRD ESURG LIGXTD SNAP IN RDG GR SRFC CORD,376.43
2720003800,ELCTRD ESURG LIGXTD SNAP IN RDG GR SRFC CORD,444.38
2720006400,ELCTRD ESURG LOOP 24/26FR .3MM ORNG YEL CUT BIPLR LGTDNL,831.19
2720006400,ELCTRD ESURG LOOP 24/26FR YEL CUT BIPLR 27005FA/BA HPKN,"1,007.32"
2720003800,ELCTRD ESURG NDL CRV TROFLEX LATEXFR,831.12
2720006200,ELCTRD ESURG OPES COOLCUT 90D ASP ABLTR STRL DISP,332.50
2720003800,ELCTRD ESURG PEN 19CM ISLTR TRNSPLR MULTFNC LNR ABLAT,"3,420.00"
2720006400,ELCTRD ESURG PLASMABUTTON HFRQ RESCT LOOP NDL STRL DISP,938.79
2720003800,ELCTRD ESURG PLASMABUTTON LG HFRQ RESCT LOOP CABLE 12D,901.85
2720006400,ELCTRD ESURG PLASMABUTTON LG LOOP 30D TLSCOPE,901.85
2720006400,ELCTRD ESURG PLASMABUTTON LNG HFRQ ROLLR RESCT STRL DISP,964.25
2720006400,ELCTRD ESURG PLASMABUTTON OVAL HFRQ RESCT LOOP CABLE 12D,"1,038.83"
2720006400,ELCTRD ESURG PLASMA-OVALBUTTON LNG HFRQ ROLLR RESCT STRL DISP,"1,115.78"
2720006400,ELCTRD ESURG PLASMA-OVALBUTTON SM LNG HFRQ ROLLR RESCT STRL,967.01
2720006200,ELCTRD ESURG PROCISE INTGR,535.80
2720003800,ELCTRD ESURG RED 11CM 5MM UTAHBALL BALL STRL DISP,28.50
2720003800,ELCTRD ESURG TN 11CM 8MM LETZ UTAHLOOP SHFT 8X25MM STRL DISP,28.50
2720006200,ELCTRD ESURG VAPR LDS S90 W HANDCNTRL,644.10
2720006200,ELCTRD ESURG VAPR PRM 90,570.00
2720003800,ELCTRD ESURG WHT 11CM UTAHLOOP SFTGG RND LOOP SHFT,28.50
2720006400,ELCTRD ESURG WHT 22FR 3MM ROLLR BRL END STRL DISP,348.33
2720003800,ELCTRD ESURG WHT 2IN EPTM FN WIRE STD SHFT STRL DISP,15.75
2720006400,ELCTRD ESURG YEL 1.2MM 24FR VPR CUT URO BAND STRL,170.68
2720003800,ELCTRD ESURG YEL 10X10MM SFTGG RND LLETZ LOOP SHFT 11CM,28.50
2720006400,ELCTRD ESURG YEL 24-26FR CLN URO COAG PNT STRL DISP,256.12
2720006400,ELCTRD ESURG YEL 24FR RESCOPE COAG PNT CUT LOOP STRZ TUR,254.92
2720006400,ELCTRD ESURG YEL 3MM 24-26FR 3MM BALL COAG STRL,206.44
2720006400,ELCTRD ESURG YEL 3MM 24-26FR 3MM BALL COAG STRL,120.02
2720006400,ELCTRD ESURG YEL 5MM 24-26FR URO BALL COAG STRL DISP,206.44
2720006400,ELCTRD ESURG YEL 5MM 24-26FR URO BALL COAG STRL DISP,310.97
2720006400,ELCTRD ESURG YEL MAXI CUT LOOP STRL,315.08
2720006400,ELCTRD ESURG YEL MAXI CUT LOOP STRL,163.08
2720006200,ELCTRD FRNT LD SUP LOOP GYRUS 4MM,968.66
2720006200,ELCTRD GOLD LOOP 5MM MONOPOLOR,665.00
2720006400,ELCTRD HF LONG BIPOLAR LOOP,"2,314.20"
2750000700,ELCTRD LEAD 4MM 45CM Q-TRAK,"8,835.00"
2720003800,ELCTRD MONOPLR .45IN .138IN DS3.5-C 10D TISS DISECT SLR SP,"1,931.16"
2720005100,ELCTRD MS MEP NRVSN NDL MOD,"1,140.00"
2720005100,ELCTRD NDL 1.5MR PR SBDRM 13MM .4M GRP 1 DISP STRL AST,1.90
2720003300,ELCTRD NDL 2.5MR PR SBDRM RHYTHMLINK,17.02
2720003300,ELCTRD NDL CORKSCREW 1.5MR STRL RHYTHMLINK,17.02
2720003300,ELCTRD NDL SBDRM 1.5MR 13MM .4M PR STRL RHYTHMLINK,76.00
2720005100,ELCTRD NEUROSTIM CRKSCR,553.28
2780006800,ELCTRD SNSR DBL STARLING SV CHEETAH,304.00
2780007100,ELCTRD STRB XLI 25CM 6.4FR TROC TIP STRL DISP,"7,068.00"
2720006400,ELCTRD WOLF BIPOLAR LOOPS 3CT STRL DISP,683.37
2780007100,ELEV SURG SPNL CORD STM SYS,111.15
2780010300,ELMNTR HL DURLOC PINCL HIP MARTHN POS STOP APX,51.30
2720006400,ELTRD ESURG COAG 3FR STRL BALL TP,168.72
2780000200,END CAP TI 22MM 18MM RND 8D X-CORE PARA,"1,525.34"
2780000200,ENDCAP 16MM 4D ROUND 016 TI X-CORE 2,"1,525.34"
2780000200,ENDCAP 16MM RND PARA X-CORE EXPND VBR,"1,895.25"
2780000200,ENDCAP DYNANAIL LTX FREE,940.50
2780000200,ENDCAP LORD BTM 17X14MM XCORE,"1,895.25"
2780000200,ENDCAP PARA 14X17MM XCORE,"1,895.25"
2780000200,ENDCAP SPNL 15X12MM BTM 7 DEGR,"1,520.00"
2780000200,ENDCAP SPNL 15X12MM PARALLEL X-CORE,"1,520.00"
2780000200,ENDCAP SPNL 17MM 14MM 7D TI TOP 12MM COR,"1,895.25"
2780000200,ENDCAP SPNL 18MM VLIFT 0D TI MOD OPEN SNAP XTRN MTL SPK,466.34
2780000200,ENDCAP SPNL 22MM 40MM 12D LRDTC X-CORE II,"2,098.91"
2780000200,ENDCAP SPNL 22MM 40MM 4D X-CORE II,"2,098.91"
2780000200,ENDCAP SPNL 22MM 40MM LRDTC 8D X-CORE II,"2,098.91"
2780000200,ENDCAP SPNL 22MM 40MM X-CORE II 0D,"2,098.91"
2780000200,ENDCAP SPNL PARA 19MMX16MM XCORP 14MM CORE INTRBDY FUSN,"1,895.25"
2780000200,ENDCAP SPNL X-CORE ROUND 14MM PARALLEL USE W/12M,"1,895.25"
2780000200,ENDCAP T2 4MM 8MM ANKL INS STRL ARTHRODESIS NAIL,501.09
2780000200,ENDCAP T2 TI +5MM 12MM ANK LOCK STRL,541.69
2780000200,ENDCAP TI 22MM RND 0D X-CORE,"1,525.34"
2780000200,ENDCAP X-CORE 18X18X30MM 4D SPNL,"2,098.91"
2780000200,ENDCAP X-CORE 18X22MM RING,"1,520.00"
2780000200,ENDCAP X-CORE 18X22MM RING 8D,"1,520.00"
2780000200,ENDCAP X-CORE 18X22X30MM RING 4D,"2,098.91"
2780000200,ENDCAP X-CORE 18X26MM RING 0D,"1,520.00"
2780000200,ENDCAP X-CORE 18X26MM RING 8D,"1,520.00"
2780000200,ENDCAP X-CORE 18X30MM RING 0D,"3,032.40"
2780000200,ENDCAP X-CORE 18X30MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 18X30MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE 18X40MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 18X40MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE 18X50MM RING 0D,"3,032.40"
2780000200,ENDCAP X-CORE 18X50MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 18X50MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE 22X26MM RING 0D,"1,520.00"
2780000200,ENDCAP X-CORE 22X26MM RING 8D,"1,520.00"
2780000200,ENDCAP X-CORE 22X30MM RING 0D,"1,520.00"
2780000200,ENDCAP X-CORE 22X30MM RING 8D,"1,520.00"
2780000200,ENDCAP X-CORE 22X40MM RING 0D,"3,032.40"
2780000200,ENDCAP X-CORE 22X40MM RING 12D,"3,032.40"
2780000200,ENDCAP X-CORE 22X40MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 22X40MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE 22X50MM RING 0D,"3,032.40"
2780000200,ENDCAP X-CORE 22X50MM RING 12D,"3,032.40"
2780000200,ENDCAP X-CORE 22X50MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 22X50MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE 22X60MM RING 0D,"3,032.40"
2780000200,ENDCAP X-CORE 22X60MM RING 12D,"3,032.40"
2780000200,ENDCAP X-CORE 22X60MM RING 4D,"3,032.40"
2780000200,ENDCAP X-CORE 22X60MM RING 8D,"3,032.40"
2780000200,ENDCAP X-CORE II 18X18X40MM 4D SPNL,"2,098.91"
2780000200,ENDCAP X-CORE II 18X18X40MM 8D SPNL,"2,098.91"
2780000200,ENDCAP X-CORE II 18X18X50MM 0D SPNL,"2,098.91"
2780000200,ENDCAP X-CORE II 18X18X50MM 4D SPNL,"2,098.91"
2780000200,ENDCP SPNL 17X14MM 14MM X-COR 7D LRDTC TOP,"1,895.25"
2780000200,ENDCP SPNL 19X16MM 14MM X-COR 7D BTM,"1,895.25"
2780000200,ENDCP SPNL 22MMX16MM 22MM PRMSH 0D TI,855.00
2780000200,ENDCP SPNL T2,482.35
2780000200,ENDRING SPNL 15MM SNMSH 0D TI LUMBR INTRBD FUS RND NONSTRL,376.20
2780000200,ENDRING SPNL 15MM SNMSH 2.5D TI PRSFT RND NONSTRL,376.20
2780000200,ENDRING SPNL 32MM 12MM SNMSH TI LUMBR INTRBD FUS RND CYL,"2,967.80"
2780011700,ENV DEFIB MED 2.7X2.5IN POLYARYLATE MINOCYCLINE,"1,890.50"
2780007600,ENV TISS 5.4X5CM CORMATRIX CANGAROO ECM SM PORC SFT,"2,460.50"
2780007600,ENV TISS 6.9X8CM CORMATRIX CANGAROO ECM LG PORC,"2,460.50"
2780007600,ENV TISS 6.9X9.5CM CORMATRIX CANGAROO ECM XL PORC SFT,"2,460.50"
2780000200,EPLT LOWER SPNL 14X16MM 7D FORTIFY,"1,140.00"
2780000200,EPLT SPNL 12MM SQ NONANGLED,703.00
2780000200,EPLT SPNL 12MM VUMESH 5D LG DIA SQ,782.80
2780000200,EPLT SPNL 14MM 14MM VUMESH 7.5D LG DIA SQ SQ,811.30
2780000200,EPLT SPNL 14MM VUMESH 0D LG DIA SQ SPINE,727.70
2780000200,EPLT SPNL 14MM VUMESH 2.5D LG DIA SQ,727.70
