"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
134172,"INT REP LAC 7.6 -12.5 CM FACE,EARS,NOSE",923
134214,BURN INITIAL 1ST DEGREE,195
134216,SMALL BURN DRESS/DEBRIDE,293
134218,MEDIUM BURN DRESS/DEBRIDE,449
134222,DESTRUCTION OF BENIGN LESION,329
134224,CHEMICAL CAUTERIZATION GRAN TISSUE,490
133310,PUNCTURE ASPIRATION-BREAST,755
133316,"MAMM BREAST BX W STEREO GUIDE, 1ST","5,058"
133320,"MAMM BREAST BX W US GUIDE, 1ST","5,308"
133336,MAMM BREAST INSERT W US GUIDE 1ST,"1,786"
133344,BIOPSY MUSCLE PERCUTANEOUS,"1,810"
135306,TRIGGER POINT INJ 1 OR 2 MUSCLE,257
134244,ASPIRATE/INJECT MINOR JOINT,257
135312,ASPIRATE/INJECT MAJOR JOINT,259
134260,CLSD TX TEMPOROMANDIBULAR DISLOC INIT OR SUB,672
132918,CT BACK SOFT TISSUE DEEP BIOPSY,"3,909"
132924,INJ/SHOULDER ARTHOGRAPHY,856
134296,CLSD TX SHOULDR DISLOC W MAN WO ANES,999
134298,CLSD TX SHOULDR DISLOC,"1,418"
134310,CLSD TX HUMERAL SHAFT FX W/O MANI,"1,236"
134326,CSLD TX ELBOW DISLOC W/O ANESTH,"1,111"
134332,CLSD TX RDL HEAD NURSEMAID ELBOW W/MAN,515
132926,INJ PROC FOR WRIST ARTHROGRAPH,"1,003"
134360,CLSD TX RAD/ULN FX W MAN,"1,642"
134364,CLSD TX DISTAL RADIAL FX W MAN,"1,712"
134384,ABSCESS DRAIN FINGER SIMPLE,"1,089"
134404,CLSD TX METACARPAL FX SGL W MAN,"1,117"
134414,CLSD TX PHAL SHAFT FX PROX/MID W/O MAN,713
134416,CLSD TX PHAL SHAFT FX PROX/MID W MAN W OR WO TRCTN,"1,117"
134426,CLSD TX DIST PHAL FX W MAN,"1,047"
134428,CLSD TX INTERPHAL DISLOC W/MANIP W/O ANES,870
134430,AMP FINGER/THUMB SNGL DRCT CLOSE,"2,777"
132928,INJ/HIP ARTHROGRAPHY W/O ANESTHIA,"1,335"
134452,CLSD TX POST HIP ARTHROPLASTY DISLOC W/O ANES,"1,146"
134490,CLSD TX PATELLAR DISLOC W/O ANESTH,"1,176"
134498,CLSD TX TIBIA SHAFT FX W MAN W OR WO TRCTN,"1,650"
134504,CLSD TX PROXIMAL FIBULA OR SHFT FX WO MAN,"1,084"
134510,CLSD TX DISTL FIBULA FX W MAN,623
134514,CLSD TX BIMALLEOLAR ANKLE FX W/MAN,"1,484"
134518,CLSD TX TRIMALLEOLAR ANKLE FX W/MAN,"1,491"
134526,CLSD TX ANKLE DISLOC W/O ANESTH,"1,084"
134528,"FB REM OF FOOT, SUB","1,701"
134548,CLSD TX METATARSAL FX WO MAN EA,785
134550,CLSD TX METATARSAL FX W MAN EA,672
134558,CLSD TX TOE FX W MAN EA,623
134570,CLSD TX INTERPHALANGEAL JT DISLOC WO,630
134578,APP LONG ARM SPLINT SHOULDR TO HND,301
134580,APP SHORT ARM SPLINT FOREARM TO HND,251
