"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
88222,CRYSTAL BODY FLUID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,41,89060
88225,DOUBLE STRANDED DNA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,0,
88229,FSH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,22.22,83001
88230,CHROMOSOME ANALYSIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,88230
88231,LH (LUTEINIZINE HORMONE) IP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,70,83002
88232,B2 MICROGLOBULIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,25.75,82232
88235,RIBONUCLEIC PROTEIN ANTIBODY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,309,124,86235
88239,BILE ACIDS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,56.5,82239
88240,VON WILLEBRAND FACTOR (VWF),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,173.37,8524790
88244,RENIN ACTIVITY PLASMA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,28.86,84244
88245,FACTOR VIIIM AHG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,12,8524590
88246,FACTOR VII VW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,12,8524690
88248,BILIRUBIN BLD NEONATAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,301,113,82247
88252,VIRAL CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,22.4,87252
88254,DC-CMV VIRAL CULTURE  RAPID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,34.91,87252
88255A,ENDOMYSIAL AB TITER IGA+IGG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,93.34,86255
88257,BUN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,301,30,84520
88260,SEROTONIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,155.4,84260
88260F,FACTOR X INHIBITOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,225,85335
88266,GLUCOSE ACCUCHECK QUANTITATIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,301,81,82947
88270,JAK-2 MUTATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,325,81270
88290,FACTOR XIII INHIBITOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,0,
88299,VORICONAZOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,183,80299
88299A,TRILEPTAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,71,80299
88300,SODIUM-24 HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.76,84300
88301,VG-CSF CULTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,237,87070
88302,PROTEIN C ANTIGEN IP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,30.6,85302
88302A,SODIUM  STOOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,14.73,84302
88305,ASPERGILLUS GALACTO ANTIGEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,105,87305
88305A,INSULIN-LIKE GF 1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4680,309,57.21,84305
88306,25-OH VITAMIN D,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,20,82306
88306A,PROTEIN S,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,25.2,82306
88307,ACTIVATED PROTEING C RESISTANCE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,94.78,85307
88308,CALCITONIN  SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,41.35,82308
88312,PNEUMOCYSTIS CARINII STAIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,84,87281
88316,CHROMOGRANIN A,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,24.6,86316
88317,PNEMOCOCCAL ANTIBODY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,124.95,86317
88318,CO2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,301,31,82374
88320,CHLAMYDIA TRACHOMATIS ANTI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,58.65,87320
88330,IONIZED CALCIUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,82330
88331,IMMUNODIFFUSION (ID),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,86331
88333,DC-HEPATITIS B CORE AB TTL IP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,18.29,86704
88335A,IMMUNOFIX URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,38.59,86335
88335F,FACTOR VIII INHIBITOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,0,
88338,H.PYLORI STOOL ANTIGEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,102.3,87338
88340,INTRINSIC FACTOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,76.49,86340
88340A,CALCIUM-24 HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.76,82340
88362,FIBRIN SPLIT PRODUCTS (FDP),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,39.78,85362
88376,THYROID ANTIBODIES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,40.64,8637690
88376A,LIVER KIDNEY MICROSOMAL AB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,60,86376
88379,CARNITINE TOTAL AND FREE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,137.86,82379
88397,ADAMTS13 ACTIVITY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,168,85397
88420,AFB CULTURE AND SMEAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,35.79,87015
88430,THIOCYANATE SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,48,84430
88436,CHLORIDE  24HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,8.55,82436
88438,CHLORIDE  STOOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,16.63,82438
88449,LEGIONELLA PNEUMOPHILA URINARY ANTI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,106.53,87449
88460,KLIEHAUER-BETKE (FMH),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,42.8,85460
88466,TRANSFERRIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,17.74,84466
88480,QUANTIFERON-TB GOLD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,132,86480
88497,5-HYDROXYINDOLE ACETIC ACID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,11.2,83497
88497C,CYTOMEGALOVIRUS DNA  QUANT RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,306,87497
88498,17 OH PROGRSTERONE  ACTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,84144
88498A,ENTEROVIRUS (CSF),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,314,86658
88505,CPK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,301,40,82550
88516,ANTI-GBM ANTIBODY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,135.78,83520
88516A,GLIADIN ANTIBODY IGA  IGG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,20.54,83516
88516B,ACTIN (SMOOTH MUSCLE) ANTIB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,23.85,83516
88516C,ANTIPARIETAL CELL AB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,54.83,86255
88516D,TISSUE TRANSGLUTAMINASE (TTG),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,110,83516
88516E,TISSUE TRANSGLUTAMINASE IGG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,110,83516
88519,TRYPSIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,121,83519
88519A,GAD ANTIBODY 65 AB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,86341
88519B,UNKNOWN-BLANK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,732.5,83519
88520,ANCA PROFILE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,65.1,83520
88520A,ANTIMYELOPERIXIDASE ABS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,66.93,83520
88520B,ANTIPROTEINASE 3 ABS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,66.93,83520
88520C,TSH-R AB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,118,83520
88520D,INSULIN GF 3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4680,309,96.09,82397
88520N,NEUROMYELITIS OPTICA  IGG AUTO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,636.25,83520
88520X,HEPARIN ANTI-XA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,166.74,85520
88522,HEPATITIS C RNA QUATITATIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,87522
88525,ISLET ANTIBODY DYSFUNC GRP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,84,86341
88525C,COPPER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,15.76,82525
88529,HERPES(HSV) TYPE1-2 DNA PCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,57,87529
88530,FREE CORTIS24HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,82530
88536,(HIV-1)  QUANTI R-TIME PCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,125,87536
88540,UREA NITROGEN  24-HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.76,84540
88542,LEVETIRACETAM SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,65.25,80299
88542A,ZONEGRAM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,80299
88543,QD-GIARDIA lAMBIA ABS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,71.75,8667490
88544,QD-ALLERGEN-OAK IGE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,9,8600390
88546,QD-ENTAMOEBA HISTOLYTICA IGG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,54.25,86753
88547,QD-MYELOPEROXIDASE ANTIBODY/PROTERINASE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,200,86021
88548,"QD-TOXOCARA ANTIBODY, ELISA",VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,46.75,86682
88552,CPK ISOENZYMES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,82552
88560,URIC ACID BF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.51,84560
88570,QD-CREATINE;OTHER SOURCE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,8257090
88586,VASOACTIVE INTESTIN POLY VIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,279,84586
88592,VDRL CSF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,29,86592
88592A,VDRL  SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,29,86592
88595,CRYOGLOBULIN QUALITATIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,26.42,82595
88597,ANTIPHOSPHOLIPID SYNDROME,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,0,
88600,VOLATILES BLOOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,22.03,84600
88600A, METHANOL BLOOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,68.25,84600
88600B,PROPYLENE GLYCOL  BLOOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,54,84600
88600D,CYANIDE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,68.8,82600
88610,MIXING STUDY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,37.18,85610
88611,BARTONELLA-HENSELLAE   IGG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,33,86611
88613,LUPUS ANTICOAGULANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,85730
88613A,DRVVT SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,29.04,85613
88617,LYME DISEASE  CSF WB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,235,87801
88618,LYME DISEASE ANTIBODIES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4680,309,61.86,86618
88627,QD-DHEA SULFATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,36.18,82627
88630,ZINC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,15.76,84630
88631,CHLAMYDIA ANTIBODIES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,105,86631
88635,COCCIDIODES ANTIBODIES CSF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.83,86635
88635A,COCCIDIODES ANTIBODIES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.83,86403
88658,COXSACKIE A VIRUS ANTI PROFILE  IGG  IGM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,253,86658
88671,SACCHAROMYCES CEREVISIAE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,240,86671
88677,H PYLORI 1GG ABS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,104.6,86677
88681,C-PEPTIDE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,32.48,84681
88690,LIPASE BF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,10.51,8369090
88693,ETHYLENE GLYCOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,67,82693
88695,LIPOPROTEIN (A),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,65,83695
88698,HISTOPLASMOSIS  SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,28.43,86698
88705,FECAL FAT QUALITATIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,22.11,87205
88709,DC-HEPATITIS A IGM AB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,16.86,86709
88735,MAGNESIUM-24 HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,15.64,83735
88780,TREPONEMA PALLIDUM(FTA-ABS),VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,17.3,86780
88798,NOROVIRUS RT-PCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4650,309,215,87798
88798A,BORDETELLAPERTUSIS PARAPERTUSIS DNA PCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,334,87070
88798B,0L-VARICELLA ZOSTER VIRUS DNA PCR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,402.5,86787
88799,MENINGOENCEPHALOMYELITIS S/F,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,1572,87498
88800,THYROGLOBULIN ANTIBODIES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,20.32,86800
88812,HLA-B27 ANTIGEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,31.26,8681290
88835,METANEPHRINES FRACTION-24,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,66.86,83835
88835A,METAANEPHRINES PLASMA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,131.44,83835
88851,SICKLE CELL SCREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,8.18,85660
88873,MYELIN BASIC PROTEIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,31.36,83873
88874,MYOBLOGIN URINE RANDOM OP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,13.62,83874
88874A,MYOGLOBIN  SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,15.34,83874
88883,FREE LIGHT CHAINS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,240,83883
88891,CYSTIC FIBROSIS PROFILE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,81220
88891A,FACTOR II(PROTHROMBIN) GENE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,158.56,81240
88891B,FACTOR V LEIDEN MUTATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,92.4,81241
88894,MOLECULAR DIAG SEPERATION BY GEL ELECTRO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,45,83894
88899,LACTIC ACID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,12.98,83605
88900,MOLECULAR DIAG AMP TARGET MULTIPLEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,160.56,83900
88904,VG-CULTURE URINE QTY COLON,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,115,87086
88905,VG-CULTURE URINE QTY COLON MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,115,87086
88916,OLIGOCLONAL BANDING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,200,83916
88919,ORGANIC ACIDS ANALYSIS URIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,379,83919
88921,METHYLMALONIC ACID SERUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,50.18,83921
88945,OXALIC ACID  RANDOM URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,19.21,83945
88955, GLUCOSE 6 PHOSPHATE DEHYDROGENASE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,21.1,82955
88999,OSMOLALITY  STOOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,24.15,84999
88999A,POTASSIUM  STOOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,14.73,84311
89135,AMINOLEVULINIC ACID 24HR URINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,80.54,82135
89379,D-DIMER QUALITATIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,305,144,85378
89429,URINE PREGNANCY TEST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,307,38,81025
89739,HANDLING FEE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,300,10,99001
89741,CHLAMYDIA TRACHOMATISS ANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,25.51,87320
89784,1GG CERVICAL SPINAL FLUID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,7.89,82784
90001,RT-EVAL/DEMO MED TX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,364,94664
90007,RT-AEROSOL INITIAL DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90027,RT-MED NEB ER (1 MAX P/DAY),VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90028,RT-SPUTUM INDUCTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90030,RT-EZPAP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90031,RT-IPPB INITIAL TREATMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90044,O2 PER HOUR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,70,
90047,SUCTION CATH 24 HR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,91.55,
90058,RT-INITIAL VOL VENT FIRST DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,2010,94002
90082,RT-AEROSAL CONT SUBSEQUENT DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,349.9,94644
90112,RT-IPPB TREATMENT SUSEQUENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90144,RESUSITATION BAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,110.55,
90182,RT-ENDOTRACHEAL INTUBATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,360,807,31500
90308,IPPB CIRCUIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,31.95,
9031B,BAD DEBT PAYMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,1009,B01,,
90403,VOLUME NEBULIZER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,8,
90405,VOLUME VENT CIRCUIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,102.05,
90410,BIPAP DISPOSABLE MASK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,72.45,
90412,BIPAP HEADGEAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,44.3,
90596,CANNULA ADULT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,33.05,
90598,CANNULA NASAL 25',VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,12.47,
90618,AEROTRACH BAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,24.05,
90620,AERO CHAMGER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,23.2,
90625,RT-PEP THERAPY (ACAPELLA),VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,250,94669
90626,MASK SIMPLE ADULT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,33.05,
90627,RT-CHEST WALL MANIPULATION SUBSEQUENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,243,94668
90629,RT-CHEST WALL MANIPULATION UNIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,258,94667
90631,RT-CPAP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4730,410,605,94660
90632,BIPAP SUBESEQUENT DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,605,94660
90633,RT-NASAL CPAP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,605,94660
90642,VENTICOMP BAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,10,
90643,RT-MED NEB SUSEQUENT TREATMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90685,ADAPTER  T,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,14.95,
90693,VENTI MASK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,45.1,
90707,CORRIGATED TUBING/FOOT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,3,
90708,RT-MED NEB INIITIAL TREATMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90709,ET TUBE HOLDER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,40.9,
90715,MASK TRACH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,33.05,
90717,OXISENSOR PROBE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,135.2,
90723,CANNULA PEDS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,29.95,
90758,MASK REBREATHER PEDS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,30.4,
90766,MASK REBREATHER ADULT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,24.05,
90860,HOPE NEBULIZER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,50.9,
90871,NEBULIZER MEDIUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,14.1,
90950,RT-METERED DOSE INHALER INITIAL TX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
90952,MASK AEROSOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,26.9,
92950,CPR ICU,VICTOR VALLEY GLOBAL MEDICAL CENTER,3010,410,3353,92950
92951,CPR NICU,VICTOR VALLEY GLOBAL MEDICAL CENTER,3070,410,3024,92950
92952,CPR MED/SURG,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,410,3353,92950
92953,CPR PEDS,VICTOR VALLEY GLOBAL MEDICAL CENTER,3290,410,2134,92950
92954,CPR  SURG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4420,360,3353,92950
92955,CPR  AMB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4430,360,3353,92950
92957, CPR  CATH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,480,3353,92950
92958,CPR IMAGING SERVICES,VICTOR VALLEY GLOBAL MEDICAL CENTER,4630,410,3353,92950
93243,RT-CONT INHAL TX EA ADD HR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,146,94645
93245,ADULT O2/CO2 CANNULA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,27,Z7610
93258,RT-MDI TX SUBSEQUENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94640
93294,RT-VOLLUME VENTILATOR PER DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,1921,94003
93400,BBG NASAL ASPIRATOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,14.26,
93401,RT-NASOTRACHEAL SUCTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,31720
93402,RT-SURFACTANT ADMIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,192,94610
93503,RE-BIPAP INITIAL DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,605,94660
93507,OXIMIZER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,38.55,
93508,HME,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,9.78,
93509,RT-AEROSAL CONT SUBSEQUENT DAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4720,410,162,94644
93511,CARBOXYHEMOGLOBIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4730,301,109,82375
93512,PF-METH HGB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4730,460,109,83045
93541,CL PULMONARY ANGIOGRAM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,481,2659,93568
93542,RIGHT VENTRICULAR ANGIOGRAM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,481,374,93566
93544,CL AORTIC ROOT ANGIOGRAM (AORTOGRAM),VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,481,675,
93922,WC-STUDY EXTRN=MTY ARTERIAL BL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,755,93922
93923,WC-COMPLETE BI PHYSIOLOGIC STUDY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,1357,93923
95000,CONVERSION BALANCE FORWARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,1020,C01,,
97597,WC-DEBRIDEMENT HIGH PRESSURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,761,97597
97598,WC-DEBRIDMENT HIGH PRESSURE ADDL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,454,97598
97602,WC-REMOVE DEVITALIZED TISSUE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,241,97602
97605,WC-NEGATIVE PRESSURE WOUND THERAPY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,273,97605
97606,WC- WOUND THERAPY 50 SQ CM OVER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,1023.55,97606
98001,BB-CRYOPRECIPITATE AHF PER UNT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4540,390,556,P9012
