"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
11047,WC-DEBRIDEMENT BONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,1329,11047
11055,WC-PAR/CUT BENIGH HYPERKERATOT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,227,11055
11056,WC-PAR/CUT HYPERKERAT 2-4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,227,11056
11057,WC-4+PARING/CUTTING HYPERKERA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,535.6,11057
11100,WC-BIOPSY SKIN/SUB TISSUE SNGL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,1023.54,11100
11101,WC-BIOPSY SKIN/SUBCUT EA ADDITIONAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,203,11101
11720,WC-DEBRIDEMENT NAIL 1-5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,176,11720
11721,WC-DEBRIDEMENT NAIL 6 OR MORE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,203,11721
11730,WC-AVULSION NAIL PLT SINGLE SM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,246,11730
11732,WC-AVULSION NAIL PLATE ADDTL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,190,11732
11750,WC-EXC NAIL REMOVAL PERMANENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,701,11750
14000,PHALANGEAL DISTAL FX wo MANIP RT/FNGR F7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26750F7
14001,PHALANGEAL DISTAL FX wo MANIP RT/FNGR F8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26750F8
14002,PHALANGEAL DISTAL FX wo MANIP LT/FNGR F9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26750F9
14003,PHALANGEAL DISTAL FX wo MANIP LT/FNGR FA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26750FA
14004,PHALANGEAL DISTAL FX w MANIP LT/FINGR F1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F1
14005,PHALANGEAL DISTAL FX w MANIP LT/FINGR F2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F2
14006,PHALANGEAL DISTAL FX w MANIP LT/FNGR F3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F3
14007,PHALANGEAL DISTAL FX w MANIP LT/FNGR F4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F4
14008,PHALANGEAL DISTAL FX w MANIP RT/FNGR F5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F5
14009,PHALANGEAL DISTAL FX w MANIP RT/FNGR F6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F6
14010,PHALANGEAL DISTAL FX w MANIP RT/FNGR F7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F7
