Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
107404,RECOVERY MINOR PROCE,$379.00 
107766,ALBUTEROL 5MG/ML 20M,$12.50 
107811,GADOLINIUM/ML,$17.50 
107818,LACOSAMIDE 50MG T,$22.00 
107945,HYDROMORPH4MG(125),$129.50 
107971,IV PUSH NEW DRUG,$562.72 
107972,ADDL IV PUSH SAME DR,$150.12 
109859,VANCOMYC 500MG(1.5),$158.00 
110126,APAP 325MG T,$0.50 
110130,MOVANTIK 25MG TAB,$36.28 
110134,ACETAM 500MG T OL,$0.50 
110137,APAP 120MG RS,$0.50 
110139,APAP 325MG RS,$1.00 
110141,ACETAM RS 650 MG RS,$1.00 
110143,APAP COD 3 T,$14.00 
110147,ALLOPUR 100 MG T,$3.00 
110151,ALLOPUR 300 MG T,$5.50 
110156,ASA 325MG T,$0.50 
110157,ASA BABY 81MG T,$0.50 
110158,ASA 325MG ECT,$0.50 
110162,ASA 300MG RS,$6.50 
110173,BENZO TET AER 56G,$23.00 
110174,BUT APAP CAFF T,$12.00 
110178,CARISOP 350MG T,$17.50 
110181,COCAINE TX 4% APP,$113.50 
110184,COLCHICINE 0.6MG T,$5.50 
110187,CYCLOBENZ 10MG T,$17.50 
110188,DANTROLENE 25MG C,$15.00 
110192,DIBUC HC CR 30GM,$5.50 
110199,HYDROMORPH 2MG T,$13.00 
110203,PRAMOX HC 15 TS 10G,$311.00 
110204,LID 2% JELLY PER APP,$33.50 
110206,LIDOCAINE 5% 35GM OI,$66.50 
110208,LIDOCAINE TS 4% 50ML,$14.50 
110209,LIDOCAINE 2% VISC 20,$23.50 
110211,MEPERIDINE 50MG T,$16.00 
110219,METHOCAR 500MG T,$17.50 
110227,QUININE 260MG T,$13.00 
110231,MORPHINE 10MG/5ML,$10.50 
110239,PENTAX NAL 50/0.5 T,$5.50 
110243,PHENAZOP 100MG T,$12.00 
110247,PROBENECID 500MG T,$5.50 
110254,PROPAR 0.5% 15ML OS,$62.50 
110257,TETRAC 0.5% 2ML OS,$33.00 
110268,LIDOCAINE URO 2% 15M,$9.00 
110279,ISOFLURANE PER HR,$74.00 
110283,HCOD APAP 7.5\500 T,$12.00 
110289,MORPHINE 30MG SRT,$18.00 
110292,CHLORZOX 500MG T,$5.50 
110298,MORPHINE 15MG SRT,$12.00 
110301,KETOC SH 2% 120ML,$31.50 
110302,FENTANYL TD 25MCG\HR,$67.00 
110303,FENTANYL TD 50MCG\HR,$100.00 
110304,FENTANYL TD 75MCG\HR,$127.50 
110306,KETOROL TR 10MG T,$5.50 
110311,LIDOCAINE PRIL 2.5%,$7.50 
110313,SAL APAP PANR FTE T,$0.50 
110316,ALPRAZOL 0.25MG T,$20.00 
110317,ALPRAZOL 0.5MG T,$20.00 
110318,AMITRIPT 10MG T,$12.00 
110319,AMITRIPT 25MG,$12.00 
110323,AMITRIPT 50MG T,$12.00 
110327,BENZTROPINE 1MG T,$5.50 
110337,CARB LEVO 10/100 T,$12.00 
110338,CARB LEVO 25\100 T,$5.50 
110339,CARB LEVO 25\250 T,$5.50 
110342,CHLOR HYD 500\5ML OL,$8.00 
110347,LIBRIUM 10MG CAPSULE,$14.00 
110349,CHLORDIAZ 25MG C,$20.00 
110351,CHLORDIAZ 5MG C,$14.00 
110356,BACLOFEN 10MG T,$15.00 
110357,CHLORPROMAZINE 100MG,$5.50 
