Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
131802,MOBILITY GOAL 0%,$0.01 
131803,MOBILITY GOAL 0-20%,$0.01 
131804,MOBILITY GOAL 20-40%,$0.01 
131806,MOBILITY GOAL 40-60%,$0.01 
131807,MOBILITY GOAL 60-80%,$0.01 
131808,MOBILIT GOAL 80-100%,$0.01 
131809,MOBILI GOAL 100% LTD,$0.01 
131811,MOBILITY DC 0%,$0.01 
131812,MOBILITY DC 0-20%,$0.01 
131813,MOBILITY DC 20-40%,$0.01 
131814,MOBILITY DC 40-60%,$0.01 
131816,MOBILITY DC 60-80%,$0.01 
131817,MOBILITY DC 80-100%,$0.01 
131818,MOBILITY DC 100% LTD,$0.01 
131819,MOBILITY CURRENT 0%,$0.01 
131821,MOBILITY CURR 0-20%,$0.01 
131822,MOBILITY CURR 20-40%,$0.01 
131823,MOBILITY CURR 40-60%,$0.01 
131824,MOBILITY CURR 60-80%,$0.01 
131826,MOBILIT CURR 80-100%,$0.01 
131827,MOBILIT CURR 100% LT,$0.01 
131828,MOBILITY GOAL 0%,$0.01 
131829,MOBILITY GOAL 0-20%,$0.01 
131831,MOBILITY GOAL 20-40%,$0.01 
131832,MOBILITY GOAL 40-60%,$0.01 
131833,MOBILITY GOAL 60-80%,$0.01 
131834,MOBILIT GOAL 80-100%,$0.01 
131836,MOBILI GOAL 100% LTD,$0.01 
131837,MOBILITY DC 0%,$0.01 
131838,MOBILITY DC 0-20%,$0.01 
131839,MOBILITY DC 20-40%,$0.01 
131841,MOBILITY DC 40-60%,$0.01 
131842,MOBILITY DC 60-80%,$0.01 
131843,MOBILITY DC 80-100%,$0.01 
131844,MOBILITY DC 100% LTD,$0.01 
131846,BODY POS CURRENT 0%,$0.01 
131847,BODY POS CURR 0-20%,$0.01 
131848,BODY POS CURR 20-40%,$0.01 
131849,BODY POS CURR 40-60%,$0.01 
131851,BODY POS CURR 60-80%,$0.01 
131852,BODY POS CUR 80-100%,$0.01 
131853,BODY POS CUR 100% LT,$0.01 
131854,BODY POS GOAL 0%,$0.01 
131856,BODY POS GOAL 0-20%,$0.01 
131857,BODY POS GOAL 20-40%,$0.01 
131858,BODY POS GOAL 40-60%,$0.01 
131859,BODY POS GOAL 60-80%,$0.01 
131861,BODY POS GOA 80-100%,$0.01 
131862,BODY POS GO 100% LTD,$0.01 
131863,BODY POS DC 0%,$0.01 
131864,BODY POS DC 0-20%,$0.01 
131866,BODY POS DC 20-40%,$0.01 
131867,BODY POS DC 40-60%,$0.01 
131868,BODY POS DC 60-80%,$0.01 
131869,BODY POS DC 80-100%,$0.01 
131871,BODY POS DC 100% LTD,$0.01 
131872,BODY POS CURRENT 0%,$0.01 
131873,BODY POS CURR 0-20%,$0.01 
131877,BODY POS CURR 20-40%,$0.01 
131878,BODY POS CURR 40-60%,$0.01 
131879,BODY POS CURR 60-80%,$0.01 
131881,BODY POS CUR 80-100%,$0.01 
131882,BODY POS CU 100% LTD,$0.01 
131883,BODY POS GOAL 0%,$0.01 
131884,BODY POS GOAL 0-20%,$0.01 
131886,BODY POS GOAL 20-40%,$0.01 
131887,BODY POS GOAL 40-60%,$0.01 
131888,BODY POS GOAL 60-80%,$0.01 
131889,BODY POS GOA 80-100%,$0.01 
131891,BODY POS GO 100% LTD,$0.01 
131892,BODY POS DC 0%,$0.01 
131893,BODY POS DC 0-20%,$0.01 
131894,BODY POS DC 20-40%,$0.01 
131896,BODY POS DC 40-60%,$0.01 
131897,BODY POS DC 60-80%,$0.01 
131898,BODY POS DC 80-100%,$0.01 
131899,BODY POS DC 100% LTD,$0.01 
131903,CARRY CURRENT 0%,$0.01 
131904,CARRY CURRENT 0-20%,$0.01 
131906,CARRY CURRENT 20-40%,$0.01 
131907,CARRY CURRENT 40-60%,$0.01 
131908,CARRY CURRENT 60-80%,$0.01 
131909,CARRY CURR 80-100%,$0.01 
131911,CARRY CURR 100% LTD,$0.01 
131912,CARRY GOAL 0%,$0.01 
131913,CARRY GOAL 0-20%,$0.01 
131914,CARRY GOAL 20-40%,$0.01 
131915,CARRY GOAL 40-60%,$0.01 
131916,CARRY GOAL 60-80%,$0.01 
131917,CARRY GOAL 80-100%,$0.01 
131918,CARRY GOAL 100% LTD,$0.01 
131919,CARRY DC 0%,$0.01 
131921,CARRY DC 0-20%,$0.01 
131922,CARRY DC 20-40%,$0.01 
131923,CARRY DC 40-60%,$0.01 
131924,CARRY DC 60-80%,$0.01 
131926,CARRY DC 80-100%,$0.01 
131927,CARRY DC 100% LTD,$0.01 
131928,CARRY CURRENT 0%,$0.01 
131929,CARRY CURRENT 0-20%,$0.01 
131931,CARRY CURRENT 20-40%,$0.01 
131932,CARRY CURRENT 40-60%,$0.01 
131933,CARRY CURRENT 60-80%,$0.01 
131934,CARRY CURR 80-100%,$0.01 
131937,CARRY CURR 100% LTD,$0.01 
131938,CARRY GOAL 0%,$0.01 
131939,CARRY GOAL 0-20%,$0.01 
131941,CARRY GOAL 20-40%,$0.01 
131942,CARRY GOAL 40-60%,$0.01 
131943,CARRY GOAL 60-80%,$0.01 
131944,CARRY GOAL 80-100%,$0.01 
131946,CARRY GOAL 100% LTD,$0.01 
131947,CARRY DC 0%,$0.01 
131948,CARRY DC 0-20%,$0.01 
131949,CARRY DC 20-40%,$0.01 
131951,CARRY DC 40-60%,$0.01 
131952,CARRY DC 60-80%,$0.01 
131953,CARRY DC 80-100%,$0.01 
131954,CARRY DC 100% LTD,$0.01 
131957,SELF CARE CURRENT 0%,$0.01 
131958,SELF CARE CURR 0-20%,$0.01 
131959,SELF CARE CUR 20-40%,$0.01 
131961,SELF CARE CUR 40-60%,$0.01 
131962,SELF CARE CUR 60-80%,$0.01 
131963,SELF CARE CU 80-100%,$0.01 
131964,SELF CARE CU 100%LTD,$0.01 
131966,SELF CARE GOAL 0%,$0.01 
131967,SELF CARE GOAL 0-20%,$0.01 
131968,SELF CARE GOA 20-40%,$0.01 
131969,SELF CARE GOA 40-60%,$0.01 
131971,SELF CARE GOA 60-80%,$0.01 
131972,SELF CARE GO 80-100%,$0.01 
131973,SELF CARE GO 100%LTD,$0.01 
131974,SELF CARE DC 0%,$0.01 
131976,SELF CARE DC 0-20%,$0.01 
131977,SELF CARE DC 20-40%,$0.01 
131978,SELF CARE DC 40-60%,$0.01 
131979,SELF CARE DC 60-80%,$0.01 
131982,SELF CARE DC 80-100%,$0.01 
131983,SELF CARE DC 100%LTD,$0.01 
131984,SELF CARE CURRENT 0%,$0.01 
131986,SELF CARE CURR 0-20%,$0.01 
131987,SELF CARE CUR 20-40%,$0.01 
131988,SELF CARE CUR 40-60%,$0.01 
131989,SELF CARE CUR 60-80%,$0.01 
131991,SELF CARE CU 80-100%,$0.01 
131992,SELF CARE CU 100%LTD,$0.01 
131993,SELF CARE GOAL 0%,$0.01 
131994,SELF CARE GOAL 0-20%,$0.01 
131996,SELF CARE GOA 20-40%,$0.01 
131997,SELF CARE GOA 40-60%,$0.01 
131999,SELF CARE GOA 60-80%,$0.01 
132002,SELF CARE GO 80-100%,$0.01 
132003,SELF CARE GO 100%LTD,$0.01 
132004,SELF CARE DC 0%,$0.01 
132006,SELF CARE DC 0-20%,$0.01 
132007,SELF CARE DC 20-40%,$0.01 
132008,SELF CARE DC 40-60%,$0.01 
132009,SELF CARE DC 60-80%,$0.01 
132013,SELF CARE DC 80-100%,$0.01 
132014,SELF CARE DC 100% LT,$0.01 
132018,OTH CURRENT 0%,$0.01 
132021,OTH CURRENT 0-20%,$0.01 
132022,OTH CURRENT 20-40%,$0.01 
132023,OTH CURRENT 40-60%,$0.01 
132024,OTH CURRENT 60-80%,$0.01 
132025,OTH CURRENT 80-100%,$0.01 
132026,OTH CURRENT 100% LTD,$0.01 
132027,OTH GOAL 0%,$0.01 
132028,OTH GOAL 0-20%,$0.01 
132029,OTH GOAL 20-40%,$0.01 
132030,OTH GOAL 40-60%,$0.01 
132031,OTH GOAL 60-80%,$0.01 
132032,OTH GOAL 80-100%,$0.01 
132033,OTH GOAL 100% LTD,$0.01 
132034,OTH DC 0%,$0.01 
132035,OTH DC 0-20%,$0.01 
132036,OTH DC 20-40%,$0.01 
132037,OTH DC 40-60%,$0.01 
132038,OTH DC 60-80%,$0.01 
132039,OTH DC 80-100%,$0.01 
132040,OTH DC 100% LTD,$0.01 
132041,OTH CURRENT 0%,$0.01 
132042,OTH CURRENT 0-20%,$0.01 
132043,OTH CURRENT 20-40%,$0.01 
132044,OTH CURRENT 40-60%,$0.01 
132045,OTH CURRENT 60-80%,$0.01 
132046,OTH CURRENT 80-100%,$0.01 
132047,OTH CURRENT 100% LTD,$0.01 
132048,OTH GOAL 0%,$0.01 
132049,OTH GOAL 0-20%,$0.01 
132051,OTH GOAL 20-40%,$0.01 
132053,OTH GOAL 40-60%,$0.01 
132054,OTH GOAL 60-80%,$0.01 
132056,OTH GOAL 80-100%,$0.01 
132057,OTH GOAL 100% LTD,$0.01 
132058,OTH DC 0%,$0.01 
132059,OTH DC 0-20%,$0.01 
132060,OTH DC 20-40%,$0.01 
132061,OTH DC 40-60%,$0.01 
132062,OTH DC 60-80%,$0.01 
132063,OTH DC 80-100%,$0.01 
132064,OTH DC 100% LTD,$0.01 
132065,SUB CURRENT 0%,$0.01 
132066,SUB CURRENT 0-20%,$0.01 
132067,SUB CURRENT 20-40%,$0.01 
132069,SUB CURRENT 40-60%,$0.01 
132070,SUB CURRENT 60-80%,$0.01 
132071,SUB CURRENT 80-100%,$0.01 
132072,SUB CURRENT 100% LTD,$0.01 
132073,SUB GOAL 0%,$0.01 
132074,SUB GOAL 0-20%,$0.01 
132075,SUB GOAL 20-40%,$0.01 
132076,SUB GOAL 40-60%,$0.01 
132077,SUB GOAL 60-80%,$0.01 
132078,SUB GOAL 80-100%,$0.01 
132079,SUB GOAL 100% LTD,$0.01 
132081,SUB DC 0%,$0.01 
132082,SUB DC 0-20%,$0.01 
132083,SUB DC 20-40%,$0.01 
132084,SUB DC 40-60%,$0.01 
132085,SUB DC 60-80%,$0.01 
132086,SUB DC 80-100%,$0.01 
132087,SUB DC 100% LTD,$0.01 
132088,SUB CURRENT 0%,$0.01 
132089,SUB CURRENT 0-20%,$0.01 
132091,SUB CURRENT 20-40%,$0.01 
132092,SUB CURRENT 40-60%,$0.01 
132093,SUB CURRENT 60-80%,$0.01 
132095,SUB CURRENT 80-100%,$0.01 
132096,SUB CURRENT 100% LTD,$0.01 
132097,SUB GOAL 0%,$0.01 
132098,SUB GOAL 0-20%,$0.01 
132099,SUB GOAL 20-40%,$0.01 
132101,SUB GOAL 40-60%,$0.01 
132102,SUB GOAL 60-80%,$0.01 
132103,SUB GOAL 80-100%,$0.01 
132104,SUB GOAL 100% LTD,$0.01 
132106,SUB DC 0%,$0.01 
132107,SUB DC 0-20%,$0.01 
132108,SUB DC 20-40%,$0.01 
132109,SUB DC 40-60%,$0.01 
132111,SUB DC 60-80%,$0.01 
132112,SUB DC 80-100%,$0.01 
132113,SUB DC 100% LTD,$0.01 
132114,SWALLOW CURRENT 0%,$0.01 
132117,SWALLOW CURR 0-20%,$0.01 
132118,SWALLOW CURR 20-40%,$0.01 
132119,SWALLOW CURR 40-60%,$0.01 
132121,SWALLOW CURR 60-80%,$0.01 
132122,SWALLOW CURR 80-100%,$0.01 
132123,SWALLOW CUR 100% LTD,$0.01 
132124,SWALLOW GOAL 0%,$0.01 
132126,SWALLOW GOAL 0-20%,$0.01 
132127,SWALLOW GOAL 20-40%,$0.01 
132128,SWALLOW GOAL 40-60%,$0.01 
132129,SWALLOW GOAL 60-80%,$0.01 
132131,SWALLOW GOAL 80-100%,$0.01 
132132,SWALLOW GOAL 100%LTD,$0.01 
132133,SWALLOW DC 0%,$0.01 
132134,SWALLOW DC 0-20%,$0.01 
132136,SWALLOW DC 20-40%,$0.01 
132137,SWALLOW DC 40-60%,$0.01 
132138,SWALLOW DC 60-80%,$0.01 
132139,SWALLOW DC 80-100%,$0.01 
132141,SWALLOW DC 100% LTD,$0.01 
132142,MOTOR CURRENT 0%,$0.01 
132143,MOTOR CURRENT 0-20%,$0.01 
132144,MOTOR CURRENT 20-40%,$0.01 
132146,MOTOR CURRENT 40-60%,$0.01 
132147,MOTOR CURRENT 60-80%,$0.01 
132148,MOTOR CURRENT 80-100,$0.01 
132149,MOTOR CURR 100% LTD,$0.01 
132151,MOTOR GOAL 0%,$0.01 
132152,MOTOR GOAL 0-20%,$0.01 
132153,MOTOR GOAL 20-40%,$0.01 
132154,MOTOR GOAL 40-60%,$0.01 
132157,MOTOR GOAL 60-80%,$0.01 
132158,MOTOR GOAL 80-100%,$0.01 
132159,MOTOR GOAL 100% LTD,$0.01 
132162,MOTOR DC 0%,$0.01 
132163,MOTOR DC 0-20%,$0.01 
132164,MOTOR DC 20-40%,$0.01 
132168,MOTOR DC 40-60%,$0.01 
132169,MOTOR DC 60-80%,$0.01 
132171,MOTOR DC 80-100%,$0.01 
132172,MOTOR DC 100% LTD,$0.01 
132173,LANG CURRENT 0%,$0.01 
132174,LANG CURRENT 0-20%,$0.01 
132176,LANG CURRENT 20-40%,$0.01 
132177,LANG CURRENT 40-60%,$0.01 
132179,LANG CURRENT 60-80%,$0.01 
132181,LANG CURR 80-100%,$0.01 
132182,LANG CURR 100% LTD,$0.01 
132183,LANG GOAL 0%,$0.01 
132184,LANG GOAL 0-20%,$0.01 
132186,LANG GOAL 20-40%,$0.01 
132187,LANG GOAL 40-60%,$0.01 
132188,LANG GOAL 60-80%,$0.01 
132191,LANG GOAL 80-100%,$0.01 
132192,LANG GOAL 100% LTD,$0.01 
132193,LANG DC 0%,$0.01 
132194,LANG DC 0-20%,$0.01 
132196,LANG DC 20-40%,$0.01 
132197,LANG DC 40-60%,$0.01 
132198,LANG DC 60-80%,$0.01 
132199,LANG DC 80-100%,$0.01 
132201,LANG DC 100% LTD,$0.01 
132202,LANG EXP CURRENT 0%,$0.01 
132206,LANG EXP CURR 0-20%,$0.01 
132207,LANG EXP CURR 20-40%,$0.01 
132208,LANG EXP CURR 40-60%,$0.01 
132209,LANG EXP CURR 60-80%,$0.01 
132211,LANG EXP CUR 80-100%,$0.01 
132212,LANG EXP CUR 100%LTD,$0.01 
132213,LANG EXP GOAL 0%,$0.01 
132216,LANG EXP GOAL 0-20%,$0.01 
132217,LANG EXP GOAL 20-40%,$0.01 
132218,LANG EXP GOAL 40-60%,$0.01 
132219,LANG EXP GOAL 60-80%,$0.01 
132221,LANG EXP GOA 80-100%,$0.01 
132222,LANG EXP GO 100% LTD,$0.01 
132223,LANG EXP DC 0%,$0.01 
132224,LANG EXP DC 0-20%,$0.01 
132226,LANG EXP DC 20-40%,$0.01 
132227,LANG EXP DC 40-60%,$0.01 
132228,LANG EXP DC 60-80%,$0.01 
132229,LANG EXP DC 80-100%,$0.01 
132231,LANG EXP DC 100% LTD,$0.01 
132232,ATTEN CURRENT 0%,$0.01 
132233,ATTEN CURRENT DC 0-2,$0.01 
132234,ATTEN CURRENT DC 20-,$0.01 
132236,ATTEN CURRENT 40-60%,$0.01 
132237,ATTEN CURRENT 60-80%,$0.01 
132238,ATTEN CURR 80-100%,$0.01 
132239,ATTEN CURR 100% LTD,$0.01 
132242,ATTEN GOAL 0%,$0.01 
132243,ATTEN GOAL 0-20%,$0.01 
132244,ATTEN GOAL 20-40%,$0.01 
132246,ATTEN GOAL 40-60%,$0.01 
132247,ATTEN GOAL 60-80%,$0.01 
132248,ATTEN GOAL 80-100%,$0.01 
132249,ATTEN GOAL 100% LTD,$0.01 
132251,ATTEN DC 0%,$0.01 
132252,ATTEN DC 0-20%,$0.01 
132253,ATTEN DC 20-40%,$0.01 
132254,ATTEN DC 40-60%,$0.01 
132256,ATTEN DC 60-80%,$0.01 
132257,ATTEN DC 80-100%,$0.01 
132259,ATTEN DC 100% LTD,$0.01 
132261,MEMORY CURRENT 0%,$0.01 
132262,MEMORY CURRENT 0-20%,$0.01 
132263,MEMORY CURR 20-40%,$0.01 
132264,MEMORY CURR 40-60%,$0.01 
132266,MEMORY CURR 60-80%,$0.01 
132267,MEMORY CURR 80-100%,$0.01 
132268,MEMORY CURR 100% LTD,$0.01 
132269,MEMORY GOAL 0%,$0.01 
132271,MEMORY GOAL 0-20%,$0.01 
132272,MEMORY GOAL 20-40%,$0.01 
132273,MEMORY GOAL 40-60%,$0.01 
132274,MEMORY GOAL 60-80%,$0.01 
132276,MEMORY GOAL 80-100%,$0.01 
132277,MEMORY GOAL 100% LTD,$0.01 
132278,MEMORY DC 0%,$0.01 
132279,MEMORY DC 0-20%,$0.01 
132281,MEMORY DC 20-40%,$0.01 
132282,MEMORY DC 40-60%,$0.01 
132283,MEMORY DC 60-80%,$0.01 
132284,MEMORY DC 80-100%,$0.01 
132286,MEMORY DC 100% LTD,$0.01 
132287,VOICE CURRENT 0%,$0.01 
132288,VOICE CURRENT 0-20%,$0.01 
132289,VOICE CURRENT 20-40%,$0.01 
132291,VOICE CURRENT 40-60%,$0.01 
132292,VOICE CURRENT 60-80%,$0.01 
132293,VOICE CURR 80-100%,$0.01 
132294,VOICE CURR 100% LTD,$0.01 
132296,VOICE GOAL 0%,$0.01 
132297,VOICE GOAL 0-20%,$0.01 
132298,VOICE GOAL 20-40%,$0.01 
132299,VOICE GOAL 40-60%,$0.01 
132306,VOICE GOAL 60-80%,$0.01 
132307,VOICE GOAL 80-100%,$0.01 
132308,VOICE GOAL 100% LTD,$0.01 
132309,VOICE DC 0%,$0.01 
132311,VOICE DC 0-20%,$0.01 
132312,VOICE DC 20-40%,$0.01 
132313,VOICE DC 40-60%,$0.01 
132314,VOICE DC 60-80%,$0.01 
132316,VOICE DC 80-100%,$0.01 
132317,VOICE DC 100% LTD,$0.01 
132318,SPC LANG CURR 0%,$0.01 
132319,SPC LANG CU 0-20%,$0.01 
132321,SPC LANG CURR 20-40%,$0.01 
132322,SPC LANG CURR 40-60%,$0.01 
132323,SPC LANG CURR 60-80%,$0.01 
132324,SPC LANG CUR 80-100%,$0.01 
132326,SPC LANG CU 100% LTD,$0.01 
132327,SPC LANG GOAL 0%,$0.01 
132328,SPC LANG GOAL 0-20%,$0.01 
132329,SPC LANG GOAL 20-40%,$0.01 
132332,SPC LANG GOAL 40-60%,$0.01 
132333,SPC LANG GOAL 60-80%,$0.01 
132334,SPC LANG GOA 80-100%,$0.01 
132336,SPC LANG GOA 100%LTD,$0.01 
132337,SPC LANG DC 0%,$0.01 
132338,SPC LANG DC 0-20%,$0.01 
132339,SPC LANG DC 20-40%,$0.01 
132341,SPC LANG DC 40-60%,$0.01 
132342,SPC LANG DC 60-80%,$0.01 
132343,SPC LANG DC 80-100%,$0.01 
132344,SPC LANG DC 100% LTD,$0.01 
132421,APAP/DM/GUAI/PSE T,$4.50 
132499,FERUMOXYTL 1MG(510)J,$3.50 
132509,UDS MULTI QL TRIAGE,$178.00 
132714,ISOVUE 300 1ML (50),$0.50 
132717,SELLA TURCICA,$126.00 
132718,OPTIC FORAMINA,$205.50 
132719,SACROILIAC JTS < 3 V,$205.50 
132720,ABDOMEN OBLIQUE/CON/,$205.50 
132721,FOREIGN BODY CHILD 1,$205.50 
132722,JOINT SURVEY 1 VIEW,$205.50 
132723,ELBOW 1 VIEW LT,$256.50 
132724,ANKLE 1 VIEW LT,$256.50 
132727,FOOT 1 VIEW LT,$256.50 
132728,FOOT 1 VIEW RT,$256.50 
132730,FOOT 2 VIEWS LT,$275.50 
132731,FOOT 2 VIEWS RT,$275.50 
132732,SACROILIAC JTS MIN 3,$281.50 
132733,SACRUM &COCCYX MIN 2,$297.00 
132734,TIBIA FIBULA 1 VIEW,$298.00 
132735,TIBIA FIBULA 1 VIEW,$298.00 
132736,FINGER(S) MIN 2 VIEW,$299.50 
132737,FINGER(S) MIN 2 VIEW,$299.50 
132738,WRIST 1 VIEW RT,$300.50 
132739,ANKLE 1 VIEW RT,$300.50 
132740,HAND 1 VIEW LT,$313.00 
132741,HAND 1 VIEW RT,$313.00 
132742,THORACIC SPINE 1 VIE,$315.50 
132743,MASTOIDS<THREE VIEWS,$317.00 
132744,INTERNAL AUD CANALS,$317.00 
132745,LUMBOSAC BENDNG ONLY,$317.00 
132746,OSSEOUS SURVEY LTD,$317.00 
132747,WRIST 1 VIEW LT,$318.00 
132748,HUMERUS 1 VIEW LT,$334.00 
132749,FOREARM 1 VIEW LT,$334.00 
132751,CHEST 1 VIEW,$335.00 
132752,CLAVICLE LT,$342.50 
132753,CLAVICLE RT,$342.50 
132754,ELBOW 1 VIEW RT,$346.00 
132755,SINUSES 2 VIEWS,$353.00 
132756,CALCANEUS MIN 2 VIEW,$361.00 
132757,CALCANEUS MIN 2 VIEW,$361.00 
132758,TOE(S) MIN 2 VIEWS L,$361.00 
132759,TOE(S) MIN 2 VIEWS R,$361.00 
132760,URETHROGRAM RETROGRA,$364.00 
132761,THORACIC SPINE 2 VIE,$371.00 
132762,HAND 2 VIEWS RT,$374.00 
132763,AC JOINTS W/O WEIGHT,$377.00 
132764,HIP PELVIS 1 VIEW LT,$243.00 
132765,HIP PELVIS 1 VIEW RT,$243.00 
132766,NECK SOFT TISSUE,$385.50 
132767,CERVICAL SPINE 2-3 V,$386.50 
132768,SKULL < 4 VIEWS,$388.00 
132769,CERVICAL SPINE 1 VIE,$394.00 
132771,ELBOW MIN 3 VIEWS LT,$394.00 
132772,ELBOW MIN 3 VIEWS RT,$394.00 
132773,NASAL BONE MIN 3 VIE,$398.00 
132774,STERNUM MIN 2 VIEWS,$400.00 
132775,ESOPHAGRAM,$402.50 
132776,BONE/JOINT IMAGE LTD,$402.50 
132777,HUMERUS MIN 2 VIEWS,$407.50 
132778,HUMERUS MIN 2 VIEWS,$407.50 
132779,HAND MIN 3 VIEWS LT,$407.50 
132780,HAND MIN 3 VIEWS RT,$407.50 
132781,FOREARM 2 VIEWS LT,$410.00 
132782,FOREARM 2 VIEWS RT,$410.00 
132783,LOW EXTRM INFANT 2V,$410.00 
132784,KNEE 1-2 VIEWS LT,$416.50 
132785,KNEE 1-2 VIEWS RT,$416.50 
132786,BONE LENGTH STUDIES,$416.50 
132787,TMJ OPENED/CLOSED UN,$418.50 
132788,TMJ OPENED/CLOSED UN,$418.50 
132789,FOOT MIN 3 VIEWS LT,$421.00 
132791,FOOT MIN 3 VIEWS RT,$421.00 
132792,SHOULDER 1 VIEW LT,$422.50 
132793,SHOULDER 1 VIEW RT,$422.50 
132794,ELBOWS 2 VIEWS LT,$422.50 
132796,ELBOWS 2 VIEWS RT,$422.50 
132797,MANDIBLE<FOUR VIEWS,$429.50 
132798,SCAPULA LT,$429.50 
132799,SCAPULA RT,$429.50 
132801,HAND 2 VIEWS LT,$440.00 
132802,BONE AGE STUDIES,$446.50 
132803,CHOLE INTRAOP ADDL S,$448.50 
132804,HUMERUS 1 VIEW RT,$452.00 
132806,FOREARM 1 VIEW RT,$452.00 
132807,WRIST 2 VIEWS LT,$452.00 
132808,WRIST 2 VIEWS RT,$452.00 
132813,FEMUR 1 VIEW LT,$452.00 
132814,FEMUR 1 VIEW RT,$452.00 
132816,TIBIA FIBULA 2 VIEWS,$464.50 
132817,TIBIA FIBULA 2 VIEWS,$464.50 
132818,LUMBAR SPINE 1 VIEW,$470.50 
132819,KNEE 3 VIEWS LT,$472.50 
132821,KNEE 3 VIEWS RT,$472.50 
132822,FACIAL BONES MIN 3 V,$480.00 
132823,MANDIBLE MIN 4 VIEWS,$484.50 
132824,LUMBOSACRAL 2-3 VIEW,$484.50 
132826,PELVIS MIN 3 VIEWS,$487.00 
132827,THORACIC SPINE 3 VIE,$495.00 
132828,SHOULDER 2 VIEWS LT,$495.00 
132829,SHOULDER 2 VIEWS RT,$495.00 
132831,SALAVRY GLND CALCULU,$498.00 
132832,KNEE MIN 4 VIEWS LT,$501.00 
132833,KNEE MIN 4 VIEWS RT,$501.00 
132834,ORBITS MIN 4 VIEWS,$504.00 
132836,RETROGRADE PYELOGRAM,$512.00 
132837,PELVIS 1-2 VIEWS,$512.50 
132838,CHEST 2 VIEW,$524.50 
132839,THORACIC SPINE 4 VIE,$526.00 
132844,SHOULDER 3 VIEWS LT,$533.50 
132846,SHOULDER 3 VIEWS RT,$533.50 
132847,ANKLE 2 VIEWS LT,$536.00 
132848,ANKLE 2 VIEWS RT,$536.00 
132849,RIBS UNILAT 2 VIEWS,$536.50 
132851,RIBS UNILAT 2 VIEWS,$536.50 
132852,S C JOINTS MIN 3 VIE,$556.00 
132853,UPPER EXTREM INFANT,$556.00 
132854,UPPER EXTREM INFANT,$556.00 
132856,LOW EXTRM INFANT 2V,$556.00 
132857,FACIAL BONES<THREE V,$563.50 
132858,ABDOMEN AP,$569.50 
132859,HIP PELVIS 2 VIEW LT,$243.00 
132861,HIP PELVIS 2 VIEW RT,$243.00 
132862,OSSEOUS SURVEY INFAN,$578.50 
132863,RIBS UNILAT PA CHEST,$584.50 
132864,RIBS UNILAT W PA CHS,$584.50 
132866,CHEST SPECIAL VIEWS,$588.00 
132867,ABDOMEN AP/FLAT/UPRI,$612.50 
132868,LUNG PERFUSION SCAN,$617.00 
132869,ZYGOMATIC ARCHES,$635.50 
132874,B/E COLON,$639.00 
132883,B/E AIR CONTR W/HI D,$642.50 
132887,ABDOMEN SERIES W/CHE,$649.50 
132899,TMJ OPENED/CLOSED BI,$652.50 
132901,CHEST W/APICAL LORDO,$653.50 
132906,CHEST W/OBLIQUES,$653.50 
132909,CHEST 4 VIEW MIN,$653.50 
132910,EYE FOR DETECTION FB,$670.50 
132911,CHOLECYSTOGRAM ORAL,$672.00 
132912,CHOLECYSTOGRAM ORAL,$672.00 
132913,WRIST 3 VIEWS LT,$673.00 
132914,WRIST 3 VIEWS RT,$673.00 
132915,SCOLIOSIS SUPINE & E,$685.50 
132916,BONE SURVEY COMPLETE,$685.50 
132917,THORACOLUMBAR 2 VIEW,$685.50 
132918,LUMBOSAC COMP W/BEND,$690.00 
132919,KNEES STANDING BILAT,$706.00 
132920,LUMBOSACRAL MIN 4 VI,$724.00 
132924,FEMUR 2 VIEWS LT,$731.50 
132926,FEMUR 2 VIEWS RT,$731.50 
132927,CERVICAL SPINE MIN 4,$733.00 
132931,FLOURO GUIDE SPINE I,$766.00 
132932,CHOLANGIOGRAM T-TUBE,$784.00 
132933,PERC TRANSHEPATIC CH,$784.00 
132934,TRANSHEP BILI DRAIN,$784.00 
132935,PERC TUBE CHANGE /W,$784.00 
132936,SCOLIOSIS STUDY,$785.50 
132937,RIBS BILATERAL 3 VIE,$789.50 
132938,VENOGRAM EXTREMTY UN,$796.50 
132939,VENOGRAM EXTREMTY UN,$796.50 
132940,SINUSES MIN 3 VIEWS,$796.50 
132941,PLVS HIP INFNT CHILD,$799.00 
132942,FLUROSCOPY < 1 HOUR,$805.50 
132943,ANKLE MIN 3 VIEWS LT,$821.00 
132944,ANKLE MIN 3 VIEWS RT,$821.00 
132945,CHOLANGIOGRAM INTRAO,$821.00 
132946,WHOLE BODY SCAN,$831.00 
132947,ABCESS/FISTULAGRM/SI,$833.00 
132948,HYSTROSALPINGOGRAM,$871.50 
132949,SKULL MIN  4 VIEWS,$872.00 
132950,ARTHROGRAM WRIST LT,$878.50 
132951,ARTHROGRAM WRIST RT,$878.50 
132952,TOMOGRAPHY,$903.50 
132953,BIL HIP/PELVIS 3-4VW,$403.00 
132954,ACUTE GI BLOOD LOSS,$942.50 
132955,BIL HIP/PEVLIS 2VIEW,$403.00 
132956,FLUROSCOPY > 1 HOUR,$972.00 
132957,PELVIMETRY,$976.00 
132958,RIBS BILAT W CHEST,"$1,003.00 "
132959,RENAL W/FLOW/FUNCT S,"$1,038.50 "
132960,VENOGRAM EXTREMTY BI,"$1,043.00 "
